,,Stigmatic pollen load,,Pollen per anther,,
Sex system,Species,Mean,SD,Mean,SD,Pollination efficiency (%)
Dioecious,Rumex acetosella,2.3,2.4,2070.5,564.3,0.11
Dioecious,Thalictrum dioicum,3.7,6.5,3320.0,1294.5,0.11
Monoecious,Amaranthus retroflexus,22.4,26.9,2648.3,618.4,0.85
Monoecious,Ambrosia artemisiifolia,51.0,76.9,765.9,387.5,6.66
Monoecious,Carex communis,11.3,16.2,606.9,100.2,1.86
Monoecious,Carex hirtifolia,27.3,54.2,664.7,152.2,4.11
Monoecious,Carex pedunculata,10.6,13.2,517.7,126.0,2.05
Monoecious,Carex plantaginea,9.9,22.8,1006.3,115.0,0.99
Monoecious,Carex stipata,4.7,11.6,413.5,72.9,1.13
Monoecious,Rumex crispus,6.6,12.5,757.6,166.2,0.88
Monoecious,Scirpus microcarpus,5.2,5.7,169,63.7,3.05
Hermaphroditic,Bromus inermis,50.6,75.7,5658.7,2451.7,0.89
Hermaphroditic,Chenopodium album,3.1,3.7,525.5,137.4,0.59
Hermaphroditic,Elymus innovatus,107.4,195.1,7802.2,2753.5,1.38
Hermaphroditic,Elymus repens,84.3,69.9,4995.3,1848.4,1.69
Hermaphroditic,Festuca campestris,17.9,35.7,6518.1,1947.1,0.27
Hermaphroditic,Phleum pratense,38.8,43.6,2163.1,2663.0,1.79
Hermaphroditic,Plantago lanceolata,87.0,119.2,2748.7,768.3,3.17
Hermaphroditic,Schizachne purpurascens,92.3,121.1,287.2,99.4,32.13
