,,Stigmatic pollen load,,,,,
Sex system,Species,N,Mean,SD,CV,Min,Max
D,Rumex acetosella,25,2.26,2.43,1.08,0,11
D,Thalictrum dioicum,59,3.69,6.48,1.75,0,39
H,Amaranthus retroflexus,15,22.4,26.92,1.2,0,150
M,Ambrosia artemisiifolia,15,51.03,76.92,1.51,0,460
M,Carex communis,22,11.29,16.15,1.43,0,109
M,Carex hirtifolia,48,27.29,54.22,1.99,0,392
M,Carex pedunculata,23,10.63,13.15,1.24,0,66
M,Carex plantaginea,27,9.92,22.76,2.3,0,214
M,Carex stipata,30,4.66,11.6,2.49,0,110
M,Rumex crispus,25,6.63,12.54,1.89,0,134
M,Scirpus microcarpus,30,5.16,5.69,1.1,0,38
H,Bromus inermis,67,50.57,75.68,1.5,0,645
H,Chenopodium album,30,3.09,3.73,1.21,0,20
H,Dichanthelium implicatum,25,14.62,16.32,1.12,0,79
H,Dichanthelium linearifolium,20,38.05,61.79,1.62,0,260
H,Elymus innovatus,79,107.42,195.09,1.82,1,2200
H,Elymus repens,41,84.28,69.93,0.83,5,381
H,Festuca campestris,83,17.89,35.74,2,0,391
H,Phleum pratense,22,38.79,43.61,1.12,0,226
H,Plantago lanceolata,17,94.97,107.1,1.13,0,750
H,Plantago major,16,112.98,96.65,0.86,0,341
H,Schizachne purpurascens,31,92.26,121.05,1.31,0,645
H,Setaria viridis,45,57.82,37.91,0.66,2,188
