"Sex_sys","Species","source","mean_poll","sd_poll","n_poll_count","se_poll","CV_poll","max_poll","min_poll","stig_nplants"
"dioecious","Rumex acetosella","CS2021",2.25641025641026,2.43237448254626,117,0.224873100460275,1.07798414567391,11,0,25
"dioecious","Thalictrum dioicum","CS2021",3.69347826086957,6.47667287111186,921,0.213413627023036,1.75354297864123,39,0,59
"hermaphroditic","Bromus inermis","JF2001",50.5703324808184,75.684734359165,391,3.8275415356604,1.49662323038656,645,0,67
"hermaphroditic","Chenopodium album","JF2004",3.08666666666667,3.72716612693982,150,0.3043218399196,1.20750522471053,20,0,30
"hermaphroditic","Dichanthelium implicatum","CS2021",14.6190476190476,16.3168511464806,64,2.03960639331008,1.116136397642,79,0,25
"hermaphroditic","Dichanthelium linearifolium","CS2021",38.05,61.7869642187446,20,13.815985211646,1.62383611612995,260,0,20
"hermaphroditic","Elymus innovatus","JF2001",107.418079096045,195.088286284932,354,10.3688254304311,1.81615876886514,2200,1,79
"hermaphroditic","Elymus repens","JF2001",84.281954887218,69.9298261030692,266,4.28767273871344,0.829712910630109,381,5,41
"hermaphroditic","Festuca campestris","JF2001",17.8890374331551,35.7401335858941,748,1.30678870629921,1.99787907647028,391,0,83
"hermaphroditic","Phleum pratense","CS2021",38.7868852459016,43.6073826907396,63,5.49401380600569,1.1242816331932,226,0,22
"hermaphroditic","Plantago lanceolata","CS2021",94.9666666666667,107.103102241737,131,9.35764149095873,1.12779679440228,750,0,17
"hermaphroditic","Plantago major","CS2021",112.977777777778,96.6503748026615,47,14.0979060988585,0.855481287592401,341,0,16
"hermaphroditic","Schizacne purpurascens","JF2004",92.2550607287449,121.04918927562,247,7.7021754706648,1.31211435252899,645,0,31
"hermaphroditic","Setaria viridis","CS2021",57.8167938931298,37.9111920813158,133,3.28731726102528,0.655712458760546,188,2,45
"monoecious","Amaranthus retroflexus","CS2021",22.3977272727273,26.916874924383,88,2.86934850796641,1.20176813462491,150,0,15
"monoecious","Ambrosia artemisiifolia","CS2021",51.0340909090909,76.9166512417468,88,8.19934257220754,1.50716217084697,460,0,15
"monoecious","Carex communis","JF2004",11.2935323383085,16.1473963213949,201,1.13894952028272,1.4297914804407,109,0,22
"monoecious","Carex hirtifolia","JF2004",27.2904411764706,54.215983779893,272,3.28732687825401,1.98662907020489,392,0,48
"monoecious","Carex pedunculata","JF2004",10.6293103448276,13.1542885534082,116,1.22134503070183,1.23754863925009,66,0,23
"monoecious","Carex plantaginea","JF2004",9.91549295774648,22.7610133758827,142,1.91006181209824,2.29549992853363,214,0,27
"monoecious","Carex stipata","JF2004",4.65732087227414,11.6012264028354,321,0.647517314866926,2.49096566910378,110,0,30
"monoecious","Rumex crispus","JF2004",6.63128491620112,12.5357163454974,179,0.936963430940882,1.89039024923676,134,0,25
"monoecious","Scirpus microcarpus","JF2004",5.15671641791045,5.68703694182717,268,0.347391071608404,1.10284073835722,38,0,30
