"Species","Sex_sys","source","Avg_prod_anth_sp","Sd_prod_anth_sp","n_prod_anth","SE_prod_anth_sp","Max_prod_anth","Min_prod_anth","CV_prod_anth"
"Rumex acetosella","dioecious","JF2004",2070.4557582629,564.292364487216,21,26.8710649755817,3241.66666666667,1034.28571428571,0.272544999928254
"Thalictrum dioicum","dioecious","JF2004",3319.98633688883,1294.51431920653,23,56.2832312698489,5450.19230769231,1107.76,0.389915556224734
"Amaranthus retroflexus","monoecious","CS2021",2648.33333333333,618.430510483026,16,38.6519069051892,3733.33333333333,1466.66666666667,0.233516869911778
"Ambrosia artemisiifolia","monoecious","JF2004",765.926881047848,387.527585832549,21,18.4536945634547,1532.35714285714,227.619047619048,0.505958983059037
"Carex communis","monoecious","JF2004",606.87184595913,100.171230169254,18,5.56506834273634,776.142857142857,384.75,0.1650615872795
"Carex hirtifolia","monoecious","JF2004",664.690280469468,152.154758709893,18,8.45304215054963,949.657894736842,364.842105263158,0.228910762170958
"Carex pedunculata","monoecious","JF2004",517.684479453377,125.949560584202,19,6.62892424127376,909.135135135135,334.744680851064,0.243294063436462
"Carex stipata","monoecious","JF2004",413.493520985188,72.8733637522785,36,2.02426010422996,567.8,255.727272727273,0.176238223947623
"Rumex crispus","monoecious","JF2004",757.5675,166.154098706029,20,8.30770493530146,1102.5,499,0.219325800943189
"Scirpus microcarpus","monoecious","JF2004",169.000973788298,63.6574414991053,14,4.54696010707895,333.761904761905,109.451612903226,0.376669081083798
"Agropyron trachycaulum","hermaphroditic","JF2001",5395.1,926.79062653444,10,92.679062653444,6493.33333333333,3249.33333333333,0.171783771669559
"Avenula hookeri","hermaphroditic","JF2001",1719.13333333333,1077.66284152327,5,215.532568304653,3490.66666666667,770.666666666667,0.626864025394541
"Bromus inermis","hermaphroditic","JF2001",5658.74444444444,2451.71092919456,30,81.7236976398186,11633.3333333333,939.666666666667,0.433260585146509
"Chenopodium album","hermaphroditic","JF2004",525.458333333333,137.41728091443,22,6.246240041565,824,273.25,0.261518891598312
"Elymus innovatus","hermaphroditic","JF2001",7802.18095238095,2753.53546840608,35,78.6724419544595,15583.5,3737.33333333333,0.352918688404144
"Elymus repens","hermaphroditic","JF2001",4995.24621212121,1848.36315075313,33,56.0110045682766,8908.5,1480.66666666667,0.370024433684166
"Festuca campestris","hermaphroditic","JF2001",6518.13888888889,1947.11708863192,60,32.4519514771986,10864.5,1083.66666666667,0.298722859672576
"Festuca pratensis","hermaphroditic","JF2001",2472.90476190476,931.440667314733,14,66.5314762367667,4481.33333333333,1094.66666666667,0.376658527923772
"Festuca rubra","hermaphroditic","JF2001",3037.35677083333,2564.50722014431,8,320.563402518039,7499.66666666667,648.666666666667,0.844322025245889
"Hierochloe odorata","hermaphroditic","JF2001",1382.09614016578,900.474766402426,67,13.4399218866034,3631,46,0.651528312852692
"Koeleria cristata","hermaphroditic","JF2001",2374.24333333333,1044.90892909028,25,41.7963571636111,4818.33333333333,866,0.440101869265132
"Phalaris arundinacea","hermaphroditic","JF2001",1496.34523809524,492.660991802594,7,70.3801416860848,2106,532.333333333333,0.329242864053033
"Phleum pratense","hermaphroditic","JF2001",1696.50763888889,595.323694673139,30,19.8441231557713,2653.66666666667,265.333333333333,0.350911296257434
"Plantago lanceolata","hermaphroditic","JF2004",2748.65625,768.3086124605,24,32.0128588525208,4742.75,1009.25,0.27952153437175
"Poa juncifolia","hermaphroditic","JF2001",2425.80555555555,1036.9051302188,6,172.817521703134,4194.5,1319.66666666667,0.427447751467175
"Schizachne purpurascens","hermaphroditic","JF2004",287.152777777778,99.4422185998852,12,8.28685154999043,430,149.666666666667,0.346304219549781
"Stipa columbiana","hermaphroditic","JF2001",673.048148148147,386.86886694374,10,38.686886694374,1336.33333333333,144.37037037037,0.574801175827
