"Species","Mean_diam","Sd_diam_pooled","Cv","Max_diam","Min_diam","N_grains","N_ind"
"Amaranthus retroflexus",24.0472098944935,2.77556927318636,0.115421676168008,28.1492792290705,21.9172343621785,166,16
"Ambrosia artemisiifolia",17.8240111263049,2.76687258862665,0.155232880467813,19.0321055497794,17.4410948763155,245597,19
"Bromus inermis",32.9454390530266,13.1724203242273,0.399825308232375,40.4078564906534,30.0981448284332,508033,30
"Carex communis",24.8831321241834,6.74497602792493,0.271066198349267,26.1074629710491,23.1977643234219,280527,16
"Carex hirtifolia",25.1992742584114,1.93009496409029,0.0765932758339668,26.0711272832682,24.6683182855218,372071,18
"Carex pedunculata",24.6375781147523,2.33041011255077,0.0945876295834202,25.9708036498088,23.2281022218831,488089,18
"Carex stipata",24.4558327921563,2.22770749478376,0.091091050291211,26.7029288322387,23.8057437694079,142550,35
"Chenopodium album",24.1673626324005,2.01074477634777,0.0832008360586282,25.448252172029,23.2693969423081,39761,22
"Elymus repens",37.1638071582885,6.64647924117883,0.178842797587181,39.1888505230289,33.8407184294713,481773,33
"Elymus trachycaulus",37.6047911423759,4.68657025043249,0.124626945345571,39.2296066925005,34.9131636118213,161853,10
"Festuca campestris",28.6802674688502,5.00905087492384,0.174651470052161,32.5769103238821,23.9199407800568,1153669,60
"Festuca pratensis",29.3601136711602,6.52519919216685,0.222247068429317,31.108108650614,27.8227566788708,103862,14
"Hierochloe odorata",22.9174881829025,25.974836062687,1.13340676148206,25.5815023382205,18.0828384308346,220133.910776285,50
"Koeleria cristata",21.7842469624524,3.21528893716957,0.147596974213131,24.481244785584,20.6987639165738,181789,25
"Leymus innovatus",35.4162389008925,7.02107694373167,0.198244566945101,38.178572166038,31.9040675514011,778882,35
"Phleum pratense",29.8592021072029,5.52239078389937,0.184947701016003,33.4591847968229,26.8233199397184,151268.75,30
"Plantago lanceolata",21.1007863276118,5.59737549587195,0.265268573832598,23.1564683292835,18.5882128667403,263871,24
"Rumex acetosella",19.9165998418447,3.29773401722975,0.165577158923544,21.4885898893992,19.3029215537525,310214,21
"Rumex crispus",24.0447896841545,2.56639807407839,0.106734062047947,24.8501187011164,23.048109613567,87014,20
"Schizachne purpurascens",29.3891866403157,3.11255297280798,0.105908101877791,30.252609192272,28.6059271990781,12436,12
"Scirpus microcarpus",22.865878674857,4.03624132583495,0.17651809419741,23.4449145233705,21.9711166101277,77145,14
"Stipa columbiana",28.644713544721,4.16403349832399,0.145368306505247,30.0889761752398,26.5174384721355,24386.3333333333,10
"Thalictrum dioicum",16.5454680202297,2.65302202405405,0.160347354381893,17.7117553519226,15.8840308370202,1820717,23
