"Species","Date","Site","Label","Anther","Subsample","Tot_tube_vol_uL","Subsample_vol_uL","Pollen_sub","Observer","N_anth_tube","Anth_per_flw","polanth","count_method","source","Sex_sys"
"Ambrosia artemisiifolia","20 Sept 2021","LP","1","1","1",600,5,116,"Claire",5,5,2784,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","20 Sept 2021","LP","1","1","2",600,5,114,"Claire",5,5,2736,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","20 Sept 2021","LP","1","1","3",600,5,120,"Claire",5,5,2880,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","20 Sept 2021","LP","1","1","4",600,5,76,"Claire",5,5,1824,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","20 Sept 2021","LP","2","1","1",600,5,109,"Claire",5,5,2616,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","20 Sept 2021","LP","2","1","2",600,5,141,"Claire",5,5,3384,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","20 Sept 2021","LP","2","1","3",600,5,101,"Claire",5,5,2424,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","20 Sept 2021","LP","2","1","4",600,5,131,"Claire",5,5,3144,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","20 Sept 2021","LP","2","1","5",600,5,150,"Claire",5,5,3600,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","20 Sept 2021","LP","2","1","6",600,5,137,"Claire",5,5,3288,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","20 Sept 2021","LP","3","1","1",600,5,128,"Claire",5,5,3072,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","20 Sept 2021","LP","3","1","2",600,5,117,"Claire",5,5,2808,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","20 Sept 2021","LP","3","1","3",600,5,126,"Claire",5,5,3024,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","20 Sept 2021","LP","4","1","1",600,5,129,"Claire",5,5,3096,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","20 Sept 2021","LP","4","1","2",600,5,124,"Claire",5,5,2976,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","20 Sept 2021","LP","4","1","3",600,5,124,"Claire",5,5,2976,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","20 Sept 2021","LP","5","1","1",600,5,108,"Claire",5,5,2592,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","20 Sept 2021","LP","5","1","2",600,5,106,"Claire",5,5,2544,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","20 Sept 2021","LP","5","1","3",600,5,103,"Claire",5,5,2472,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","1","1","1",600,5,138,"Claire",5,5,3312,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","1","1","2",600,5,146,"Claire",5,5,3504,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","1","1","3",600,5,144,"Claire",5,5,3456,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","2","1","1",600,5,184,"Claire",5,5,4416,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","2","1","2",600,5,90,"Claire",5,5,2160,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","2","1","3",600,5,157,"Claire",5,5,3768,"manual","CS2021","monoecious"
