"Species","Ind","Site","Area","Diam","source","Sex_sys"
"Ambrosia artemisiifolia","1","FBF",225.451,16.9426423145886,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",233.331,17.2361903044902,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",244.959,17.6604497575453,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",227.084,17.0038915774196,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",221.607,16.7975830341786,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",263.026,18.3001394665044,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",205.27,16.1665667767707,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",222.664,16.8375951367441,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",214.111,16.5110445509299,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",192.873,15.6707858996192,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",223.721,16.8775123815003,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",258.413,18.138953952024,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",249.668,17.8293906417168,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",218.339,16.6732674949432,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",240.634,17.5038488512613,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",249.283,17.8156384513779,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",215.456,16.5628228074341,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",239.481,17.4618635721598,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",249.187,17.8122076799571,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",229.102,17.0792776831433,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",237.271,17.3811052588395,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",235.445,17.3140949694222,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",258.99,18.1591935308526,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",255.242,18.0273183773209,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",219.3,16.7099201721738,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",222.279,16.8230322107576,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",224.201,16.8956082805316,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",237.655,17.3951643856572,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",239.001,17.4443550878572,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",248.995,17.8053441539705,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",239.385,17.4583632799993,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",267.831,18.4665378592189,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",248.226,17.7778277422027,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",236.022,17.3352976273118,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",257.452,18.1051944831078,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",237.175,17.3775886998905,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","FBF",235.349,17.3105647976568,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",250.437,17.8568275980041,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",251.013,17.877350973861,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",250.341,17.8534047416325,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",237.559,17.3916506694373,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",261.584,18.2499066592134,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",250.244,17.8499455638583,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",250.629,17.8636713431878,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",207.096,16.2383132361854,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",229.295,17.0864701272688,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",244.767,17.653527229599,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",221.222,16.7829853889409,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",221.414,16.7902668399877,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",219.973,16.7355406955983,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",229.391,17.0900465887704,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",197.389,15.8531851845529,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",220.934,16.7720572851549,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",197.582,15.8609336335495,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",241.307,17.528308954985,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",216.033,16.584985938124,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",225.258,16.9353887870327,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",240.25,17.4898770899804,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",208.057,16.2759454397882,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",195.948,15.7952126390171,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",201.426,16.0144793402041,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",232.178,17.193551437022,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",246.497,17.7158044711095,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",249.572,17.8259625170324,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",219.396,16.7135772100624,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",287.531,19.1336311121869,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",215.072,16.5480565434519,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",235.733,17.3246811687562,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",232.274,17.197105628966,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",204.116,16.1210596088831,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",227.084,17.0038915774196,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",236.887,17.3670347507477,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",233.331,17.2361903044902,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",276.576,18.7655935244445,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",241.595,17.5387658576734,"CS2021","monoecious"
