"source","Sex_sys","Species","Site","Ind","Avg_area","Avg_diam","Sd_diam","N_diam"
"CS2021","dioecious","Rumex acetosella","KM","1",401.219330891331,22.3889325291158,3.09769830901059,819
"CS2021","dioecious","Rumex acetosella","KM","10",376.160561797753,21.620143685898,3.39769293925006,356
"CS2021","dioecious","Rumex acetosella","KM","2",238.2925,17.310933780437,1.93452132027528,508
"CS2021","dioecious","Rumex acetosella","KM","3",305.770037593985,19.4966525011892,3.04445963026679,133
"CS2021","dioecious","Rumex acetosella","KM","4",325.912559084195,19.965283176256,4.04528267815874,1354
"CS2021","dioecious","Rumex acetosella","KM","5",216.401075313808,16.4038242534979,2.5400206925591,956
"CS2021","dioecious","Rumex acetosella","KM","6",271.892779220779,18.1329390152141,4.17178180068066,770
"CS2021","dioecious","Rumex acetosella","KM","7",184.210721115538,14.9740899342891,3.21905100140077,251
"CS2021","dioecious","Rumex acetosella","KM","9",208.049278321678,16.0299858089486,2.81908467350925,715
"CS2021","dioecious","Thalictrum dioicum","BI","10",212.387896774194,16.4036906923105,1.16116293975909,155
"CS2021","dioecious","Thalictrum dioicum","BI","3",173.238685297691,14.768274980066,1.57334252363277,823
"CS2021","dioecious","Thalictrum dioicum","BI","4",211.120166666667,16.3179089338884,1.59319444451068,432
"CS2021","dioecious","Thalictrum dioicum","BI","5",221.153332023576,16.714784320657,1.48373784760191,509
"CS2021","dioecious","Thalictrum dioicum","BI","6",223.315681818182,16.8097565439769,1.33669215358865,88
"CS2021","dioecious","Thalictrum dioicum","BI","8",191.119860576923,15.3937126798492,2.53096250029019,208
"CS2021","dioecious","Thalictrum dioicum","BI","9",226.173741042345,16.9048934222468,1.4831455632656,1228
"CS2021","hermaphroditic","Chenopodium album","FBF1","1",500.930538461538,25.1943695912377,1.76297545394025,52
"CS2021","hermaphroditic","Chenopodium album","FBF1","2",531.71875,25.9482244432519,1.94950211308145,36
"CS2021","hermaphroditic","Chenopodium album","FBF1","3",514.930531914894,25.587690192614,0.958953819906359,47
"CS2021","hermaphroditic","Chenopodium album","FBF1","4",556.195,26.5893969881118,1.12127306118812,15
"CS2021","hermaphroditic","Chenopodium album","FBF1","5",487.009166666667,24.858627951771,1.48368576604342,30
"CS2021","hermaphroditic","Chenopodium album","FBF1","6",525.938695652174,25.8367073586165,1.48540567381832,23
"CS2021","hermaphroditic","Chenopodium album","FBF1","7",547.838857142857,26.4045156259931,0.590113712908253,21
"CS2021","hermaphroditic","Chenopodium album","FBF1","8",579.5105,27.1466481441727,0.992762895242132,14
"CS2021","hermaphroditic","Chenopodium album","FBF1","9",490.460705882353,24.9627998478289,1.1899060790464,17
"CS2021","hermaphroditic","Chenopodium album","FBF2","1",566.772631578947,26.7900628437787,2.03670955083022,19
"CS2021","hermaphroditic","Chenopodium album","FBF2","10",554.523038461538,26.5476525351709,1.1460009354597,26
"CS2021","hermaphroditic","Chenopodium album","FBF2","2",503.474290322581,25.2570818060019,1.79646913021498,31
"CS2021","hermaphroditic","Chenopodium album","FBF2","3",545.9874,26.3551911475807,0.779100818838878,20
"CS2021","hermaphroditic","Chenopodium album","FBF2","4",599.909722222222,27.5680347422925,2.01436542246987,18
"CS2021","hermaphroditic","Chenopodium album","FBF2","5",536.578192307692,26.1171824725764,1.06243451662774,26
"CS2021","hermaphroditic","Chenopodium album","FBF2","6",611.53725,27.8351319440625,2.01019491990838,20
"CS2021","hermaphroditic","Chenopodium album","FBF2","7",514.414941176471,25.557105131854,1.36477298353153,34
"CS2021","hermaphroditic","Chenopodium album","FBF2","8",591.9495,27.4431143682086,0.77618000767524,18
"CS2021","hermaphroditic","Chenopodium album","FBF2","9",660.815833333333,28.9701880876891,1.49294326590748,18
"CS2021","hermaphroditic","Plantago lanceolata","FBF","1",590.1502,27.2754470578544,2.78623098310184,25
"CS2021","hermaphroditic","Plantago lanceolata","FBF","10",414.927666666667,22.7998979109645,3.56376949050164,3
"CS2021","hermaphroditic","Plantago lanceolata","FBF","2",410.875571428571,22.5787928540925,3.71957726238959,28
"CS2021","hermaphroditic","Plantago lanceolata","FBF","3",375.008153846154,21.7211432524568,2.42772172139961,26
"CS2021","hermaphroditic","Plantago lanceolata","FBF","4",439.007809523809,23.5148243155092,2.51314503982829,21
"CS2021","hermaphroditic","Plantago lanceolata","FBF","5",499.485111111111,25.016079444473,3.38082242783208,9
"CS2021","hermaphroditic","Plantago lanceolata","FBF","6",408.441111111111,22.5756708928399,3.26788919035325,36
"CS2021","hermaphroditic","Plantago lanceolata","FBF","7",373.53,21.5850339946582,3.2999104410079,9
"CS2021","hermaphroditic","Plantago lanceolata","FBF","8",447.203373333333,23.8048341181018,1.66245059161067,75
"CS2021","hermaphroditic","Plantago lanceolata","FBF","9",395.953838709677,22.1629142765996,3.65799944956874,31
"CS2021","hermaphroditic","Plantago lanceolata","KM","10",354.609566326531,21.19355609379,1.532345555843,196
"CS2021","hermaphroditic","Plantago lanceolata","KM","11",368.921439189189,21.6044739760907,1.72982301190597,148
"CS2021","hermaphroditic","Plantago lanceolata","KM","12",372.240904347826,21.6189946854149,2.56896911205113,230
"CS2021","hermaphroditic","Plantago lanceolata","KM","13",333.064928802589,20.5641181523977,1.09194397333251,309
"CS2021","hermaphroditic","Plantago lanceolata","KM","2",283.264864197531,18.9332217926214,1.49151048362384,81
"CS2021","hermaphroditic","Plantago lanceolata","KM","3",335.253018867925,20.626363362855,1.18990691888131,265
"CS2021","hermaphroditic","Plantago lanceolata","KM","5",309.262279569892,19.7746596947056,1.66055652725137,93
"CS2021","hermaphroditic","Plantago lanceolata","KM","6",349.6231900369,21.0636110702404,1.2170014939707,542
"CS2021","hermaphroditic","Plantago lanceolata","KM","7",327.104467532468,20.3167233872067,1.93322598748476,154
"CS2021","hermaphroditic","Plantago lanceolata","QMP","1",421.961117647059,23.0951091922898,1.99772167695652,34
"CS2021","hermaphroditic","Plantago lanceolata","QMP","10",393.559076923077,22.3375467990069,1.47045852997986,65
"CS2021","hermaphroditic","Plantago lanceolata","QMP","2",419.624461538462,23.0204064755173,2.16916790732606,13
"CS2021","hermaphroditic","Plantago lanceolata","QMP","3",479.334875,24.5717330573077,2.61195630453449,24
"CS2021","hermaphroditic","Plantago lanceolata","QMP","4",433.309694444444,23.4310222992232,1.66469521444591,36
"CS2021","hermaphroditic","Plantago lanceolata","QMP","5",443.3703,23.6988017344608,1.72708502829981,30
"CS2021","hermaphroditic","Plantago lanceolata","QMP","6",449.74,23.8749267689881,1.63991712758669,36
"CS2021","hermaphroditic","Plantago lanceolata","QMP","7",425.312424242424,23.2160671314376,1.61807373827727,33
"CS2021","hermaphroditic","Plantago lanceolata","QMP","8",431.113,23.3833869479479,1.49131878664563,23
"CS2021","hermaphroditic","Plantago lanceolata","QMP","9",382.168444444444,21.982346308612,1.8560663090499,45
"CS2021","monoecious","Amaranthus retroflexus","FBF","1",450.9976,23.9614289004619,0.312057584351818,5
"CS2021","monoecious","Amaranthus retroflexus","FBF","10",548.044714285714,26.404130187605,0.846441653200751,7
"CS2021","monoecious","Amaranthus retroflexus","FBF","2",514.5675,25.4943211647821,2.43950294292105,8
"CS2021","monoecious","Amaranthus retroflexus","FBF","3",559.096285714286,26.6745990169623,0.619794722973341,7
"CS2021","monoecious","Amaranthus retroflexus","FBF","4",451.834857142857,23.9732957075272,0.819115891734493,7
"CS2021","monoecious","Amaranthus retroflexus","FBF","5",459.678333333333,24.1348039469128,1.74518672156493,12
"CS2021","monoecious","Amaranthus retroflexus","FBF","6",554.2282,26.4689900002493,2.370613941599,10
"CS2021","monoecious","Amaranthus retroflexus","FBF","7",502.330833333333,25.2663820850759,1.19870824009299,6
"CS2021","monoecious","Amaranthus retroflexus","FBF","8",622.3435,28.1492792290705,0.144454094502152,2
"CS2021","monoecious","Amaranthus retroflexus","FBF","9",524.306923076923,25.820886746972,0.959665884567837,13
"CS2021","monoecious","Amaranthus retroflexus","FBF","X",489.533589285714,24.9137388828377,1.62677481829765,56
"CS2021","monoecious","Amaranthus retroflexus","FBF2","1",443.837833333333,23.7378185230341,1.33260617536617,12
"CS2021","monoecious","Amaranthus retroflexus","FBF2","2",408.639941176471,22.7073224639215,2.22848976497428,17
"CS2021","monoecious","Amaranthus retroflexus","FBF2","3",379.6580625,21.9172343621785,1.76868723057963,32
"CS2021","monoecious","Amaranthus retroflexus","FBF2","4",427.144,23.3001200524153,1.01733161341488,14
"CS2021","monoecious","Amaranthus retroflexus","FBF2","5",456.491166666667,24.0156846167048,2.31590093395887,6
"CS2021","monoecious","Amaranthus retroflexus","FBF2","6",437.627375,23.538679506148,1.89285779874642,8
"CS2021","monoecious","Amaranthus retroflexus","FBF2","7",374.653833333333,21.8186104424128,1.02990619988614,12
"CS2021","monoecious","Ambrosia artemisiifolia","FBF","1",235.769702702703,17.3153563040832,0.616454125188753,37
"CS2021","monoecious","Ambrosia artemisiifolia","FBF","2",230.245,17.1058563410573,0.749892209391267,36
"CS2021","monoecious","Ambrosia artemisiifolia","FBF","3",260.54521875,18.1989246544079,0.743569162356439,32
"CS2021","monoecious","Ambrosia artemisiifolia","FBF","4",227.865866666667,17.0079366748781,0.958750525435469,15
"CS2021","monoecious","Ambrosia artemisiifolia","FBF","5",253.563348837209,17.9624264953095,0.450371305317916,43
"CS2021","monoecious","Ambrosia artemisiifolia","LP","1",262.363105263158,18.2706397785869,0.49784272684053,19
"CS2021","monoecious","Ambrosia artemisiifolia","LP","10",285.088263157895,19.0399187411296,0.70220880678549,19
"CS2021","monoecious","Ambrosia artemisiifolia","LP","2",276.939947368421,18.7599917722788,0.843222094021776,19
"CS2021","monoecious","Ambrosia artemisiifolia","LP","3",234.868428571429,17.2809959587951,0.652817049228059,28
"CS2021","monoecious","Ambrosia artemisiifolia","LP","4",253.342176470588,17.9464246664584,0.722366989787675,17
"CS2021","monoecious","Ambrosia artemisiifolia","LP","5",236.554545454545,17.343347976908,0.646434162380224,22
"CS2021","monoecious","Ambrosia artemisiifolia","LP","6",251.716333333333,17.8829468948071,0.841319125317994,57
"CS2021","monoecious","Ambrosia artemisiifolia","LP","7",248.034205882353,17.7608194026093,0.609237472382471,34
"CS2021","monoecious","Ambrosia artemisiifolia","LP","8",278.270636363636,18.8098026765631,0.739020830637221,11
"CS2021","monoecious","Ambrosia artemisiifolia","LP","9",242.2028,17.5479893301523,0.684845842174846,25
