"source","Sex_sys","Species","Site","Ind","Avg_area","Avg_diam","Sd_diam","N_diam","Date","Label","Observer","Anth_per_flw","count_method","Avg_pol_anth","Sd_pol_anth"
"CS2021","dioecious","Rumex acetosella","KM","1",401.219330891331,22.3889325291158,3.09769830901059,819,"8 July 2022","1","Jeremiah",6,"auto",10474.537037037,4804.02367001537
"CS2021","dioecious","Rumex acetosella","KM","10",376.160561797753,21.620143685898,3.39769293925006,356,"8 July 2022","10","Jeremiah",6,"auto",6451.38888888889,1393.85224255445
"CS2021","dioecious","Rumex acetosella","KM","2",238.2925,17.310933780437,1.93452132027528,508,"8 July 2022","2","Jeremiah",6,"auto",14958.3333333333,791.392496384274
"CS2021","dioecious","Rumex acetosella","KM","3",305.770037593985,19.4966525011892,3.04445963026679,133,"8 July 2022","3","Jeremiah",6,"auto",6166.66666666667,62.5
"CS2021","dioecious","Rumex acetosella","KM","4",325.912559084195,19.965283176256,4.04528267815874,1354,"8 July 2022","4","Jeremiah",6,"auto",9682.87037037037,1316.37068872087
"CS2021","dioecious","Rumex acetosella","KM","5",216.401075313808,16.4038242534979,2.5400206925591,956,"8 July 2022","5","Jeremiah",6,"auto",9493.05555555555,1484.36586254498
"CS2021","dioecious","Rumex acetosella","KM","6",271.892779220779,18.1329390152141,4.17178180068066,770,"8 July 2022","6","Jeremiah",6,"auto",8185.18518518519,1431.16222303482
"CS2021","dioecious","Rumex acetosella","KM","7",184.210721115538,14.9740899342891,3.21905100140077,251,"8 July 2022","7","Jeremiah",6,"auto",5173.61111111111,1599.35244419132
"CS2021","dioecious","Rumex acetosella","KM","9",208.049278321678,16.0299858089486,2.81908467350925,715,"8 July 2022","9","Jeremiah",6,"auto",5532.40740740741,936.406254989103
"CS2021","dioecious","Thalictrum dioicum","BI","10",212.387896774194,16.4036906923105,1.16116293975909,155,"7 May 2022","10","Jeremiah",26,"auto",23860,4463.04828564514
"CS2021","dioecious","Thalictrum dioicum","BI","3",173.238685297691,14.768274980066,1.57334252363277,823,"7 May 2022","3","Jeremiah",26,"auto",31580,4850.91743900059
"CS2021","dioecious","Thalictrum dioicum","BI","4",211.120166666667,16.3179089338884,1.59319444451068,432,"7 May 2022","4","Jeremiah",19,"auto",17660,4993.53582143955
"CS2021","dioecious","Thalictrum dioicum","BI","5",221.153332023576,16.714784320657,1.48373784760191,509,"7 May 2022","5","Jeremiah",22,"auto",18060,1959.43869513695
"CS2021","dioecious","Thalictrum dioicum","BI","6",223.315681818182,16.8097565439769,1.33669215358865,88,"7 May 2022","6","Jeremiah",27,"auto",13020,1571.78242769157
"CS2021","dioecious","Thalictrum dioicum","BI","8",191.119860576923,15.3937126798492,2.53096250029019,208,"7 May 2022","8","Jeremiah",16,"auto",15860,3311.02703099809
"CS2021","dioecious","Thalictrum dioicum","BI","9",226.173741042345,16.9048934222468,1.4831455632656,1228,"7 May 2022","9","Jeremiah",27,"auto",26980,3323.23637437965
"CS2021","hermaphroditic","Chenopodium album","FBF1","1",500.930538461538,25.1943695912377,1.76297545394025,52,"22 Jul 2021","M1","Jeremiah",5,"manual",1936,222.279103831197
