,,,Pollen size (?m),,,,Pollen per anther,,,
Species,Sex system,n,Mean ± SD,Min,Max,CV,Mean ± SD,Min ,Max,CV
Rumex acetosella,D,21,20 ± 0.6,19.3,21.5,0.030,2070 ± 564,1034,3242,0.27
Thalictrum dioicum,D,23,16.6 ± 0.6,15.9,17.7,0.037,3320 ± 1295,1108,5450,0.39
Amaranthus retroflexus,M,16,24.7 ± 1.7,21.9,28.1,0.068,2648 ± 618,1467,3733,0.23
Ambrosia artemisiifolia,M,21,17.9 ± 0.4,17.4,19.0,0.024,766 ± 388,228,1532,0.51
Carex communis,M,18,24.4 ± 2,18.6,26.1,0.083,607 ± 100,385,776,0.17
Carex hirtifolia,M,18,25.2 ± 0.4,24.7,26.1,0.016,665 ± 152,365,950,0.23
Carex pedunculata,M,19,24.6 ± 0.7,23.2,26.0,0.029,518 ± 126,335,909,0.24
Carex stipata,M,36,24.6 ± 0.8,23.8,26.7,0.031,413 ± 73,256,568,0.18
Rumex crispus,M,20,24.1 ± 0.6,23.0,24.9,0.023,758 ± 166,499,1103,0.22
Scirpus microcarpus,M,14,22.8 ± 0.4,22.0,23.4,0.019,169 ± 64,109,334,0.38
Agropyron trachycaulum,H,10,37.7 ± 1.6,34.9,39.2,0.041,5395 ± 927,3249,6493,0.17
Avenula hookeri,H,5,28.1 ± 1.6,25.9,29.7,0.057,1719 ± 1078,771,3491,0.63
Bromus inermis,H,30,33.5 ± 2.6,30.1,40.4,0.077,5659 ± 2452,940,11633,0.43
Chenopodium album,H,22,24.2 ± 0.6,23.3,25.4,0.023,525 ± 137,273,824,0.26
Elymus innovatus,H,34,35.2 ± 1.7,31.9,38.2,0.047,7573 ± 2434,3737,14904,0.32
Elymus repens,H,33,37.1 ± 1.6,33.8,39.2,0.042,4995 ± 1848,1481,8909,0.37
Festuca campestris,H,60,28.9 ± 1.6,23.9,32.6,0.054,6518 ± 1947,1084,10865,0.30
Festuca pratensis,H,14,29.6 ± 1.1,27.8,31.1,0.038,2473 ± 931,1095,4481,0.38
Festuca rubra,H,8,29.1 ± 1.2,26.6,30.5,0.041,3037 ± 2565,649,7500,0.84
Hierochloe odorata,H,50,22.6 ± 1.9,18.1,25.6,0.084,1713 ± 784,51,3631,0.46
Koeleria cristata,H,25,22 ± 1.2,20.7,24.5,0.053,2374 ± 1045,866,4818,0.44
Phalaris arundinacea,H,7,32.1 ± 0.5,31.1,32.5,0.016,1496 ± 493,532,2106,0.33
Phleum pratense,H,30,29.9 ± 1.8,26.8,33.5,0.060,1697 ± 595,265,2654,0.35
Plantago lanceolata,H,24,21.2 ± 1.2,18.6,23.2,0.056,2749 ± 768,1009,4743,0.28
Poa juncifolia,H,6,21.7 ± 1,20.0,23.0,0.046,2426 ± 1037,1320,4195,0.43
Schizachne purpurascens,H,12,29.3 ± 0.5,28.6,30.3,0.017,287 ± 99,150,430,0.35
Stipa columbiana,H,10,28.5 ± 1.3,26.5,30.1,0.047,673 ± 387,144,1336,0.57
