"Sex_sys","Species","nind","term","estimate","std.error","statistic","p.value"
"dioecious","Rumex acetosella","21","(Intercept)","2299.89366633196","4339.98775778487","0.529930911027691","0.602298271954678"
"dioecious","Rumex acetosella","21","Avg_diam","-11.4870562652234","217.194096705857","-0.0528884368380422","0.958372919856201"
"dioecious","Thalictrum dioicum","23","(Intercept)","11568.8224671243","7467.04807357721","1.54931672504715","0.13624542754644"
"dioecious","Thalictrum dioicum","23","Avg_diam","-496.859252646731","449.478115093877","-1.10541366967991","0.281484454010459"
"hermaphroditic","Agropyron trachycaulum","10","(Intercept)","15057.538689835","7156.60063626207","2.10400711946106","0.0685091311349216"
"hermaphroditic","Agropyron trachycaulum","10","Avg_diam","-256.239020527632","189.640666656568","-1.35118181688146","0.213604001765162"
"hermaphroditic","Bromus inermis","30","(Intercept)","20670.263842862","5338.87780740486","3.87164954668808","0.000592193902890108"
"hermaphroditic","Bromus inermis","30","Avg_diam","-448.560762500397","159.078621744488","-2.81974257496947","0.00872931744253006"
"hermaphroditic","Chenopodium album","22","(Intercept)","2451.87069222814","1258.79050506972","1.9477988452831","0.06561387170764"
"hermaphroditic","Chenopodium album","22","Avg_diam","-79.5955631447268","51.9975017913813","-1.53075744800339","0.141493975558826"
"hermaphroditic","Elymus innovatus","34","(Intercept)","-16275.6689921343","8087.32430318672","-2.01249120005253","0.0526480697196043"
"hermaphroditic","Elymus innovatus","34","Avg_diam","678.30208640658","229.767598346179","2.95212245455347","0.00586766321254181"
"hermaphroditic","Elymus repens","33","(Intercept)","949.192648029285","7812.82536413665","0.121491599234559","0.904085785269722"
"hermaphroditic","Elymus repens","33","Avg_diam","109.041288139356","210.373108022865","0.518323321664784","0.607912805927339"
"hermaphroditic","Festuca campestris","60","(Intercept)","21612.2724177354","4295.11230002183","5.03182941634041","5.00626077763506e-06"
"hermaphroditic","Festuca campestris","60","Avg_diam","-522.276566695621","148.402946052591","-3.51931400681584","0.000849044149247642"
"hermaphroditic","Festuca pratensis","14","(Intercept)","18713.0555022816","5302.48760796616","3.52910876664156","0.00415321859901616"
"hermaphroditic","Festuca pratensis","14","Avg_diam","-548.264674680881","178.891143010412","-3.06479496667407","0.00981123387558457"
"hermaphroditic","Hierochloe odorata","50","(Intercept)","770.77371091243","1346.23413794887","0.57254060730237","0.569628001759136"
"hermaphroditic","Hierochloe odorata","50","Avg_diam","41.7073568508457","59.3586793806103","0.702632829538144","0.485678373729152"
"hermaphroditic","Koeleria cristata","25","(Intercept)","12288.1756065338","3595.3248177239","3.41782070592251","0.00235455868425364"
"hermaphroditic","Koeleria cristata","25","Avg_diam","-450.194938216704","163.048593209215","-2.76110900042565","0.0111182859636959"
"hermaphroditic","Phleum pratense","30","(Intercept)","2238.60832723135","1891.26490210136","1.18365667588082","0.246500988580371"
"hermaphroditic","Phleum pratense","30","Avg_diam","-18.1490010762282","63.2096289150551","-0.287123993412743","0.776131569754252"
"hermaphroditic","Plantago lanceolata","24","(Intercept)","8923.74033080779","2617.76479414477","3.408916015208","0.0025171648066341"
"hermaphroditic","Plantago lanceolata","24","Avg_diam","-290.673401838381","123.038813275938","-2.36245290489345","0.0274162932808524"
"hermaphroditic","Schizachne purpurascens","12","(Intercept)","-55.3471304124965","1804.45008140499","-0.0306725749760845","0.976134204195221"
"hermaphroditic","Schizachne purpurascens","12","Avg_diam","11.6877467602377","61.5679880357658","0.18983480105681","0.853236603900668"
"hermaphroditic","Stipa columbiana","10","(Intercept)","-4243.74982130346","2360.20123824809","-1.7980457566633","0.109880688631794"
"hermaphroditic","Stipa columbiana","10","Avg_diam","172.298270041628","82.6269923313022","2.08525404568496","0.0705366781937423"
"monoecious","Amaranthus retroflexus","16","(Intercept)","7781.47280643041","2030.19356611604","3.83287236069669","0.00182826737684153"
"monoecious","Amaranthus retroflexus","16","Avg_diam","-207.627662828417","81.943130979327","-2.53380192271147","0.0238546804008498"
"monoecious","Ambrosia artemisiifolia","21","(Intercept)","2610.03633347292","3746.19022777461","0.696717511599346","0.494416224600852"
"monoecious","Ambrosia artemisiifolia","21","Avg_diam","-102.863598736677","208.905468173126","-0.492393040910881","0.628082992319626"
"monoecious","Carex communis","18","(Intercept)","49.4680030985763","268.286277029422","0.184385141298716","0.856028072400362"
"monoecious","Carex communis","18","Avg_diam","22.8463171144877","10.960612844765","2.08440143248007","0.0535092265198348"
"monoecious","Carex hirtifolia","18","(Intercept)","2923.78385863864","2386.21123327116","1.22528291622806","0.238200525848755"
"monoecious","Carex hirtifolia","18","Avg_diam","-89.5913160730079","94.6218043768438","-0.946835844687538","0.357804028305352"
"monoecious","Carex pedunculata","19","(Intercept)","2086.76591896368","990.565175671545","2.1066417134531","0.0503085457214495"
"monoecious","Carex pedunculata","19","Avg_diam","-63.6982755684639","40.197099848998","-1.58464853951526","0.131471044654442"
"monoecious","Carex stipata","36","(Intercept)","876.085352552025","394.586962849025","2.22025924583633","0.0331708919932732"
"monoecious","Carex stipata","36","Avg_diam","-18.7871667005598","16.0177834362461","-1.17289428811024","0.248990282453526"
"monoecious","Rumex crispus","20","(Intercept)","2108.35947777541","1657.16024041913","1.27227254573894","0.219467091859242"
"monoecious","Rumex crispus","20","Avg_diam","-56.1550911424014","68.8737978203385","-0.815333158901523","0.425539174479687"
"monoecious","Scirpus microcarpus","14","(Intercept)","362.499519479608","964.605247920367","0.375800899135824","0.713624101228935"
"monoecious","Scirpus microcarpus","14","Avg_diam","-8.48712430411248","42.3018665961702","-0.200632383084506","0.844346264049602"
