ind,pos,npollen,nstigma,npoll,jday,spp,H1,H2,D1,D2,D3,D4,D5,O1,O2,O3,O4,O5,dmean,lnpollen,treat,mwsp,vwsp,medwsp,qrange,time,arch,mstigl,mstigbl,mstigsa,h3,lmwsp,_TYPE_,_FREQ_,mpolcnt,mpollsize,vpolcnt,vpollsize,count,count2
N14,1,6,2,,1209,arepens,106,93,38,32,41,32,46,160,340,280,0,240,0.026455026,1.945910149,N,0.831764706,0.179990441,0.79,0.61,,compact,2.90141339,0.801752443,4.223703698,13,-0.184205684,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.19047619,0.036281179
N14,2,27,2,,1209,arepens,106,93,38,32,41,32,46,160,340,280,0,240,0.026455026,3.33220451,N,0.831764706,0.179990441,0.79,0.61,,compact,2.90141339,0.801752443,4.223703698,13,-0.184205684,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.19047619,0.036281179
N14,2,6,2,,1209,arepens,106,93,38,32,41,32,46,160,340,280,0,240,0.026455026,1.945910149,N,0.831764706,0.179990441,0.79,0.61,,compact,2.90141339,0.801752443,4.223703698,13,-0.184205684,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.19047619,0.036281179
N14,2,34,2,,1209,arepens,106,93,38,32,41,32,46,160,340,280,0,240,0.026455026,3.555348061,N,0.831764706,0.179990441,0.79,0.61,,compact,2.90141339,0.801752443,4.223703698,13,-0.184205684,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.19047619,0.036281179
N11,1,78,2,,1209,arepens,98.4,87.4,16,9,5,16.5,22.5,110,60,180,310,200,0.072463768,4.369447852,N,0.831764706,0.179990441,0.79,0.61,,compact,2.90141339,0.801752443,4.223703698,11,-0.184205684,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.19047619,0.036281179
N11,2,107,2,,1209,arepens,98.4,87.4,16,9,5,16.5,22.5,110,60,180,310,200,0.072463768,4.682131227,N,0.831764706,0.179990441,0.79,0.61,,compact,2.90141339,0.801752443,4.223703698,11,-0.184205684,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.19047619,0.036281179
N09,1,28,2,,1209,arepens,107.5,95.2,4,2,11,15,24,290,145,180,260,330,0.089285714,3.36729583,N,0.831764706,0.179990441,0.79,0.61,,compact,2.90141339,0.801752443,4.223703698,12.3,-0.184205684,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.19047619,0.036281179
N09,2,11,2,,1209,arepens,107.5,95.2,4,2,11,15,24,290,145,180,260,330,0.089285714,2.48490665,N,0.831764706,0.179990441,0.79,0.61,,compact,2.90141339,0.801752443,4.223703698,12.3,-0.184205684,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.19047619,0.036281179
M05,2,17,2,,1209,arepens,110,99.3,19,15,20,27,15,240,310,340,100,155,0.052083333,2.890371758,M,0.831764706,0.179990441,0.79,0.61,,compact,2.90141339,0.801752443,4.223703698,10.7,-0.184205684,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.19047619,0.036281179
C14,1,37,2,,1209,arepens,113.9,100.6,6,4,3,5,13,110,250,160,170,110,0.161290323,3.63758616,C,0.831764706,0.179990441,0.79,0.61,,compact,2.90141339,0.801752443,4.223703698,13.3,-0.184205684,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.19047619,0.036281179
