Species,Plant,Min,Max,Male_max,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Date,Time,Population,Lat,Long,Observer
Plantago lanceolata,5,21.5,22.4,21.5,30,40,78,70,75,,,,,,31-07-2021,,KM,,,Claire
Plantago lanceolata,6,17,18.1,17.5,12,42,29,42,66,,,,,,31-07-2021,,KM,,,Claire
Plantago lanceolata,7,19,20,19.5,40,53,80,70,50,,,,,,31-07-2021,,KM,,,Claire
Plantago lanceolata,8,13,13.8,13.5,24,36,25,39,44,,,,,,31-07-2021,,KM,,,Claire
Plantago lanceolata,9,16.4,16.7,16.5,24,17,35,23,28,,,,,,31-07-2021,,KM,,,Claire
Plantago lanceolata,10,17.8,19.4,18.9,13,26,24,22,30,,,,,,31-07-2021,,KM,,,Claire
Plantago lanceolata,11,19.8,21.1,20.4,29,58,58,61,61,,,,,,31-07-2021,,KM,,,Claire
Plantago lanceolata,12,17.1,18.3,17.7,41,31,27,39,50,,,,,,31-07-2021,,KM,,,Claire
Plantago lanceolata,13,15.1,16.4,15.6,40,31,38,44,47,,,,,,31-07-2021,,KM,,,Claire
Plantago lanceolata,14,15.7,16.8,16.2,22,27,36,45,37,,,,,,31-07-2021,,KM,,,Claire
Plantago lanceolata,15,23.1,24.5,24,16,40,22,31,28,,,,,,31-07-2021,,KM,,,Claire
Plantago lanceolata,16,15.3,16.3,15.6,22,35,24,31,50,,,,,,31-07-2021,,KM,,,Claire
Plantago lanceolata,17,28.6,29.8,29,22,43,48,55,60,,,,,,31-07-2021,,KM,,,Claire
Plantago lanceolata,1,33,33.5,35.5,8,6,6,10,11,12,25,26,30,27,18-Aug-21,,FBF,44.338257,-76.393716,Claire
Plantago lanceolata,2,21.5,22,33,2,9,18,14,22,19,24,29,30,30,18-Aug-21,,FBF,44.338257,-76.393716,Claire
Plantago lanceolata,3,31.4,32.8,33.7,9,14,32,36,37,33,34,37,38,36,18-Aug-21,,FBF,44.338257,-76.393716,Claire
Plantago lanceolata,4,21.2,22.6,21.6,6,6,7,11,11,12,12,17,16,11,18-Aug-21,,FBF,44.338257,-76.393716,Claire
Plantago lanceolata,5,36,38.6,37.8,4,3,10,9,15,18,18,17,18,19,18-Aug-21,,FBF,44.338257,-76.393716,Claire
Plantago lanceolata,6,31.5,34.1,32.6,7,5,7,8,9,9,15,15,13,15,18-Aug-21,,FBF,44.338257,-76.393716,Claire
Plantago lanceolata,7,30.4,32.7,32,5,11,5,8,12,14,13,23,40,41,18-Aug-21,,FBF,44.338257,-76.393716,Claire
Plantago lanceolata,8,25.5,27.5,26.5,8,4,10,31,33,32,35,36,51,43,18-Aug-21,,FBF,44.338257,-76.393716,Claire
Plantago lanceolata,9,29.1,30.9,29.6,5,3,4,10,21,16,20,22,20,25,18-Aug-21,,FBF,44.338257,-76.393716,Claire
Plantago lanceolata,10,19.9,21.2,20.7,9,28,32,29,32,33,34,37,35,41,18-Aug-21,,FBF,44.338257,-76.393716,Claire
Plantago lanceolata,11,31.2,32.8,31.6,12,16,15,12,12,20,16,19,21,21,18-Aug-21,,FBF,44.338257,-76.393716,Claire
Plantago lanceolata,12,35.3,37.1,36.1,6,7,7,8,6,6,9,9,9,13,18-Aug-21,,FBF,44.338257,-76.393716,Claire
Plantago lanceolata,13,19.5,20.4,20,6,4,3,7,8,8,9,9,10,11,18-Aug-21,,FBF,44.338257,-76.393716,Claire
Plantago lanceolata,14,31,33.2,32.8,2,4,4,5,2,7,7,7,10,10,18-Aug-21,,FBF,44.338257,-76.393716,Claire
Plantago lanceolata,15,28.2,29.3,28.6,10,8,3,4,10,10,12,14,11,13,18-Aug-21,,FBF,44.338257,-76.393716,Claire
Plantago lanceolata,1,26.2,28.7,28.5,7,10,10,11,9,7,10,16,17,15,20-Aug-21,10:00 AM,QU,44.227183,-76.492281,Claire
Plantago lanceolata,2,22.3,24.4,24.2,3,11,12,15,10,7,11,13,15,16,20-Aug-21,10:00 AM,QU,44.227183,-76.492281,Claire
Plantago lanceolata,3,16.8,12.6,17.3,7,6,9,11,11,10,12,15,15,17,20-Aug-21,10:00 AM,QU,44.227183,-76.492281,Claire
Plantago lanceolata,4,26.2,28,27.1,12,15,21,38,39,38,38,44,51,52,20-Aug-21,10:00 AM,QU,44.227183,-76.492281,Claire
Plantago lanceolata,5,22.6,24,23,6,15,11,9,15,14,19,37,45,54,20-Aug-21,10:00 AM,QU,44.227183,-76.492281,Claire
Plantago lanceolata,6,24.2,26.2,25.5,7,8,12,16,18,19,30,29,35,41,20-Aug-21,10:00 AM,QU,44.227183,-76.492281,Claire
Plantago lanceolata,7,30.7,35.2,34.8,5,15,12,23,25,19,17,24,26,30,20-Aug-21,10:00 AM,QU,44.227183,-76.492281,Claire
Plantago lanceolata,8,18,19.1,18.4,3,15,18,26,17,19,20,24,30,40,20-Aug-21,10:00 AM,QU,44.227183,-76.492281,Claire
Plantago lanceolata,9,24.4,25.9,25.7,6,12,21,43,85,93,95,111,96,14,20-Aug-21,10:00 AM,QU,44.227183,-76.492281,Claire
Plantago lanceolata,10,32.5,36.3,36,5,8,10,18,13,18,19,27,25,31,20-Aug-21,10:00 AM,QU,44.227183,-76.492281,Claire
Plantago lanceolata,11,22.5,24,23.7,7,4,13,12,17,13,21,30,30,32,20-Aug-21,10:00 AM,QU,44.227183,-76.492281,Claire
