Species,Date,Site,Plant,Flower,Stigma,Pollen,Observer,Lat,Long,Notes
Plantago lanceolata,31-Jul-21,KM,S4A,1,NA,116,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S4A,2,NA,NA,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S4A,3,NA,NA,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S4B,1,NA,25,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S4B,2,NA,87,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S4B,3,NA,NA,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S5,1,NA,89,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S5,2,NA,38,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S5,3,NA,219,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S7,1,NA,1,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S7,2,NA,97,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S7,3,NA,55,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S8,1,NA,11,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S8,2,NA,75,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S8,3,NA,42,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S9,1,NA,58,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S9,2,NA,115,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S9,3,NA,64,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S10,1,NA,22,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S10,2,NA,63,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S10,3,NA,NA,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S11,1,NA,68,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S11,2,NA,32,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S11,3,NA,149,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S12,1,NA,53,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S12,2,NA,9,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S12,3,NA,53,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S13,1,NA,33,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S13,2,NA,11,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S13,3,NA,18,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S14A,1,NA,2,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S14A,2,NA,3,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S14A,3,NA,NA,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S14B,1,NA,0,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S14B,2,NA,NA,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S14B,3,NA,NA,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S15,1,NA,196,Claire,44.292778,-76.444444,
Plantago lanceolata,31-Jul-21,KM,S15,2,NA,28,Claire,44.292778,-76.444444,
