Species,Site,Date,Plant,Flower,Stigma,Pollen,Observer,Notes
Plantago major,BioSci,16-Jul-21,9,A,1,139,Jeremiah,
Plantago major,BioSci,16-Jul-21,5,B,1,145,Jeremiah,
Plantago major,BioSci,16-Jul-21,12,C,1,247,Jeremiah,
Plantago major,BioSci,16-Jul-21,13,C,1,94,Jeremiah,
Plantago major,BioSci,16-Jul-21,15,C,1,85,Jeremiah,
Plantago major,BioSci,16-Jul-21,4,B,1,38,Jeremiah,
Plantago major,BioSci,16-Jul-21,12,A,1,168,Jeremiah,
Plantago major,BioSci,16-Jul-21,6,C,1,91,Jeremiah,
Plantago major,BioSci,16-Jul-21,14,C,1,15,Jeremiah,
Plantago major,BioSci,16-Jul-21,7,C,1,0,Jeremiah,
Plantago major,BioSci,16-Jul-21,8,C,1,60,Jeremiah,
Plantago major,BioSci,16-Jul-21,15,B,1,178,Jeremiah,
Plantago major,BioSci,16-Jul-21,16,A,1,2,Jeremiah,
Plantago major,BioSci,16-Jul-21,13,A,1,92,Jeremiah,
Plantago major,BioSci,16-Jul-21,1,B,1,329,Jeremiah,
Plantago major,BioSci,16-Jul-21,7,B,1,3,Jeremiah,
Plantago major,BioSci,16-Jul-21,11,C,1,187,Jeremiah,
Plantago major,BioSci,16-Jul-21,15,A,1,263,Jeremiah,
Plantago major,BioSci,16-Jul-21,11,B,1,341,Jeremiah,
Plantago major,BioSci,16-Jul-21,2,B,1,104,Jeremiah,
Plantago major,BioSci,16-Jul-21,13,B,1,112,Jeremiah,
Plantago major,BioSci,16-Jul-21,3,B,1,9,Jeremiah,
Plantago major,BioSci,16-Jul-21,9,B,1,186,Jeremiah,
Plantago major,BioSci,16-Jul-21,14,A,1,1,Jeremiah,
Plantago major,BioSci,16-Jul-21,5,C,1,298,Jeremiah,
Plantago major,BioSci,16-Jul-21,1,C,1,142,Jeremiah,
Plantago major,BioSci,16-Jul-21,6,B,1,99,Jeremiah,
Plantago major,BioSci,16-Jul-21,14,B,1,2,Jeremiah,
Plantago major,BioSci,16-Jul-21,9,C,1,137,Jeremiah,
Plantago major,BioSci,16-Jul-21,12,B,1,112,Jeremiah,
Plantago major,BioSci,16-Jul-21,11,A,1,287,Jeremiah,
Plantago major,BioSci,16-Jul-21,8,A,1,152,Jeremiah,
Plantago major,BioSci,16-Jul-21,5,A,1,179,Jeremiah,
Plantago major,BioSci,16-Jul-21,1,A,1,88,Jeremiah,
Plantago major,BioSci,16-Jul-21,4,A,1,85,Jeremiah,
Plantago major,BioSci,16-Jul-21,2,A,1,59,Jeremiah,
Plantago major,BioSci,16-Jul-21,2,C,1,15,Jeremiah,
Plantago major,BioSci,16-Jul-21,3,C,1,75,Jeremiah,
Plantago major,BioSci,16-Jul-21,10,B,1,0,Jeremiah,
Plantago major,BioSci,16-Jul-21,8,B,1,146,Jeremiah,
Plantago major,BioSci,16-Jul-21,7,A,1,2,Jeremiah,
Plantago major,BioSci,16-Jul-21,10,C,1,1,Jeremiah,
Plantago major,BioSci,16-Jul-21,3,C,1,10,Jeremiah,
Plantago major,BioSci,16-Jul-21,4,C,1,251,Jeremiah,
Plantago major,BioSci,16-Jul-21,6,A,1,55,Jeremiah,
