"","x"
"Race_count_Race_2uL_L10AaS1_count_RAW_ch00.tif_results.csv",382
"Race_count_Race_2uL_L10AaS2_count_RAW_ch00.tif_results.csv",364
"Race_count_Race_2uL_L10AaS3_count_RAW_ch00.tif_results.csv",354
"Race_count_Race_2uL_L10AbS1_count_RAW_ch00.tif_results.csv",261
"Race_count_Race_2uL_L10AbS2_count_RAW_ch00.tif_results.csv",214
"Race_count_Race_2uL_L10AbS3_count_RAW_ch00.tif_results.csv",283
"Race_count_Race_2uL_L1AaS1_count_RAW_ch00.tif_results.csv",361
"Race_count_Race_2uL_L1AaS2_count_RAW_ch00.tif_results.csv",354
"Race_count_Race_2uL_L1AaS3_count_RAW_ch00.tif_results.csv",263
"Race_count_Race_2uL_L1AbS1_count_RAW_ch00.tif_results.csv",358
"Race_count_Race_2uL_L1AbS2_count_RAW_ch00.tif_results.csv",345
"Race_count_Race_2uL_L1AbS3_count_RAW_ch00.tif_results.csv",799
"Race_count_Race_2uL_L1AcS1_count_RAW_ch00.tif_results.csv",431
"Race_count_Race_2uL_L1AcS2_count_RAW_ch00.tif_results.csv",777
"Race_count_Race_2uL_L1AcS3_count_RAW_ch00.tif_results.csv",837
"Race_count_Race_2uL_L2AaS1_count_RAW_ch00.tif_results.csv",761
"Race_count_Race_2uL_L2AaS2_count_RAW_ch00.tif_results.csv",704
"Race_count_Race_2uL_L2AaS3_count_RAW_ch00.tif_results.csv",689
"Race_count_Race_2uL_L3AaS1_count_RAW_ch00.tif_results.csv",293
"Race_count_Race_2uL_L3AaS2_count_RAW_ch00.tif_results.csv",296
"Race_count_Race_2uL_L3AaS3_count_RAW_ch00.tif_results.csv",299
"Race_count_Race_2uL_L4AaS1_count_RAW_ch00.tif_results.csv",549
"Race_count_Race_2uL_L4AaS2_count_RAW_ch00.tif_results.csv",516
"Race_count_Race_2uL_L4AaS3_count_RAW_ch00.tif_results.csv",547
"Race_count_Race_2uL_L4AbS1_count_RAW_ch00.tif_results.csv",392
"Race_count_Race_2uL_L4AbS2_count_RAW_ch00.tif_results.csv",386
"Race_count_Race_2uL_L4AbS3_count_RAW_ch00.tif_results.csv",423
"Race_count_Race_2uL_L4AcS1_count_RAW_ch00.tif_results.csv",475
"Race_count_Race_2uL_L4AcS2_count_RAW_ch00.tif_results.csv",475
"Race_count_Race_2uL_L4AcS3_count_RAW_ch00.tif_results.csv",420
"Race_count_Race_2uL_L5AaS1_count_RAW_ch00.tif_results.csv",408
"Race_count_Race_2uL_L5AaS2_count_RAW_ch00.tif_results.csv",394
"Race_count_Race_2uL_L5AaS3_count_RAW_ch00.tif_results.csv",494
"Race_count_Race_2uL_L5AbS1_count_RAW_ch00.tif_results.csv",377
"Race_count_Race_2uL_L5AbS2_count_RAW_ch00.tif_results.csv",416
"Race_count_Race_2uL_L5AbS3_count_RAW_ch00.tif_results.csv",609
"Race_count_Race_2uL_L5AcS1_count_RAW_ch00.tif_results.csv",447
"Race_count_Race_2uL_L5AcS2_count_RAW_ch00.tif_results.csv",459
"Race_count_Race_2uL_L5AcS3_count_RAW_ch00.tif_results.csv",497
"Race_count_Race_2uL_L6AaS1_count_RAW_ch00.tif_results.csv",388
"Race_count_Race_2uL_L6AaS2_count_RAW_ch00.tif_results.csv",345
"Race_count_Race_2uL_L6AaS3_count_RAW_ch00.tif_results.csv",391
"Race_count_Race_2uL_L6AbS1_count_RAW_ch00.tif_results.csv",447
"Race_count_Race_2uL_L6AbS2_count_RAW_ch00.tif_results.csv",458
"Race_count_Race_2uL_L6AbS3_count_RAW_ch00.tif_results.csv",506
"Race_count_Race_2uL_L6AcS1_count_RAW_ch00.tif_results.csv",308
"Race_count_Race_2uL_L6AcS2_count_RAW_ch00.tif_results.csv",302
"Race_count_Race_2uL_L6AcS3_count_RAW_ch00.tif_results.csv",391
"Race_count_Race_2uL_L7AbS1_count_RAW_ch00.tif_results.csv",220
"Race_count_Race_2uL_L7AbS2_count_RAW_ch00.tif_results.csv",172
"Race_count_Race_2uL_L7AbS3_count_RAW_ch00.tif_results.csv",156
"Race_count_Race_2uL_L7AcS1_count_RAW_ch00.tif_results.csv",290
"Race_count_Race_2uL_L7AcS2_count_RAW_ch00.tif_results.csv",342
"Race_count_Race_2uL_L7AcS3_count_RAW_ch00.tif_results.csv",310
"Race_count_Race_2uL_L9AaS1_count_RAW_ch00.tif_results.csv",292
"Race_count_Race_2uL_L9AaS2_count_RAW_ch00.tif_results.csv",250
"Race_count_Race_2uL_L9AaS3_count_RAW_ch00.tif_results.csv",353
"Race_count_Race_2uL_L9AbS1_count_RAW_ch00.tif_results.csv",228
"Race_count_Race_2uL_L9AbS2_count_RAW_ch00.tif_results.csv",226
"Race_count_Race_2uL_L9AbS3_count_RAW_ch00.tif_results.csv",227
"Race_count_Race_2uL_L9AcS1_count_RAW_ch00.tif_results.csv",230
"Race_count_Race_2uL_L9AcS2_count_RAW_ch00.tif_results.csv",277
"Race_count_Race_2uL_L9AcS3_count_RAW_ch00.tif_results.csv",307
