"","x"
"Tdio_count_Tdio_2-5uL_L10A1S1_count_RAW_ch00.tif_results.csv",127
"Tdio_count_Tdio_2-5uL_L10A1S2_count_RAW_ch00.tif_results.csv",127
"Tdio_count_Tdio_2-5uL_L10A1S3_count_RAW_ch00.tif_results.csv",130
"Tdio_count_Tdio_2-5uL_L10A2S1_count_RAW_ch00.tif_results.csv",119
"Tdio_count_Tdio_2-5uL_L10A2S2_count_RAW_ch00.tif_results.csv",114
"Tdio_count_Tdio_2-5uL_L10A2S3_count_RAW_ch00.tif_results.csv",119
"Tdio_count_Tdio_2-5uL_L10A3S1_count_RAW_ch00.tif_results.csv",114
"Tdio_count_Tdio_2-5uL_L10A3S2_count_RAW_ch00.tif_results.csv",191
"Tdio_count_Tdio_2-5uL_L10A3S3_count_RAW_ch00.tif_results.csv",152
"Tdio_count_Tdio_2-5uL_L1A1S1_count_RAW_ch00.tif_results.csv",146
"Tdio_count_Tdio_2-5uL_L1A1S2_count_RAW_ch00.tif_results.csv",121
"Tdio_count_Tdio_2-5uL_L1A1S3_count_RAW_ch00.tif_results.csv",146
"Tdio_count_Tdio_2-5uL_L1A2S1_count_RAW_ch00.tif_results.csv",106
"Tdio_count_Tdio_2-5uL_L1A2S2_count_RAW_ch00.tif_results.csv",155
"Tdio_count_Tdio_2-5uL_L1A2S3_count_RAW_ch00.tif_results.csv",179
"Tdio_count_Tdio_2-5uL_L1A3S1_count_RAW_ch00.tif_results.csv",159
"Tdio_count_Tdio_2-5uL_L1A3S2_count_RAW_ch00.tif_results.csv",153
"Tdio_count_Tdio_2-5uL_L1A3S3_count_RAW_ch00.tif_results.csv",111
"Tdio_count_Tdio_2-5uL_L2A1S1_count_RAW_ch00.tif_results.csv",125
"Tdio_count_Tdio_2-5uL_L2A1S2_count_RAW_ch00.tif_results.csv",126
"Tdio_count_Tdio_2-5uL_L2A1S3_count_RAW_ch00.tif_results.csv",84
"Tdio_count_Tdio_2-5uL_L2A2S1_count_RAW_ch00.tif_results.csv",92
"Tdio_count_Tdio_2-5uL_L2A2S2_count_RAW_ch00.tif_results.csv",113
"Tdio_count_Tdio_2-5uL_L2A2S3_count_RAW_ch00.tif_results.csv",143
"Tdio_count_Tdio_2-5uL_L2A3S1_count_RAW_ch00.tif_results.csv",144
"Tdio_count_Tdio_2-5uL_L2A3S2_count_RAW_ch00.tif_results.csv",122
"Tdio_count_Tdio_2-5uL_L2A3S3_count_RAW_ch00.tif_results.csv",175
"Tdio_count_Tdio_2-5uL_L3A1S1_count_RAW_ch00.tif_results.csv",200
"Tdio_count_Tdio_2-5uL_L3A1S2_count_RAW_ch00.tif_results.csv",164
"Tdio_count_Tdio_2-5uL_L3A1S3_count_RAW_ch00.tif_results.csv",167
"Tdio_count_Tdio_2-5uL_L3A2S1_count_RAW_ch00.tif_results.csv",139
"Tdio_count_Tdio_2-5uL_L3A2S2_count_RAW_ch00.tif_results.csv",130
"Tdio_count_Tdio_2-5uL_L3A2S3_count_RAW_ch00.tif_results.csv",197
"Tdio_count_Tdio_2-5uL_L3A3S1_count_RAW_ch00.tif_results.csv",202
"Tdio_count_Tdio_2-5uL_L3A3S2_count_RAW_ch00.tif_results.csv",193
"Tdio_count_Tdio_2-5uL_L3A3S3_count_RAW_ch00.tif_results.csv",187
"Tdio_count_Tdio_2-5uL_L4A1S1_count_RAW_ch00.tif_results.csv",102
"Tdio_count_Tdio_2-5uL_L4A1S2_count_RAW_ch00.tif_results.csv",138
"Tdio_count_Tdio_2-5uL_L4A1S3_count_RAW_ch00.tif_results.csv",143
"Tdio_count_Tdio_2-5uL_L4A2S1_count_RAW_ch00.tif_results.csv",93
"Tdio_count_Tdio_2-5uL_L4A2S2_count_RAW_ch00.tif_results.csv",82
"Tdio_count_Tdio_2-5uL_L4A2S3_count_RAW_ch00.tif_results.csv",82
"Tdio_count_Tdio_2-5uL_L4A3S1_count_RAW_ch00.tif_results.csv",107
"Tdio_count_Tdio_2-5uL_L4A3S2_count_RAW_ch00.tif_results.csv",75
"Tdio_count_Tdio_2-5uL_L4A3S3_count_RAW_ch00.tif_results.csv",61
"Tdio_count_Tdio_2-5uL_L5A1S1_count_RAW_ch00.tif_results.csv",112
"Tdio_count_Tdio_2-5uL_L5A1S2_count_RAW_ch00.tif_results.csv",113
"Tdio_count_Tdio_2-5uL_L5A1S3_count_RAW_ch00.tif_results.csv",89
"Tdio_count_Tdio_2-5uL_L5A2S1_count_RAW_ch00.tif_results.csv",97
"Tdio_count_Tdio_2-5uL_L5A2S2_count_RAW_ch00.tif_results.csv",109
"Tdio_count_Tdio_2-5uL_L5A2S3_count_RAW_ch00.tif_results.csv",94
"Tdio_count_Tdio_2-5uL_L5A3S1_count_RAW_ch00.tif_results.csv",82
"Tdio_count_Tdio_2-5uL_L5A3S2_count_RAW_ch00.tif_results.csv",99
"Tdio_count_Tdio_2-5uL_L5A3S3_count_RAW_ch00.tif_results.csv",108
"Tdio_count_Tdio_2-5uL_L6A1S1_count_RAW_ch00.tif_results.csv",68
"Tdio_count_Tdio_2-5uL_L6A1S2_count_RAW_ch00.tif_results.csv",77
"Tdio_count_Tdio_2-5uL_L6A1S3_count_RAW_ch00.tif_results.csv",86
"Tdio_count_Tdio_2-5uL_L6A2S1_count_RAW_ch00.tif_results.csv",68
"Tdio_count_Tdio_2-5uL_L6A2S2_count_RAW_ch00.tif_results.csv",69
"Tdio_count_Tdio_2-5uL_L6A2S3_count_RAW_ch00.tif_results.csv",58
"Tdio_count_Tdio_2-5uL_L6A3S1_count_RAW_ch00.tif_results.csv",81
"Tdio_count_Tdio_2-5uL_L6A3S2_count_RAW_ch00.tif_results.csv",78
"Tdio_count_Tdio_2-5uL_L6A3S3_count_RAW_ch00.tif_results.csv",66
