Species,Date,Site,Label,Anther,Subsample,Tube_vol_init_uL,Fuschin_vol_uL,Glycerin_tube_vol_uL,Tot_tube_vol_uL,Subsample_vol_uL,Pollen_sub,Pollen_tot,Observer,N_anth_tube,Anth_per_flw
Amaranthus retroflexus,16 Aug 2021,FBF,A1,1,1,500,100,0,600,5,28,3360,Claire,1,5
Amaranthus retroflexus,16 Aug 2021,FBF,A1,1,2,500,100,0,600,5,28,3360,Claire,1,5
Amaranthus retroflexus,16 Aug 2021,FBF,A1,1,3,500,100,0,600,5,24,2880,Claire,1,5
Amaranthus retroflexus,16 Aug 2021,FBF,A2,1,1,500,100,0,600,5,26,3120,Claire,1,5
Amaranthus retroflexus,16 Aug 2021,FBF,A2,1,2,500,100,0,600,5,31,3720,Claire,1,5
Amaranthus retroflexus,16 Aug 2021,FBF,A2,1,3,500,100,0,600,5,29,3480,Claire,1,5
Amaranthus retroflexus,16 Aug 2021,FBF,A3,1,1,500,100,0,600,7.5,34,2720,Claire,1,5
Amaranthus retroflexus,16 Aug 2021,FBF,A3,1,2,500,100,0,600,7.5,35,2800,Claire,1,5
Amaranthus retroflexus,16 Aug 2021,FBF,A3,1,3,500,100,0,600,7.5,37,2960,Claire,1,5
Amaranthus retroflexus,16 Aug 2021,FBF,A4,1,1,500,100,0,600,7.5,30,2400,Claire,1,5
Amaranthus retroflexus,16 Aug 2021,FBF,A4,1,2,500,100,0,600,7.5,37,2960,Claire,1,5
Amaranthus retroflexus,16 Aug 2021,FBF,A4,1,3,500,100,0,600,7.5,33,2640,Claire,1,5
Amaranthus retroflexus,16 Aug 2021,FBF,A5,1,1,500,100,0,600,7.5,36,2880,Claire,1,5
Amaranthus retroflexus,16 Aug 2021,FBF,A5,1,2,500,100,0,600,7.5,34,2720,Claire,1,5
Amaranthus retroflexus,16 Aug 2021,FBF,A5,1,3,500,100,0,600,7.5,27,2160,Claire,1,5
Amaranthus retroflexus,16 Aug 2021,FBF,A6,1,1,500,100,0,600,7.5,37,2960,Claire,1,5
Amaranthus retroflexus,16 Aug 2021,FBF,A6,1,2,500,100,0,600,7.5,35,2800,Claire,1,5
Amaranthus retroflexus,16 Aug 2021,FBF,A6,1,3,500,100,0,600,7.5,36,2880,Claire,1,5
Amaranthus retroflexus,17 Jul 2021,FBF,A1,1,1,500,100,0,600,7.5,34,2720,Claire,1,5
Amaranthus retroflexus,17 Jul 2021,FBF,A1,1,2,500,100,0,600,7.5,28,2240,Claire,1,5
