Species,Date,Site,Label,Anther,Subsample,Tube_vol_init_uL,Fuschin_vol_uL,Glycerin_tube_vol_uL,Tot_tube_vol_uL,Subsample_vol_uL,Pollen_sub,Pollen_tot,Observer,N_anth_tube,Anth_per_flw
Ambrosia artemisiifolia,,Lemoine Point,1,1,1,500,100,0,600,5,116,13920,Claire,5,5
Ambrosia artemisiifolia,,Lemoine Point,1,1,2,500,100,0,600,5,114,13680,Claire,5,5
Ambrosia artemisiifolia,,Lemoine Point,1,1,3,500,100,0,600,5,120,14400,Claire,5,5
Ambrosia artemisiifolia,,Lemoine Point,1,1,4,500,100,0,600,5,76,9120,Claire,5,5
Ambrosia artemisiifolia,,Lemoine Point,2,1,1,500,100,0,600,5,109,13080,Claire,5,5
Ambrosia artemisiifolia,,Lemoine Point,2,1,2,500,100,0,600,5,141,16920,Claire,5,5
Ambrosia artemisiifolia,,Lemoine Point,2,1,3,500,100,0,600,5,101,12120,Claire,5,5
Ambrosia artemisiifolia,,Lemoine Point,2,1,4,500,100,0,600,5,131,15720,Claire,5,5
Ambrosia artemisiifolia,,Lemoine Point,2,1,5,500,100,0,600,5,150,18000,Claire,5,5
Ambrosia artemisiifolia,,Lemoine Point,2,1,6,500,100,0,600,5,137,16440,Claire,5,5
Ambrosia artemisiifolia,,Lemoine Point,3,1,1,500,100,0,600,5,128,15360,Claire,5,5
Ambrosia artemisiifolia,,Lemoine Point,3,1,2,500,100,0,600,5,117,14040,Claire,5,5
Ambrosia artemisiifolia,,Lemoine Point,3,1,3,500,100,0,600,5,126,15120,Claire,5,5
Ambrosia artemisiifolia,,Lemoine Point,4,1,1,500,100,0,600,5,129,15480,Claire,5,5
Ambrosia artemisiifolia,,Lemoine Point,4,1,2,500,100,0,600,5,124,14880,Claire,5,5
Ambrosia artemisiifolia,,Lemoine Point,4,1,3,500,100,0,600,5,124,14880,Claire,5,5
Ambrosia artemisiifolia,,Lemoine Point,5,1,1,500,100,0,600,5,108,12960,Claire,5,5
Ambrosia artemisiifolia,,Lemoine Point,5,1,2,500,100,0,600,5,106,12720,Claire,5,5
Ambrosia artemisiifolia,,Lemoine Point,5,1,3,500,100,0,600,5,103,12360,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,1,1,1,500,100,0,600,5,138,16560,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,1,1,2,500,100,0,600,5,146,17520,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,1,1,3,500,100,0,600,5,144,17280,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,2,1,1,500,100,0,600,5,184,22080,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,2,1,2,500,100,0,600,5,90,10800,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,2,1,3,500,100,0,600,5,157,18840,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,3,1,1,500,100,0,600,5,154,18480,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,3,1,2,500,100,0,600,5,136,16320,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,3,1,3,500,100,0,600,5,110,13200,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,4,1,1,500,100,0,600,5,121,14520,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,4,1,2,500,100,0,600,5,152,18240,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,4,1,3,500,100,0,600,5,133,15960,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,5,1,1,500,100,0,600,5,110,13200,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,5,1,2,500,100,0,600,5,73,8760,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,5,1,3,500,100,0,600,5,102,12240,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,6,1,1,500,100,0,600,5,120,14400,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,6,1,2,500,100,0,600,5,121,14520,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,6,1,3,500,100,0,600,5,133,15960,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,7,1,1,500,100,0,600,5,129,15480,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,7,1,2,500,100,0,600,5,110,13200,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,7,1,3,500,100,0,600,5,140,16800,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,8,1,1,500,100,0,600,5,106,12720,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,8,1,2,500,100,0,600,5,129,15480,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,8,1,3,500,100,0,600,5,121,14520,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,9,1,1,500,100,0,600,5,100,12000,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,9,1,2,500,100,0,600,5,132,15840,Claire,5,5
Ambrosia artemisiifolia,,Fruition Berry Farm,9,1,3,500,100,0,600,5,122,14640,Claire,5,5
