Species,Date,Site,Label,Anther,Subsample,Tube_vol_init_uL,Fuschin_vol_uL,Glycerin_tube_vol_uL,Tot_tube_vol_uL,Subsample_vol_uL,Pollen_sub,Pollen_tot,Observer,N_anth_tube,Anth_per_flw,
Chenopodium album,23 Jul 2021,FBF,M1,,1,500,100,0,600,7.5,110,8800,Jeremiah,5,5,1760
Chenopodium album,23 Jul 2021,FBF,M1,,2,500,100,0,600,7.5,87,6960,Jeremiah,5,5,1392
Chenopodium album,23 Jul 2021,FBF,M1,,3,500,100,0,600,7.5,107,8560,Jeremiah,5,5,1712
Chenopodium album,23 Jul 2021,FBF,M2,,1,500,100,0,600,7.5,108,8640,Jeremiah,5,5,1728
Chenopodium album,23 Jul 2021,FBF,M2,,2,500,100,0,600,7.5,130,10400,Jeremiah,5,5,2080
Chenopodium album,23 Jul 2021,FBF,M2,,3,500,100,0,600,7.5,97,7760,Jeremiah,5,5,1552
Chenopodium album,23 Jul 2021,FBF,M3,,1,500,100,0,600,7.5,97,7760,Jeremiah,5,5,1552
Chenopodium album,23 Jul 2021,FBF,M3,,2,500,100,0,600,7.5,91,7280,Jeremiah,5,5,1456
Chenopodium album,23 Jul 2021,FBF,M3,,3,500,100,0,600,7.5,93,7440,Jeremiah,5,5,1488
Chenopodium album,23 Jul 2021,FBF,M4,,1,500,100,0,600,7.5,122,9760,Jeremiah,5,5,1952
Chenopodium album,23 Jul 2021,FBF,M4,,2,500,100,0,600,7.5,98,7840,Jeremiah,5,5,1568
Chenopodium album,23 Jul 2021,FBF,M4,,3,500,100,0,600,7.5,99,7920,Jeremiah,5,5,1584
Chenopodium album,23 Jul 2021,FBF,M5,,1,500,100,0,600,7.5,89,7120,Jeremiah,5,5,1424
Chenopodium album,23 Jul 2021,FBF,M5,,2,500,100,0,600,7.5,82,6560,Jeremiah,5,5,1312
Chenopodium album,23 Jul 2021,FBF,M5,,3,500,100,0,600,7.5,77,6160,Jeremiah,5,5,1232
Chenopodium album,23 Jul 2021,FBF,M6,,1,500,100,0,600,7.5,66,5280,Jeremiah,5,5,1056
Chenopodium album,23 Jul 2021,FBF,M6,,2,500,100,0,600,7.5,78,6240,Jeremiah,5,5,1248
Chenopodium album,23 Jul 2021,FBF,M6,,3,500,100,0,600,7.5,109,8720,Jeremiah,5,5,1744
Chenopodium album,23 Jul 2021,FBF,M7,,1,500,100,0,600,7.5,92,7360,Jeremiah,5,5,1472
Chenopodium album,23 Jul 2021,FBF,M7,,2,500,100,0,600,7.5,122,9760,Jeremiah,5,5,1952
Chenopodium album,23 Jul 2021,FBF,M7,,3,500,100,0,600,7.5,133,10640,Jeremiah,5,5,2128
Chenopodium album,23 Jul 2021,FBF,M8,,1,500,100,0,600,7.5,89,7120,Jeremiah,5,5,1424
Chenopodium album,23 Jul 2021,FBF,M8,,2,500,100,0,600,7.5,93,7440,Jeremiah,5,5,1488
Chenopodium album,23 Jul 2021,FBF,M8,,3,500,100,0,600,7.5,101,8080,Jeremiah,5,5,1616
Chenopodium album,23 Jul 2021,FBF,M9,,1,500,100,0,600,7.5,90,7200,Jeremiah,5,5,1440
Chenopodium album,23 Jul 2021,FBF,M9,,2,500,100,0,600,7.5,102,8160,Jeremiah,5,5,1632
Chenopodium album,23 Jul 2021,FBF,M9,,3,500,100,0,600,7.5,95,7600,Jeremiah,5,5,1520
Chenopodium album,23 Jul 2021,FBF,M10,,1,500,100,0,600,7.5,125,10000,Jeremiah,5,5,2000
Chenopodium album,23 Jul 2021,FBF,M10,,2,500,100,0,600,7.5,93,7440,Jeremiah,5,5,1488
Chenopodium album,23 Jul 2021,FBF,M10,,3,500,100,0,600,7.5,85,6800,Jeremiah,5,5,1360
Chenopodium album,22 Jul 2021,FBF,M1,,1,500,100,0,600,7.5,112,8960,Jeremiah,5,5,1792
Chenopodium album,22 Jul 2021,FBF,M1,,2,500,100,0,600,7.5,114,9120,Jeremiah,5,5,1824
Chenopodium album,22 Jul 2021,FBF,M1,,3,500,100,0,600,7.5,137,10960,Jeremiah,5,5,2192
Chenopodium album,22 Jul 2021,FBF,M2,,1,500,100,0,600,7.5,94,7520,Jeremiah,5,5,1504
Chenopodium album,22 Jul 2021,FBF,M2,,2,500,100,0,600,7.5,106,8480,Jeremiah,5,5,1696
Chenopodium album,22 Jul 2021,FBF,M2,,3,500,100,0,600,7.5,94,7520,Jeremiah,5,5,1504
Chenopodium album,22 Jul 2021,FBF,M3,,1,500,100,0,600,7.5,92,7360,Jeremiah,5,5,1472
Chenopodium album,22 Jul 2021,FBF,M3,,2,500,100,0,600,7.5,117,9360,Jeremiah,5,5,1872
Chenopodium album,22 Jul 2021,FBF,M3,,3,500,100,0,600,7.5,109,8720,Jeremiah,5,5,1744
Chenopodium album,22 Jul 2021,FBF,M4,,1,500,100,0,600,7.5,56,4480,Jeremiah,5,5,896
Chenopodium album,22 Jul 2021,FBF,M4,,2,500,100,0,600,7.5,76,6080,Jeremiah,5,5,1216
Chenopodium album,22 Jul 2021,FBF,M4,,3,500,100,0,600,7.5,73,5840,Jeremiah,5,5,1168
Chenopodium album,22 Jul 2021,FBF,M5,,1,500,100,0,600,7.5,102,8160,Jeremiah,5,5,1632
Chenopodium album,22 Jul 2021,FBF,M5,,2,500,100,0,600,7.5,99,7920,Jeremiah,5,5,1584
Chenopodium album,22 Jul 2021,FBF,M5,,3,500,100,0,600,7.5,88,7040,Jeremiah,5,5,1408
Chenopodium album,22 Jul 2021,FBF,M6,,1,500,100,0,600,7.5,59,4720,Jeremiah,5,5,944
Chenopodium album,22 Jul 2021,FBF,M6,,2,500,100,0,600,7.5,74,5920,Jeremiah,5,5,1184
