Species,Date,Site,Label,Anther,Subsample,Tube_vol_init_uL,Fuschin_vol_uL,Glycerin_tube_vol_uL,Tot_tube_vol_uL,Subsample_vol_uL,Pollen_sub,Pollen_tot,Observer,N_anth_tube,Anth_per_flw,
Plantago lanceolata,18 Aug 2021,FBF,A10,NA,1,500,100,0,600,2.5,71,17040,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A10,NA,2,500,100,0,600,2.5,67,16080,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A10,NA,3,500,100,0,600,2.5,82,19680,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A1,NA,1,500,100,0,600,2.5,59,14160,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A1,NA,2,500,100,0,600,2.5,44,10560,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A1,NA,3,500,100,0,600,2.5,52,12480,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,S8,NA,1,500,100,0,600,2.5,43,10320,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,S8,NA,2,500,100,0,600,2.5,51,12240,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,S8,NA,3,500,100,0,600,2.5,47,11280,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A5,NA,1,500,100,0,600,2.5,65,15600,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A5,NA,2,500,100,0,600,2.5,55,13200,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A5,NA,3,500,100,0,600,2.5,47,11280,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A2,NA,1,500,200,0,700,2.5,35,9800,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A2,NA,2,500,200,0,700,2.5,23,6440,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A2,NA,3,500,200,0,700,2.5,28,7840,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A6,NA,1,500,100,0,600,2.5,55,13200,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A6,NA,2,500,100,0,600,2.5,54,12960,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A6,NA,3,500,100,0,600,2.5,46,11040,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A9,NA,1,500,100,0,600,2.5,65,15600,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A9,NA,2,500,100,0,600,2.5,69,16560,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A9,NA,3,500,100,0,600,2.5,75,18000,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A3,NA,1,500,100,0,600,2.5,58,13920,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A3,NA,2,500,100,0,600,2.5,54,12960,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A3,NA,3,500,100,0,600,2.5,59,14160,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A4,NA,1,500,100,0,600,2.5,53,12720,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A4,NA,2,500,100,0,600,2.5,63,15120,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A4,NA,3,500,100,0,600,2.5,75,18000,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A7,NA,1,500,200,0,700,2.5,22,6160,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A7,NA,2,500,200,0,700,2.5,23,6440,Claire,1,4,
Plantago lanceolata,18 Aug 2021,FBF,A7,NA,3,500,200,0,700,2.5,36,10080,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A1,NA,1,500,100,0,600,2.5,90,21600,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A1,NA,2,500,100,0,600,2.5,68,16320,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A1,NA,3,500,100,0,600,2.5,88,21120,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A1,NA,4,500,100,0,600,2.5,74,17760,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A1,NA,5,500,100,0,600,2.5,54,12960,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A1,NA,6,500,100,0,600,2.5,38,9120,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A2,NA,1,500,100,0,600,2.5,46,11040,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A2,NA,2,500,100,0,600,2.5,38,9120,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A2,NA,3,500,100,0,600,2.5,46,11040,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A3,NA,1,500,100,0,600,2.5,41,9840,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A3,NA,2,500,100,0,600,2.5,50,12000,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A3,NA,3,500,100,0,600,2.5,46,11040,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A4,NA,1,500,100,100,700,2.5,42,11760,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A4,NA,2,500,100,100,700,2.5,37,10360,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A4,NA,3,500,100,100,700,2.5,35,9800,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A5,NA,1,500,100,100,700,5,86,12040,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A5,NA,2,500,100,100,700,5,86,12040,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A5,NA,3,500,100,100,700,5,79,11060,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A5,NA,4,500,100,100,700,5,69,9660,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A6,NA,1,500,200,100,800,5,98,15680,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A6,NA,2,500,200,100,800,5,104,16640,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A6,NA,3,500,200,100,800,5,97,15520,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A7,NA,1,500,200,100,800,5,77,12320,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A7,NA,2,500,200,100,800,5,70,11200,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A7,NA,3,500,200,100,800,5,70,11200,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A8,NA,1,500,200,100,800,5,65,10400,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A8,NA,2,500,200,100,800,5,58,9280,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A8,NA,3,500,200,100,800,5,66,10560,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A8,NA,4,500,200,100,800,5,54,8640,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A9,NA,1,500,200,100,800,5,61,9760,Claire,1,4,
