Species,Date,Site,Label,Anther,Subsample,Tube_vol_init_uL,Fuschin_vol_uL,Glycerin_tube_vol_uL,Soap_sol_vol_uL,Tot_tube_vol_uL,Subsample_vol_uL,Pollen_sub,Pollen_tot,Observer,N_anth_tube,Anth_per_flw
Purple stigma grass,18 Jul 2021,FBF,1,,1,500,100,0,0,600,7.5,17,1360,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,1,,2,500,100,0,0,600,7.5,13,1040,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,1,,3,500,100,0,0,600,7.5,14,1120,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,2,,1,500,100,0,0,600,7.5,7,560,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,2,,2,500,100,0,0,600,7.5,6,480,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,2,,3,500,100,0,0,600,7.5,15,1200,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,3,,1,500,100,0,0,600,7.5,10,800,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,3,,2,500,100,0,0,600,7.5,12,960,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,3,,3,500,100,0,0,600,7.5,9,720,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,4,,1,500,100,0,0,600,7.5,24,1920,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,4,,2,500,100,0,0,600,7.5,18,1440,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,4,,3,500,100,0,0,600,7.5,13,1040,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,4,,4,500,100,0,0,600,7.5,13,1040,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,5,,1,500,100,0,0,600,7.5,10,800,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,5,,2,500,100,0,0,600,7.5,10,800,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,5,,3,500,100,0,0,600,7.5,11,880,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,5,,4,500,100,0,0,600,7.5,13,1040,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,6,,1,500,100,0,0,600,7.5,25,2000,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,6,,2,500,100,0,0,600,7.5,11,880,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,6,,3,500,100,0,0,600,7.5,13,1040,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,6,,4,500,100,0,0,600,7.5,12,960,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,7,,1,500,100,0,0,600,7.5,12,960,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,7,,2,500,100,0,0,600,7.5,14,1120,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,7,,3,500,100,0,0,600,7.5,9,720,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,7,,4,500,100,0,0,600,7.5,9,720,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,8,,1,500,100,0,0,600,7.5,19,1520,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,8,,2,500,100,0,0,600,7.5,28,2240,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,8,,3,500,100,0,0,600,7.5,22,1760,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,8,,4,500,100,0,0,600,7.5,13,1040,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,9,,1,500,100,0,0,600,7.5,12,960,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,9,,2,500,100,0,0,600,7.5,12,960,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,9,,3,500,100,0,0,600,7.5,10,800,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,10,,1,500,100,0,0,600,7.5,10,800,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,10,,2,500,100,0,0,600,7.5,13,1040,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,10,,3,500,100,0,0,600,7.5,10,800,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,10,,4,500,100,0,0,600,7.5,10,800,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,11,,1,500,100,0,0,600,7.5,8,640,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,11,,2,500,100,0,0,600,7.5,20,1600,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,11,,3,500,100,0,0,600,7.5,12,960,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,11,,4,500,100,0,0,600,7.5,16,1280,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,12,,1,500,100,0,0,600,7.5,14,1120,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,12,,2,500,100,0,0,600,7.5,16,1280,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,12,,3,500,100,0,0,600,7.5,19,1520,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,12,,4,500,100,0,0,600,7.5,13,1040,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,13,,1,500,100,0,0,600,7.5,8,640,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,13,,2,500,100,0,0,600,7.5,6,480,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,13,,3,500,100,0,0,600,7.5,7,560,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,13,,4,500,100,0,0,600,7.5,5,400,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,14,,1,500,100,0,0,600,7.5,19,1520,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,14,,2,500,100,0,0,600,7.5,18,1440,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,14,,3,500,100,0,0,600,7.5,18,1440,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,14,,4,500,100,0,0,600,7.5,19,1520,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,17,,1,500,100,0,0,600,7.5,16,1280,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,17,,2,500,100,0,0,600,7.5,16,1280,Claire,3,3
