"File","Npoll","Pollen_sub","Tot_tube_vol_uL","Subsample_vol_uL","Label","Anther","Subsample","Species","Date","Site","Observer","N_anth_tube","Anth_per_flw"
"Tdio_count_Tdio_2-5uL_L10A1S1_count_RAW_ch00.tif_results.csv",117,117,450,2.5,"1","1","1","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,28
"Tdio_count_Tdio_2-5uL_L10A1S2_count_RAW_ch00.tif_results.csv",130,130,450,2.5,"1","1","2","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,28
"Tdio_count_Tdio_2-5uL_L10A1S3_count_RAW_ch00.tif_results.csv",138,138,450,2.5,"1","1","3","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,28
"Tdio_count_Tdio_2-5uL_L10A2S1_count_RAW_ch00.tif_results.csv",120,120,450,2.5,"1","2","1","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,28
"Tdio_count_Tdio_2-5uL_L10A2S2_count_RAW_ch00.tif_results.csv",113,113,450,2.5,"1","2","2","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,28
"Tdio_count_Tdio_2-5uL_L10A2S3_count_RAW_ch00.tif_results.csv",134,134,450,2.5,"1","2","3","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,28
"Tdio_count_Tdio_2-5uL_L10A3S1_count_RAW_ch00.tif_results.csv",113,113,450,2.5,"1","3","1","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,28
"Tdio_count_Tdio_2-5uL_L10A3S2_count_RAW_ch00.tif_results.csv",229,229,450,2.5,"1","3","2","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,28
"Tdio_count_Tdio_2-5uL_L10A3S3_count_RAW_ch00.tif_results.csv",167,167,450,2.5,"1","3","3","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,28
"Tdio_count_Tdio_2-5uL_L3A1S1_count_RAW_ch00.tif_results.csv",205,205,450,2.5,"3","1","1","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,26
"Tdio_count_Tdio_2-5uL_L3A1S2_count_RAW_ch00.tif_results.csv",262,262,450,2.5,"3","1","2","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,26
"Tdio_count_Tdio_2-5uL_L3A1S3_count_RAW_ch00.tif_results.csv",236,236,450,2.5,"3","1","3","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,26
"Tdio_count_Tdio_2-5uL_L3A2S1_count_RAW_ch00.tif_results.csv",139,139,450,2.5,"3","2","1","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,26
"Tdio_count_Tdio_2-5uL_L3A2S2_count_RAW_ch00.tif_results.csv",183,183,450,2.5,"3","2","2","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,26
"Tdio_count_Tdio_2-5uL_L3A2S3_count_RAW_ch00.tif_results.csv",219,219,450,2.5,"3","2","3","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,26
"Tdio_count_Tdio_2-5uL_L3A3S1_count_RAW_ch00.tif_results.csv",207,207,450,2.5,"3","3","1","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,26
"Tdio_count_Tdio_2-5uL_L3A3S2_count_RAW_ch00.tif_results.csv",195,195,450,2.5,"3","3","2","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,26
"Tdio_count_Tdio_2-5uL_L3A3S3_count_RAW_ch00.tif_results.csv",228,228,450,2.5,"3","3","3","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,26
"Tdio_count_Tdio_2-5uL_L4A1S1_count_RAW_ch00.tif_results.csv",108,108,450,2.5,"4","1","1","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,19
"Tdio_count_Tdio_2-5uL_L4A1S2_count_RAW_ch00.tif_results.csv",142,142,450,2.5,"4","1","2","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,19
"Tdio_count_Tdio_2-5uL_L4A1S3_count_RAW_ch00.tif_results.csv",228,228,450,2.5,"4","1","3","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,19
"Tdio_count_Tdio_2-5uL_L4A2S1_count_RAW_ch00.tif_results.csv",93,93,450,2.5,"4","2","1","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,19
"Tdio_count_Tdio_2-5uL_L4A2S2_count_RAW_ch00.tif_results.csv",100,100,450,2.5,"4","2","2","Thalictrum dioicum","7 May 2021","BI","Jeremiah",1,19
