"","Filename","Area","Red_mean","Red_sd","Green_mean","Green_sd","Blue_mean","Blue_sd","Circ","AR","Round","Solidity"
"1","Aart_Area_1-1_RAW_ch00.tif_results.csv",225.451,123.335,11.538,68.04,15.944,154.974,14.1,0.894,1.028,0.973,0.966
"2","Aart_Area_1-1_RAW_ch00.tif_results.csv",233.331,112.4,13.128,67.031,16.883,154.336,13.501,0.889,1.014,0.986,0.968
"3","Aart_Area_1-1_RAW_ch00.tif_results.csv",244.959,108.712,13.677,60.946,17.71,152.526,14.38,0.9,1.027,0.974,0.968
"4","Aart_Area_1-1_RAW_ch00.tif_results.csv",227.084,110.315,12.003,65.1,14.206,135.483,9.914,0.88,1.034,0.967,0.961
"5","Aart_Area_1-1_RAW_ch00.tif_results.csv",221.607,115.351,13.776,64.898,15.536,147.862,13.919,0.893,1.097,0.911,0.969
"6","Aart_Area_1-1_RAW_ch00.tif_results.csv",263.026,106.993,14.651,61.099,16.261,149.61,16.592,0.862,1.061,0.942,0.964
"7","Aart_Area_1-1_RAW_ch00.tif_results.csv",205.27,118.664,15.151,63.141,17.94,160.914,12.146,0.891,1.099,0.91,0.964
"8","Aart_Area_1-1_RAW_ch00.tif_results.csv",222.664,113.659,15.899,66.124,17.495,152.328,10.993,0.894,1.043,0.958,0.966
"9","Aart_Area_1-1_RAW_ch00.tif_results.csv",214.111,111.182,12.702,69.329,15.756,140.994,10.429,0.871,1.08,0.926,0.962
"10","Aart_Area_1-1_RAW_ch00.tif_results.csv",192.873,119.677,12.245,74.857,14.614,146.232,10.425,0.897,1.089,0.918,0.964
"11","Aart_Area_1-1_RAW_ch00.tif_results.csv",223.721,111.291,12.402,62.501,17.281,155.268,13.681,0.89,1.083,0.923,0.969
"12","Aart_Area_1-1_RAW_ch00.tif_results.csv",258.413,108.109,12.66,69.849,14.936,144.951,12.852,0.877,1.044,0.958,0.963
"13","Aart_Area_1-1_RAW_ch00.tif_results.csv",249.668,114.808,14.202,58.532,18.534,161.387,9.534,0.898,1.048,0.955,0.969
"14","Aart_Area_1-1_RAW_ch00.tif_results.csv",218.339,116.447,10.173,76.374,12.594,161.632,11.166,0.888,1.117,0.895,0.966
"15","Aart_Area_1-1_RAW_ch00.tif_results.csv",240.634,115.979,14.767,61.425,18.173,161.843,8.991,0.9,1.105,0.905,0.972
"16","Aart_Area_1-1_RAW_ch00.tif_results.csv",249.283,121.116,11.111,71.15,14.217,161.218,10.497,0.883,1.012,0.989,0.967
"17","Aart_Area_1-1_RAW_ch00.tif_results.csv",215.456,124.097,10.3,73.774,13.922,166.247,7.681,0.879,1.035,0.966,0.961
"18","Aart_Area_1-2_RAW_ch00.tif_results.csv",239.481,102.33,16.559,51.474,24.256,149.524,16.163,0.882,1.115,0.897,0.967
"19","Aart_Area_1-2_RAW_ch00.tif_results.csv",249.187,104.744,15.916,48.369,24.572,155.356,14.326,0.88,1.081,0.925,0.968
"20","Aart_Area_1-2_RAW_ch00.tif_results.csv",229.102,107.187,14.896,48.698,23.913,155.874,16.748,0.903,1.015,0.985,0.969
"21","Aart_Area_1-2_RAW_ch00.tif_results.csv",237.271,102.411,15.552,48.101,23.881,153.998,17.357,0.909,1.013,0.987,0.972
"22","Aart_Area_1-2_RAW_ch00.tif_results.csv",235.445,114.384,16.39,58.682,22.545,138.217,12.708,0.884,1.029,0.972,0.968
"23","Aart_Area_1-2_RAW_ch00.tif_results.csv",258.99,103.997,16.303,46.792,23.707,153.069,12.424,0.891,1.035,0.966,0.97
"24","Aart_Area_1-2_RAW_ch00.tif_results.csv",255.242,105.337,15.241,45.393,22.435,153.383,14.741,0.913,1.019,0.982,0.971
"25","Aart_Area_1-2_RAW_ch00.tif_results.csv",219.3,111.641,13.575,47.169,22.226,154.146,11.09,0.912,1.106,0.904,0.971
"26","Aart_Area_1-2_RAW_ch00.tif_results.csv",222.279,106.176,15.11,45.981,25.358,159.418,10.657,0.887,1.177,0.85,0.967
"27","Aart_Area_1-2_RAW_ch00.tif_results.csv",224.201,108.869,14.989,45.853,25.176,162.141,9.437,0.903,1.093,0.915,0.969
"28","Aart_Area_1-2_RAW_ch00.tif_results.csv",237.655,104.51,17.065,46.877,24.627,159.246,11.927,0.886,1.006,0.994,0.967
"29","Aart_Area_1-3_RAW_ch00.tif_results.csv",239.001,103.21,17.778,53.2,26.293,148.672,17.378,0.907,1.005,0.995,0.97
"30","Aart_Area_1-3_RAW_ch00.tif_results.csv",248.995,102.822,15.613,48.788,24.927,155.086,17.389,0.885,1.023,0.978,0.968
"31","Aart_Area_1-3_RAW_ch00.tif_results.csv",239.385,108.015,16.926,49.439,26.586,154.085,13.539,0.903,1.022,0.979,0.971
"32","Aart_Area_1-3_RAW_ch00.tif_results.csv",267.831,102.948,14.896,46.945,24.923,153.531,16.198,0.893,1.022,0.979,0.966
"33","Aart_Area_1-3_RAW_ch00.tif_results.csv",248.226,107.513,15.341,47.779,25.973,158.455,13.849,0.872,1.029,0.972,0.967
"34","Aart_Area_1-3_RAW_ch00.tif_results.csv",236.022,114.432,16.113,47.252,27.979,162.851,10.095,0.88,1.038,0.963,0.966
"35","Aart_Area_1-3_RAW_ch00.tif_results.csv",257.452,106.871,16.384,45.328,26.755,161.369,10.386,0.904,1.027,0.973,0.971
"36","Aart_Area_1-3_RAW_ch00.tif_results.csv",237.175,110.473,14.809,48.305,26.678,159.418,13.276,0.903,1.022,0.978,0.969
"37","Aart_Area_1-3_RAW_ch00.tif_results.csv",235.349,106.259,16.253,47.024,27.459,158.123,12.587,0.897,1.04,0.961,0.967
"38","Aart_Area_2-1_RAW_ch00.tif_results.csv",250.437,99.059,17.032,49.281,24.474,150.954,16.352,0.903,1.002,0.998,0.969
"39","Aart_Area_2-1_RAW_ch00.tif_results.csv",251.013,103.92,16.766,48.003,25.047,155.851,15.152,0.898,1.037,0.965,0.968
"40","Aart_Area_2-1_RAW_ch00.tif_results.csv",250.341,96.257,17.046,47.955,25.003,153.465,15.681,0.895,1.079,0.927,0.971
"41","Aart_Area_2-1_RAW_ch00.tif_results.csv",237.559,102.708,17.157,48.8,24.758,154.455,15.135,0.894,1.065,0.939,0.968
"42","Aart_Area_2-1_RAW_ch00.tif_results.csv",261.584,100.277,15.693,46.656,24.694,155.065,14.207,0.905,1.012,0.988,0.972
"43","Aart_Area_2-1_RAW_ch00.tif_results.csv",250.244,100.74,15.131,45.655,25.143,158.653,12.959,0.908,1.036,0.965,0.971
"44","Aart_Area_2-1_RAW_ch00.tif_results.csv",250.629,103.56,15.669,44.752,26.205,162.188,10.591,0.904,1.033,0.968,0.969
"45","Aart_Area_2-2_RAW_ch00.tif_results.csv",207.096,101.354,14.083,47.47,17.761,152.866,13.623,0.901,1.038,0.963,0.966
"46","Aart_Area_2-2_RAW_ch00.tif_results.csv",229.295,99.497,14.499,42.451,17.42,153.654,15.904,0.912,1.035,0.966,0.971
"47","Aart_Area_2-2_RAW_ch00.tif_results.csv",244.767,94.029,10.796,41.402,16.832,147.905,14.818,0.904,1.091,0.916,0.971
"48","Aart_Area_2-2_RAW_ch00.tif_results.csv",221.222,95.834,12.539,44.101,18.082,152.043,13.135,0.896,1.113,0.899,0.969
"49","Aart_Area_2-2_RAW_ch00.tif_results.csv",221.414,103.174,10.332,53.089,12.201,146.187,12.743,0.898,1.025,0.976,0.966
"50","Aart_Area_2-2_RAW_ch00.tif_results.csv",219.973,102.752,7.575,61.299,10.087,147.087,10.596,0.808,1.035,0.966,0.96
"51","Aart_Area_2-2_RAW_ch00.tif_results.csv",229.391,89.818,13.851,43.843,17.504,130.731,9.168,0.904,1.081,0.925,0.968
"52","Aart_Area_2-2_RAW_ch00.tif_results.csv",197.389,95.799,15.277,39.063,16.568,135.916,20.334,0.86,1.159,0.863,0.961
"53","Aart_Area_2-2_RAW_ch00.tif_results.csv",220.934,97.599,14.56,45.136,17.132,138.258,8.788,0.904,1.053,0.95,0.969
"54","Aart_Area_2-2_RAW_ch00.tif_results.csv",197.582,94.053,17.108,43.386,17,134.104,16.335,0.829,1.201,0.833,0.955
"55","Aart_Area_2-2_RAW_ch00.tif_results.csv",241.307,94.608,13.705,42.205,16.93,137.567,9.826,0.873,1.028,0.973,0.961
"56","Aart_Area_2-2_RAW_ch00.tif_results.csv",216.033,93.433,12.943,42.676,18.021,143.368,16.539,0.876,1.018,0.982,0.959
"57","Aart_Area_2-2_RAW_ch00.tif_results.csv",225.258,96.98,13.265,45.744,19.148,143.715,10.131,0.893,1.066,0.938,0.964
"58","Aart_Area_2-2_RAW_ch00.tif_results.csv",240.25,92.669,14.581,49.31,20.102,131.223,11.613,0.836,1.126,0.888,0.957
"59","Aart_Area_2-2_RAW_ch00.tif_results.csv",208.057,92.243,15.152,44.021,15.753,121.214,14.537,0.893,1.074,0.931,0.967
"60","Aart_Area_2-2_RAW_ch00.tif_results.csv",195.948,89.114,16.442,38.945,13.831,117.375,18.242,0.841,1.195,0.837,0.976
"61","Aart_Area_2-2_RAW_ch00.tif_results.csv",201.426,84.762,18.331,38.25,15.685,128.352,19.801,0.863,1.271,0.787,0.976
"62","Aart_Area_2-2_RAW_ch00.tif_results.csv",232.178,94.721,11.307,41.251,18.338,155.24,12.683,0.912,1.071,0.933,0.971
"63","Aart_Area_2-2_RAW_ch00.tif_results.csv",246.497,95.718,12.682,39.865,19.073,154.215,12.569,0.902,1.026,0.975,0.967
"64","Aart_Area_2-3_RAW_ch00.tif_results.csv",249.572,107.452,14.414,45.733,17.245,143.041,9.453,0.887,1.005,0.995,0.966
"65","Aart_Area_2-3_RAW_ch00.tif_results.csv",219.396,94.774,14.183,42.601,16.89,125.344,18.637,0.854,1.14,0.877,0.949
"66","Aart_Area_2-3_RAW_ch00.tif_results.csv",287.531,70.721,16.189,42.03,21.432,104.406,14.777,0.813,1.094,0.914,0.952
"67","Aart_Area_2-3_RAW_ch00.tif_results.csv",215.072,82.718,13.521,43.279,13.601,99.055,8.686,0.867,1.142,0.875,0.96
"68","Aart_Area_2-3_RAW_ch00.tif_results.csv",235.733,101.182,14.224,44.279,20.14,157.01,12.77,0.895,1.063,0.941,0.968
"69","Aart_Area_2-3_RAW_ch00.tif_results.csv",232.274,93.987,13.8,44.883,17.942,135.48,20.267,0.859,1.02,0.98,0.961
"70","Aart_Area_2-3_RAW_ch00.tif_results.csv",204.116,94.684,15.783,51.749,16.8,123.606,19.755,0.894,1.082,0.924,0.967
"71","Aart_Area_2-3_RAW_ch00.tif_results.csv",227.084,96.773,12.997,43.544,19.93,152.056,14.514,0.909,1.09,0.917,0.969
"72","Aart_Area_2-3_RAW_ch00.tif_results.csv",236.887,98.967,13.55,43.742,20.716,153.781,17.427,0.899,1.085,0.922,0.967
