"","Filename","Area","Red_mean","Red_sd","Green_mean","Green_sd","Blue_mean","Blue_sd","Circ","AR","Round","Solidity"
"1","Aart_Area_1-1_RAW_ch00.tif_results.csv",236.118,114.996,15.075,74.048,16.724,150.889,14.449,0.902,1.12,0.893,0.972
"2","Aart_Area_1-1_RAW_ch00.tif_results.csv",249.283,108.384,14.807,69.072,18.124,134.012,19.213,0.899,1.068,0.936,0.968
"3","Aart_Area_1-1_RAW_ch00.tif_results.csv",258.605,106.322,16.491,68.2,18.469,132.991,18.095,0.874,1.097,0.912,0.967
"4","Aart_Area_1-1_RAW_ch00.tif_results.csv",269.368,112.112,15.463,65.506,18.65,150.719,12.712,0.896,1.09,0.918,0.97
"5","Aart_Area_1-1_RAW_ch00.tif_results.csv",273.02,115.708,16.295,69.46,18.705,154.006,11.377,0.89,1.033,0.968,0.969
"6","Aart_Area_1-1_RAW_ch00.tif_results.csv",243.517,113.995,14.131,67.819,18.532,154.983,11.48,0.889,1.138,0.878,0.968
"7","Aart_Area_1-2_RAW_ch00.tif_results.csv",254.281,118.179,15.737,63.608,19.007,157.052,14.958,0.911,1.035,0.966,0.971
"8","Aart_Area_1-2_RAW_ch00.tif_results.csv",248.034,105.615,17.037,62.774,18.272,146.043,17.42,0.887,1.091,0.916,0.968
"9","Aart_Area_1-2_RAW_ch00.tif_results.csv",276.288,106.918,17.364,60.831,19.309,148.56,15.416,0.892,1.014,0.987,0.97
"10","Aart_Area_1-2_RAW_ch00.tif_results.csv",269.176,108.948,17.18,61.667,18.953,149.671,15.195,0.888,1.031,0.97,0.97
"11","Aart_Area_1-2_RAW_ch00.tif_results.csv",263.506,111.873,16.466,63.529,18.243,148.666,15.469,0.891,1.014,0.986,0.968
"12","Aart_Area_1-2_RAW_ch00.tif_results.csv",257.644,107.879,14.041,56.334,20.111,157.426,13.28,0.902,1.078,0.928,0.969
"13","Aart_Area_1-2_RAW_ch00.tif_results.csv",245.343,111.698,15.623,60.481,19.883,155.633,13.803,0.896,1.051,0.952,0.972
"14","Aart_Area_1-2_RAW_ch00.tif_results.csv",260.431,102.769,15.796,55.57,21.334,147.522,16.197,0.889,1.041,0.961,0.965
"15","Aart_Area_1-2_RAW_ch00.tif_results.csv",262.641,116.338,14.195,63.904,17.845,147.234,12.859,0.888,1.04,0.961,0.963
"16","Aart_Area_1-3_RAW_ch00.tif_results.csv",271.963,113.019,18.979,63.087,28.553,161.553,11.903,0.894,1.07,0.934,0.97
"17","Aart_Area_1-3_RAW_ch00.tif_results.csv",287.82,123.232,17.016,67.334,26.472,164.432,11.444,0.896,1.032,0.969,0.971
"18","Aart_Area_1-3_RAW_ch00.tif_results.csv",269.753,118.895,18.176,64.978,28.008,164.694,10.809,0.899,1.078,0.927,0.972
"19","Aart_Area_1-3_RAW_ch00.tif_results.csv",288.108,115.593,19.305,63.218,28.83,161.815,11.579,0.875,1.123,0.891,0.968
"20","Aart_Area_10-1_RAW_ch00.tif_results.csv",298.391,116.426,16.699,72.624,19.939,148.466,18.534,0.904,1.066,0.938,0.972
"21","Aart_Area_10-1_RAW_ch00.tif_results.csv",270.233,118.936,19.492,74.236,21.326,147.708,14.947,0.914,1.04,0.962,0.972
"22","Aart_Area_10-1_RAW_ch00.tif_results.csv",291.567,118.912,13.265,77.256,16.535,145.406,17.546,0.912,1.028,0.973,0.975
"23","Aart_Area_10-1_RAW_ch00.tif_results.csv",314.92,115.16,14.63,75.206,17.222,137.94,15.646,0.892,1.027,0.974,0.97
"24","Aart_Area_10-1_RAW_ch00.tif_results.csv",322.8,108.143,17.7,62.142,24.087,148.889,14.248,0.909,1.022,0.978,0.975
"25","Aart_Area_10-2_RAW_ch00.tif_results.csv",283.687,105.278,16.951,67.225,15.57,126.463,19.381,0.909,1.053,0.949,0.971
"26","Aart_Area_10-2_RAW_ch00.tif_results.csv",270.137,110.08,14.504,68.49,14.89,131.215,21.429,0.908,1.065,0.939,0.972
"27","Aart_Area_10-2_RAW_ch00.tif_results.csv",254.377,117.774,15.746,73.429,13.83,134.514,15.543,0.893,1.089,0.918,0.964
"28","Aart_Area_10-2_RAW_ch00.tif_results.csv",273.405,111.747,16.879,68.569,15.467,134.348,18.223,0.903,1.017,0.983,0.969
"29","Aart_Area_10-2_RAW_ch00.tif_results.csv",262.065,112.834,15.307,66.571,15.969,146.404,16.323,0.877,1.028,0.973,0.965
"30","Aart_Area_10-2_RAW_ch00.tif_results.csv",257.644,113.088,14.506,65.743,16.672,145.009,13.938,0.889,1.041,0.961,0.97
"31","Aart_Area_10-2_RAW_ch00.tif_results.csv",283.591,103.995,14.708,62.151,16.193,129.482,16.068,0.871,1.07,0.935,0.961
"32","Aart_Area_10-2_RAW_ch00.tif_results.csv",266.197,106.489,14.494,63.526,15.985,134.846,18.94,0.889,1.074,0.931,0.967
"33","Aart_Area_10-3_RAW_ch00.tif_results.csv",265.62,110.316,14.36,65.804,17.432,145.756,18.477,0.88,1.077,0.929,0.967
"34","Aart_Area_10-3_RAW_ch00.tif_results.csv",307.616,106.336,14.449,59.178,18.69,144.891,15.126,0.883,1.048,0.954,0.971
"35","Aart_Area_10-3_RAW_ch00.tif_results.csv",316.842,109.125,21.878,62.633,20.721,153.226,10.8,0.881,1.004,0.996,0.968
"36","Aart_Area_10-3_RAW_ch00.tif_results.csv",288.492,110.187,17.141,60.978,18.563,140.562,16.936,0.87,1.005,0.995,0.964
"37","Aart_Area_10-3_RAW_ch00.tif_results.csv",283.783,114.235,17.183,64.031,17.795,138.747,16.37,0.891,1.042,0.959,0.966
"38","Aart_Area_10-3_RAW_ch00.tif_results.csv",305.31,106.724,16.53,60.503,18.91,145.281,15.571,0.884,1.026,0.975,0.969
"39","Aart_Area_2-1_RAW_ch00.tif_results.csv",262.065,113.149,18.822,67.294,19.335,145.138,19.483,0.899,1.012,0.988,0.971
"40","Aart_Area_2-1_RAW_ch00.tif_results.csv",242.556,110.183,19.382,69.872,19.82,142.239,18.759,0.897,1.066,0.938,0.969
"41","Aart_Area_2-1_RAW_ch00.tif_results.csv",299.544,109.003,19.051,61.918,21.188,148.676,14.664,0.896,1.013,0.987,0.97
"42","Aart_Area_2-1_RAW_ch00.tif_results.csv",284.84,112.772,18.274,60.751,21.893,156.16,11.899,0.887,1.022,0.979,0.969
"43","Aart_Area_2-1_RAW_ch00.tif_results.csv",263.602,114.322,18.758,63.657,21.052,154.587,13.509,0.888,1.009,0.991,0.969
"44","Aart_Area_2-1_RAW_ch00.tif_results.csv",340.098,103.993,16.998,59.715,20.951,146.422,15.243,0.874,1.008,0.992,0.967
"45","Aart_Area_2-2_RAW_ch00.tif_results.csv",283.207,100.745,18.693,60.799,19.006,141.848,16.474,0.882,1.011,0.989,0.969
"46","Aart_Area_2-2_RAW_ch00.tif_results.csv",280.996,110.109,21.152,61.82,19.773,150.577,13.413,0.898,1.012,0.988,0.971
"47","Aart_Area_2-2_RAW_ch00.tif_results.csv",258.605,112.575,19.602,62.385,18.938,152.214,14.048,0.883,1.026,0.975,0.969
"48","Aart_Area_2-2_RAW_ch00.tif_results.csv",270.618,113.585,17.528,60.365,20.031,156.956,11.489,0.904,1.023,0.978,0.971
"49","Aart_Area_2-2_RAW_ch00.tif_results.csv",330.968,106.191,16.302,57.203,19.129,149.986,14.397,0.888,1.054,0.949,0.97
