"","Filename","Area","Red_mean","Red_sd","Green_mean","Green_sd","Blue_mean","Blue_sd","Circ","AR","Round","Solidity"
"1","Asp_Area_A1-1_RAW_ch00.tif_results.csv",465.605,151.767,16.472,100.77,26.038,148.9,17.488,0.885,1.05,0.953,0.974
"2","Asp_Area_A1-2_RAW_ch00.tif_results.csv",445.904,159.005,10.641,105.779,17.436,148.164,18.393,0.897,1.017,0.983,0.978
"3","Asp_Area_A1-2_RAW_ch00.tif_results.csv",434.853,152.884,13.565,99.884,20.493,154.143,15.971,0.872,1.02,0.98,0.972
"4","Asp_Area_A1-3_RAW_ch00.tif_results.csv",458.109,156.844,9.743,101.737,13.88,145.864,18.7,0.879,1.034,0.967,0.973
"5","Asp_Area_A1-3_RAW_ch00.tif_results.csv",450.517,160.304,8.302,104.317,13.054,149.82,15.755,0.892,1.019,0.981,0.973
"6","Asp_Area_A10-1_RAW_ch00.tif_results.csv",569.489,151.037,12.964,78.34,25.439,144.808,19.27,0.882,1.005,0.995,0.977
"7","Asp_Area_A10-1_RAW_ch00.tif_results.csv",569.008,153.476,12.466,79.309,25.029,147.048,19.555,0.875,1.017,0.984,0.974
"8","Asp_Area_A10-2_RAW_ch00.tif_results.csv",567.759,151.555,11.043,75.451,17.718,143.792,19.778,0.896,1.032,0.969,0.979
"9","Asp_Area_A10-2_RAW_ch00.tif_results.csv",510.772,158.849,9.98,84.912,15.889,151.956,16.611,0.892,1.032,0.969,0.976
"10","Asp_Area_A10-2_RAW_ch00.tif_results.csv",488.38,152.859,10.407,82.852,16.761,149.994,16.911,0.899,1.009,0.991,0.975
"11","Asp_Area_A10-2_RAW_ch00.tif_results.csv",552.191,153.794,10.478,78.765,16.532,148.113,18.664,0.894,1.034,0.968,0.978
"12","Asp_Area_A10-3_RAW_ch00.tif_results.csv",578.714,156.346,13.191,77.946,28.086,150.005,19.03,0.897,1.034,0.967,0.977
"13","Asp_Area_A2-1_RAW_ch00.tif_results.csv",552.96,161.625,9.6,90.876,18.077,144.876,21.236,0.89,1.028,0.973,0.975
"14","Asp_Area_A2-2_RAW_ch00.tif_results.csv",546.713,165.112,11.114,98.135,12.49,138.331,20.377,0.891,1.054,0.948,0.978
"15","Asp_Area_A2-2_RAW_ch00.tif_results.csv",574.87,161.695,9.341,92.084,12.649,137.375,20.32,0.902,1.013,0.988,0.978
"16","Asp_Area_A2-2_RAW_ch00.tif_results.csv",559.11,161.522,13.73,94.35,13.469,138.277,18.839,0.902,1.02,0.98,0.978
"17","Asp_Area_A2-2_RAW_ch00.tif_results.csv",302.138,154.875,19.371,82.532,20.823,166.809,9.671,0.9,1.169,0.855,0.972
"18","Asp_Area_A2-2_RAW_ch00.tif_results.csv",513.462,165.15,10.156,92.306,13.402,145.214,19.045,0.893,1.04,0.962,0.977
"19","Asp_Area_A2-2_RAW_ch00.tif_results.csv",509.138,160.052,9.475,84.262,14.92,143.022,17.506,0.885,1.014,0.986,0.974
"20","Asp_Area_A2-3_RAW_ch00.tif_results.csv",558.149,158.304,12.334,90.363,19.163,142.592,19.327,0.878,1.012,0.988,0.973
"21","Asp_Area_A3-1_RAW_ch00.tif_results.csv",551.518,169.447,10.821,92.815,17.811,151.9,19.316,0.9,1.024,0.977,0.974
"22","Asp_Area_A3-1_RAW_ch00.tif_results.csv",534.797,163.437,8.592,96.505,15.304,150.691,17.343,0.907,1.007,0.993,0.978
"23","Asp_Area_A3-2_RAW_ch00.tif_results.csv",569.585,153.688,9.477,87.546,14.486,138.496,22.997,0.904,1.013,0.988,0.978
"24","Asp_Area_A3-2_RAW_ch00.tif_results.csv",554.593,162.876,11.453,87.922,15.659,143.746,19.603,0.903,1.025,0.975,0.979
"25","Asp_Area_A3-2_RAW_ch00.tif_results.csv",530.184,161.624,10.988,84.812,15.654,147.96,18.308,0.906,1.015,0.986,0.979
"26","Asp_Area_A3-2_RAW_ch00.tif_results.csv",564.107,158.732,12.277,82.701,16.948,144.514,20.528,0.899,1.007,0.993,0.977
"27","Asp_Area_A3-3_RAW_ch00.tif_results.csv",608.89,157.808,15.545,94.197,26.295,138.718,21.565,0.896,1.011,0.989,0.978
"28","Asp_Area_A4-1_RAW_ch00.tif_results.csv",459.839,150.083,11.656,78.267,20.108,149.068,17.404,0.895,1.014,0.986,0.974
"29","Asp_Area_A4-1_RAW_ch00.tif_results.csv",445.424,144.669,10.464,79.863,17.558,146.05,18.064,0.892,1.033,0.968,0.973
"30","Asp_Area_A4-1_RAW_ch00.tif_results.csv",450.805,139.17,14.511,80.721,19.904,128.083,17.847,0.89,1.069,0.936,0.972
"31","Asp_Area_A4-2_RAW_ch00.tif_results.csv",517.21,150.555,17.753,86.045,33.836,146.321,19.788,0.863,1.035,0.966,0.971
"32","Asp_Area_A4-3_RAW_ch00.tif_results.csv",432.45,144.977,12.048,76.256,15.665,136.807,18.553,0.904,1.039,0.962,0.978
"33","Asp_Area_A4-3_RAW_ch00.tif_results.csv",436.102,145.353,12.263,76.811,15.618,137.589,18.45,0.887,1.032,0.969,0.974
"34","Asp_Area_A4-3_RAW_ch00.tif_results.csv",421.014,141.117,11.018,70.025,17.408,140.216,17.672,0.888,1.023,0.977,0.977
"35","Asp_Area_A5-1_RAW_ch00.tif_results.csv",325.01,150.412,9.494,77.715,14.73,147.674,16.964,0.864,1.06,0.944,0.964
"36","Asp_Area_A5-1_RAW_ch00.tif_results.csv",479.923,148.989,12.558,88.805,11.747,124.766,17.284,0.891,1.05,0.952,0.975
"37","Asp_Area_A5-1_RAW_ch00.tif_results.csv",458.685,155.107,14.372,83.941,13.381,137.764,18.814,0.899,1.045,0.957,0.977
"38","Asp_Area_A5-1_RAW_ch00.tif_results.csv",376.712,146.271,10.819,78.096,14.651,144.616,15.777,0.876,1.043,0.958,0.971
"39","Asp_Area_A5-2_RAW_ch00.tif_results.csv",443.886,158.203,11.198,82.636,17.185,146.454,17.946,0.887,1.028,0.973,0.974
"40","Asp_Area_A5-2_RAW_ch00.tif_results.csv",499.528,156.25,10.829,82.313,16.08,142.646,19.232,0.905,1.066,0.938,0.978
"41","Asp_Area_A5-2_RAW_ch00.tif_results.csv",513.559,164.87,10.558,89.08,15.63,147.391,18.288,0.887,1.048,0.954,0.974
"42","Asp_Area_A5-2_RAW_ch00.tif_results.csv",409.578,156.733,9.404,82.866,16.366,150.576,16.267,0.911,1.021,0.979,0.977
"43","Asp_Area_A5-3_RAW_ch00.tif_results.csv",442.925,152.79,10.452,85.758,14.75,140.614,20.089,0.907,1.085,0.922,0.977
"44","Asp_Area_A5-3_RAW_ch00.tif_results.csv",537.295,155.623,11.294,88.177,14.691,138.141,20.988,0.883,1.021,0.979,0.976
"45","Asp_Area_A5-3_RAW_ch00.tif_results.csv",528.646,143.179,12.317,84.534,15.369,133.96,23.715,0.895,1.007,0.993,0.975
"46","Asp_Area_A5-3_RAW_ch00.tif_results.csv",500.393,151.477,11.104,85.224,14.786,136.677,19.595,0.898,1.015,0.986,0.978
"47","Asp_Area_A6-1_RAW_ch00.tif_results.csv",510.195,148.397,11.709,81.794,13.74,133.199,23.005,0.822,1.028,0.973,0.961
"48","Asp_Area_A6-1_RAW_ch00.tif_results.csv",587.459,148.848,12.129,84.209,13.87,127.239,24.725,0.885,1.029,0.972,0.977
"49","Asp_Area_A6-1_RAW_ch00.tif_results.csv",591.88,148.216,10.678,79.655,14.584,131.146,22.483,0.891,1.012,0.988,0.977
