"","Filename","Area","Red_mean","Red_sd","Green_mean","Green_sd","Blue_mean","Blue_sd","Circ","AR","Round","Solidity"
"1","C.sp_Area_M1-1_RAW_ch00.tif_results.csv",543.83,123.721,15.731,83.563,17.55,133.766,25.037,0.89,1.07,0.934,0.975
"2","C.sp_Area_M1-1_RAW_ch00.tif_results.csv",517.306,136.469,11.973,92.211,13.929,132.475,19.825,0.874,1.11,0.901,0.973
"3","C.sp_Area_M1-1_RAW_ch00.tif_results.csv",515.096,137.139,13.014,91.27,15.708,140.224,20.863,0.884,1.144,0.874,0.976
"4","C.sp_Area_M1-1_RAW_ch00.tif_results.csv",304.925,129.193,23.088,98.366,23.29,149.565,10.041,0.739,1.291,0.775,0.919
"5","C.sp_Area_M1-1_RAW_ch00.tif_results.csv",455.418,133.038,12.82,91.816,15.278,144.464,18.502,0.894,1.02,0.981,0.973
"6","C.sp_Area_M1-1_RAW_ch00.tif_results.csv",545.944,121.891,16.436,79.976,18.739,134.187,22.102,0.873,1.046,0.956,0.972
"7","C.sp_Area_M1-1_RAW_ch00.tif_results.csv",592.168,127.793,16.735,86.199,17.263,130.529,23.464,0.867,1.077,0.929,0.976
"8","C.sp_Area_M1-1_RAW_ch00.tif_results.csv",539.698,125.252,17.478,82.715,18.803,137.372,20.45,0.79,1.074,0.931,0.963
"9","C.sp_Area_M1-1_RAW_ch00.tif_results.csv",430.432,124.523,13.316,79.086,18.203,141.981,15.855,0.897,1.045,0.957,0.976
"10","C.sp_Area_M1-1_RAW_ch00.tif_results.csv",491.359,122.907,19.568,81.44,19.731,139.083,18.902,0.885,1.034,0.967,0.975
"11","C.sp_Area_M1-1_RAW_ch00.tif_results.csv",463.298,135.407,13.951,89.196,17.557,146.217,18.82,0.898,1.045,0.957,0.977
"12","C.sp_Area_M1-1_RAW_ch00.tif_results.csv",330.296,124.846,15.499,106.502,18.898,130.844,11.299,0.709,1.134,0.882,0.895
"13","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",569.681,125.182,17.698,84.523,16.029,139.808,20.465,0.877,1.074,0.931,0.973
"14","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",448.018,137.87,14.953,91.033,15.849,145.87,19.047,0.882,1.072,0.933,0.972
"15","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",530.857,132.938,15.143,87.737,15.557,141.643,19.724,0.886,1.027,0.974,0.972
"16","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",557.284,130.424,16.591,84.894,15.18,138.865,19.048,0.904,1.037,0.964,0.976
"17","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",579.387,125.36,15.716,83.626,15.429,142.631,20.445,0.874,1.022,0.978,0.975
"18","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",518.94,127.553,15.519,80.793,16.601,144.778,17.285,0.881,1.028,0.972,0.975
"19","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",403.716,131.844,16.176,84.105,19.164,155.778,13.061,0.902,1.094,0.914,0.977
"20","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",563.819,119.828,13.961,77.427,11.769,120.769,17.103,0.841,1.057,0.946,0.963
"21","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",636.759,127.229,18.294,82.1,16.701,138.896,21.214,0.887,1.03,0.971,0.976
"22","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",591.4,101.554,17.191,66.385,15.828,107.538,14.9,0.715,1.119,0.894,0.926
"23","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",519.228,128.002,16.03,82.736,15.629,134.364,18.112,0.867,1.039,0.963,0.967
"24","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",483.191,121.556,13.206,79.369,13.313,121.987,19.468,0.842,1.051,0.951,0.969
"25","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",404.389,118.179,12.835,78.139,9.242,106.462,18.202,0.767,1.068,0.936,0.955
"26","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",531.914,126.993,16.834,81.549,17.682,142.057,15.828,0.869,1.113,0.898,0.975
"27","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",464.547,142.077,14.936,91.39,16.42,154.323,14.776,0.891,1.141,0.876,0.975
"28","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",522.111,138.552,16.638,89.951,16.829,147.942,16.976,0.859,1.054,0.949,0.97
"29","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",468.295,134.817,17.244,86.093,17.56,152.328,14.552,0.877,1.053,0.949,0.971
"30","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",485.401,126.931,18.24,82.344,18.299,145.501,15.122,0.891,1.018,0.982,0.978
"31","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",542.1,126.423,16.008,81.514,17.189,135.563,17.262,0.852,1.175,0.851,0.966
"32","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",516.153,134.503,15.171,87.095,16.54,140.479,17.707,0.862,1.102,0.908,0.97
"33","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",587.075,124.524,18.697,83.1,16.356,141.356,18.8,0.886,1.088,0.919,0.974
"34","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",480.116,131.504,18.175,84.628,19.583,152.225,14.544,0.869,1.081,0.925,0.972
"35","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",462.722,137.476,15.402,88.902,16.722,154.647,13.839,0.881,1.048,0.954,0.976
"36","C.sp_Area_M1-2_RAW_ch00.tif_results.csv",457.628,127.827,19.845,82.313,21.641,150.728,16.153,0.776,1.081,0.925,0.945
"37","C.sp_Area_M1-3_RAW_ch00.tif_results.csv",601.778,130.604,14.987,89.419,13.553,124.586,26.033,0.889,1.11,0.901,0.976
"38","C.sp_Area_M1-3_RAW_ch00.tif_results.csv",422.263,124.528,14.851,81.395,18.017,141.736,18.902,0.887,1.085,0.922,0.974
"39","C.sp_Area_M1-3_RAW_ch00.tif_results.csv",369.985,112.055,21.089,71.698,23.517,131.838,19.562,0.817,1.351,0.74,0.955
"40","C.sp_Area_M1-3_RAW_ch00.tif_results.csv",440.33,129.108,11.909,86.366,15.497,135.915,17.717,0.88,1.13,0.885,0.975
"41","C.sp_Area_M1-3_RAW_ch00.tif_results.csv",528.935,126.801,15.051,86.74,14.179,128.641,20.576,0.899,1.019,0.982,0.975
