"","Filename","Area","Red_mean","Red_sd","Green_mean","Green_sd","Blue_mean","Blue_sd","Circ","AR","Round","Solidity"
"1","Plan_size_A1-1_RAW_ch00.tif_results.csv",601.202,142.673,31.822,103.606,40.38,145.603,23.516,0.764,1.062,0.941,0.963
"2","Plan_size_A1-1_RAW_ch00.tif_results.csv",663.955,136.503,33.182,103.188,39.994,143.435,24.085,0.735,1.02,0.98,0.962
"3","Plan_size_A1-1_RAW_ch00.tif_results.csv",627.149,149.991,30.059,107.96,39.183,149.187,20.905,0.641,1.059,0.945,0.957
"4","Plan_size_A1-1_RAW_ch00.tif_results.csv",620.998,140.809,33.544,103.78,42.28,147.814,21.947,0.753,1.047,0.955,0.957
"5","Plan_size_A1-1_RAW_ch00.tif_results.csv",686.25,122.614,36.324,92.779,44.021,139.613,23.92,0.723,1.047,0.955,0.96
"6","Plan_size_A1-1_RAW_ch00.tif_results.csv",579.003,144.552,31.916,111.005,40.586,149.839,21.402,0.746,1.048,0.954,0.965
"7","Plan_size_A1-1_RAW_ch00.tif_results.csv",592.361,141.44,34.715,106.391,43.035,148.833,21.247,0.662,1.028,0.973,0.958
"8","Plan_size_A1-1_RAW_ch00.tif_results.csv",585.249,138.623,32.851,104.748,40.652,148.339,19.968,0.73,1.041,0.961,0.96
"9","Plan_size_A1-1_RAW_ch00.tif_results.csv",685.385,135.918,33.959,103.134,41.923,144.803,23.623,0.765,1.04,0.962,0.963
"10","Plan_size_A1-1_RAW_ch00.tif_results.csv",650.117,139.149,34.023,103.875,42.474,146.727,22.057,0.637,1.011,0.989,0.955
"11","Plan_size_A1-2_RAW_ch00.tif_results.csv",636.951,134.226,33.697,103.019,41.004,143.014,23.17,0.683,1.032,0.969,0.958
"12","Plan_size_A1-2_RAW_ch00.tif_results.csv",284.648,167.628,24.269,143.083,31.41,159.837,16.473,0.649,1.27,0.787,0.932
"13","Plan_size_A1-2_RAW_ch00.tif_results.csv",660.399,131.016,29.642,98.799,37.134,134.057,23.943,0.751,1.039,0.962,0.965
"14","Plan_size_A1-2_RAW_ch00.tif_results.csv",659.534,142.656,27.321,106.065,36.05,142.147,22.609,0.659,1.056,0.947,0.958
"15","Plan_size_A1-2_RAW_ch00.tif_results.csv",628.782,149.559,33.789,114.499,40.356,150.346,20.713,0.628,1.109,0.901,0.953
"16","Plan_size_A1-2_RAW_ch00.tif_results.csv",611.773,136.527,32.338,104.625,40.644,147.339,21.181,0.647,1.036,0.965,0.952
"17","Plan_size_A1-2_RAW_ch00.tif_results.csv",617.25,145.212,32.811,110.157,40.261,150.405,19.743,0.657,1.033,0.968,0.952
"18","Plan_size_A1-2_RAW_ch00.tif_results.csv",645.696,138.957,34.468,106.906,41.132,137.501,23.931,0.676,1.019,0.981,0.955
"19","Plan_size_A1-3_RAW_ch00.tif_results.csv",672.412,125.607,44.829,100.558,46.838,130.722,27.75,0.543,1.042,0.959,0.946
"20","Plan_size_A1-3_RAW_ch00.tif_results.csv",494.146,183.066,16.425,149.174,23.693,171.217,12.397,0.728,1.142,0.876,0.95
