"","Filename","Area","Red_mean","Red_sd","Green_mean","Green_sd","Blue_mean","Blue_sd","Circ","AR","Round","Solidity"
"1","Plan_Area_10A-1_RAW_ch00.tif_results.csv",414.191,255,0,255,0,255,0,0.89,1.025,0.976,0.969
"2","Plan_Area_10A-1_RAW_ch00.tif_results.csv",333.948,255,0,255,0,255,0,0.882,1.004,0.996,0.97
"3","Plan_Area_10A-1_RAW_ch00.tif_results.csv",356.723,255,0,255,0,255,0,0.892,1.081,0.925,0.974
"4","Plan_Area_10A-1_RAW_ch00.tif_results.csv",453.688,255,0,255,0,255,0,0.897,1.054,0.949,0.975
"5","Plan_Area_10A-1_RAW_ch00.tif_results.csv",345.191,255,0,255,0,255,0,0.911,1.035,0.966,0.975
"6","Plan_Area_10A-1_RAW_ch00.tif_results.csv",326.836,255,0,255,0,255,0,0.872,1.058,0.945,0.97
"7","Plan_Area_10A-1_RAW_ch00.tif_results.csv",443.213,255,0,255,0,255,0,0.894,1.065,0.939,0.976
"8","Plan_Area_10A-1_RAW_ch00.tif_results.csv",453.688,17.872,6.369,101.919,20.392,53.401,30.206,0.897,1.054,0.949,0.975
"9","Plan_Area_10A-1_RAW_ch00.tif_results.csv",389.301,137.63,19.205,103.887,21.846,52.84,33.186,0.889,1.016,0.985,0.972
"10","Plan_Area_10A-1_RAW_ch00.tif_results.csv",385.169,139.068,21.463,96.16,22.356,47.296,33.126,0.858,1.05,0.952,0.968
"11","Plan_Area_10A-1_RAW_ch00.tif_results.csv",373.06,141.368,17.224,105.625,21.675,48.938,34.897,0.892,1.037,0.965,0.972
"12","Plan_Area_10A-1_RAW_ch00.tif_results.csv",334.14,148.838,15.193,99.114,22.266,47.041,33.287,0.896,1.032,0.969,0.973
"13","Plan_Area_10A-1_RAW_ch00.tif_results.csv",442.444,136.957,19.873,111.495,20.257,50.282,33.588,0.886,1.041,0.961,0.976
"14","Plan_Area_10A-1_RAW_ch00.tif_results.csv",342.02,151.128,17.901,106.103,21.841,49.049,35.434,0.863,1.006,0.994,0.961
"15","Plan_Area_10A-1_RAW_ch00.tif_results.csv",327.124,149.632,15.519,98.261,22.689,46.687,34.353,0.896,1.023,0.977,0.971
"16","Plan_Area_10A-1_RAW_ch00.tif_results.csv",360.567,146.718,16.44,107.654,19.723,47.836,34.444,0.894,1.007,0.993,0.973
"17","Plan_Area_10A-1_RAW_ch00.tif_results.csv",349.612,148.738,14.895,104.229,21.311,46.796,34.247,0.895,1.046,0.956,0.976
"18","Plan_Area_10A-1_RAW_ch00.tif_results.csv",362.393,146.945,15.977,111.456,21.042,47.815,36.944,0.878,1.004,0.996,0.969
"19","Plan_Area_10A-1_RAW_ch00.tif_results.csv",302.523,156.861,13.162,104.394,20.743,47.205,33.217,0.88,1.039,0.962,0.968
"20","Plan_Area_10A-2_RAW_ch00.tif_results.csv",393.241,96.287,19.821,50.528,28.719,135.457,24.281,0.834,1.173,0.853,0.955
"21","Plan_Area_10A-2_RAW_ch00.tif_results.csv",362.97,123.346,22.258,68.106,26.159,165.533,13.06,0.679,1.354,0.739,0.917
"22","Plan_Area_10A-2_RAW_ch00.tif_results.csv",372.868,101.832,16.294,47.06,27.067,138.88,19.707,0.891,1.067,0.938,0.975
"23","Plan_Area_10A-2_RAW_ch00.tif_results.csv",325.875,102.19,18.216,48.198,28.77,145.728,17.338,0.877,1.083,0.923,0.971
