"","Filename","Area","Red_mean","Red_sd","Green_mean","Green_sd","Blue_mean","Blue_sd","Circ","AR","Round","Solidity"
"1","Plan_area_A10-1_RAW_ch00.tif_results.csv",410.731,127.755,22.562,80.647,25.535,136.156,22.91,0.885,1.043,0.958,0.973
"2","Plan_area_A10-1_RAW_ch00.tif_results.csv",416.594,126.449,22.588,80.546,25.866,135.65,21.317,0.845,1.013,0.987,0.966
"3","Plan_area_A10-1_RAW_ch00.tif_results.csv",501.258,134.674,22.857,88.132,24.45,133.341,21.953,0.753,1.11,0.901,0.939
"4","Plan_area_A10-1_RAW_ch00.tif_results.csv",467.046,129.823,20.169,86.462,23.347,134.492,21.567,0.878,1.025,0.976,0.973
"5","Plan_area_A10-1_RAW_ch00.tif_results.csv",428.99,126.602,26.697,79.591,27.548,140.21,18.247,0.883,1.024,0.977,0.972
"6","Plan_area_A10-1_RAW_ch00.tif_results.csv",386.899,150.022,15.99,93.263,22.04,149.801,15.658,0.884,1.102,0.907,0.973
"7","Plan_area_A10-1_RAW_ch00.tif_results.csv",478.578,118.112,25.844,77.968,27.913,135.549,20.372,0.883,1.009,0.991,0.972
"8","Plan_area_A10-1_RAW_ch00.tif_results.csv",420.63,124.028,24.676,79.864,28.446,133.411,21.952,0.877,1.052,0.95,0.972
"9","Plan_area_A10-2_RAW_ch00.tif_results.csv",417.362,117.853,14.121,71.212,14.946,124.522,22.88,0.882,1.027,0.974,0.976
"10","Plan_area_A10-2_RAW_ch00.tif_results.csv",376.712,123.556,17.422,74.81,16.462,125.289,21.347,0.892,1.018,0.982,0.974
"11","Plan_area_A10-2_RAW_ch00.tif_results.csv",372.868,125.253,13.067,74.535,13.535,134.702,18.825,0.891,1.035,0.966,0.97
"12","Plan_area_A10-2_RAW_ch00.tif_results.csv",414.864,117.037,14.594,71.475,14.372,127.145,21.273,0.882,1.056,0.947,0.971
"13","Plan_area_A10-2_RAW_ch00.tif_results.csv",369.216,129.111,19.588,75.102,16.448,135.964,18.476,0.85,1.066,0.938,0.962
"14","Plan_area_A10-2_RAW_ch00.tif_results.csv",408.617,111.61,14.771,69.499,14.436,117.745,22.885,0.874,1.019,0.981,0.968
"15","Plan_area_A10-2_RAW_ch00.tif_results.csv",448.018,114.971,11.787,74.033,11.888,119.147,24.548,0.863,1.069,0.935,0.966
"16","Plan_area_A10-2_RAW_ch00.tif_results.csv",330.968,132.302,13.678,79.131,13.25,136.523,16.578,0.855,1.053,0.95,0.963
"17","Plan_area_A10-2_RAW_ch00.tif_results.csv",357.973,127.729,12.83,75.035,12.946,132.393,20.62,0.894,1.057,0.946,0.972
"18","Plan_area_A10-2_RAW_ch00.tif_results.csv",387.571,120.109,16.627,71.789,14.706,127.571,21.491,0.883,1.089,0.919,0.973
"19","Plan_area_A10-2_RAW_ch00.tif_results.csv",401.025,116.361,17.769,70.16,15.652,130.486,19.529,0.889,1.028,0.973,0.972
"20","Plan_area_A10-2_RAW_ch00.tif_results.csv",377.577,128.717,11.328,74.739,12.231,133.222,19.309,0.889,1.029,0.972,0.97
"21","Plan_area_A10-2_RAW_ch00.tif_results.csv",326.452,134.979,13.265,78.876,13.396,143.099,15.876,0.899,1.022,0.978,0.974
"22","Plan_area_A10-2_RAW_ch00.tif_results.csv",362.393,124.849,16.219,73.1,15.466,137.252,17.03,0.874,1.106,0.904,0.971
"23","Plan_area_A10-2_RAW_ch00.tif_results.csv",380.172,142.077,11.112,79.376,12.651,140.588,18.093,0.887,1.042,0.959,0.971
"24","Plan_area_A10-2_RAW_ch00.tif_results.csv",442.444,131.539,16.789,81.033,15.217,135.462,19.386,0.894,1.034,0.967,0.974
"25","Plan_area_A10-2_RAW_ch00.tif_results.csv",399.968,120.541,18.349,74.327,16.585,134.162,18.863,0.598,1.17,0.855,0.897
"26","Plan_area_A10-2_RAW_ch00.tif_results.csv",341.828,140.697,16.075,82.791,13.747,142.574,15.434,0.89,1.057,0.946,0.973
"27","Plan_area_A10-2_RAW_ch00.tif_results.csv",350.573,129.417,16.455,77.104,15.124,138.186,15.931,0.859,1.015,0.985,0.965
"28","Plan_area_A10-2_RAW_ch00.tif_results.csv",355.57,143.932,10.265,81.467,11.775,144.174,17.424,0.893,1.042,0.96,0.973
"29","Plan_area_A10-2_RAW_ch00.tif_results.csv",353.648,133.713,13.766,79.29,13.398,138.523,17.565,0.869,1.028,0.973,0.968
"30","Plan_area_A10-2_RAW_ch00.tif_results.csv",403.716,120.166,15.1,72.634,13.935,130.043,19.371,0.877,1.027,0.973,0.972
"31","Plan_area_A10-2_RAW_ch00.tif_results.csv",344.326,136.654,14.567,79.821,13.591,142.919,16.208,0.863,1.054,0.949,0.961
"32","Plan_area_A10-2_RAW_ch00.tif_results.csv",374.117,116.789,16.785,70.838,16.185,136.171,17.797,0.888,1.064,0.94,0.971
"33","Plan_area_A10-2_RAW_ch00.tif_results.csv",272.251,132.103,13.868,94.974,14.495,135.714,14.719,0.525,1.435,0.697,0.872
"34","Plan_area_A10-2_RAW_ch00.tif_results.csv",316.553,123.037,14.455,70.61,15.011,139.111,15.651,0.906,1.065,0.939,0.975
"35","Plan_area_A10-2_RAW_ch00.tif_results.csv",451.19,117.17,14.576,69.586,13.866,128.8,20.656,0.888,1.105,0.905,0.977
"36","Plan_area_A10-2_RAW_ch00.tif_results.csv",363.739,117.222,18.18,68.324,15.967,133.88,18.334,0.899,1.049,0.953,0.973
"37","Plan_area_A10-2_RAW_ch00.tif_results.csv",347.017,129.466,17.086,76.66,14.993,138.279,16.218,0.895,1.09,0.918,0.974
"38","Plan_area_A10-2_RAW_ch00.tif_results.csv",259.951,130.718,10.515,90.926,12.29,143.691,14.147,0.886,1.145,0.873,0.966
"39","Plan_area_A10-2_RAW_ch00.tif_results.csv",275.807,172.362,18.039,105.283,16.007,173.239,7.62,0.853,1.025,0.976,0.963
"40","Plan_area_A10-2_RAW_ch00.tif_results.csv",406.215,125.933,16.075,77.125,14.108,133.149,18.996,0.89,1.042,0.96,0.974
"41","Plan_area_A10-2_RAW_ch00.tif_results.csv",385.361,129.913,13.316,72.802,14.537,131.495,19.134,0.886,1.024,0.976,0.972
"42","Plan_area_A10-2_RAW_ch00.tif_results.csv",426.78,107.485,18.597,66.135,17.689,127.262,20.711,0.907,1.032,0.969,0.977
"43","Plan_area_A10-2_RAW_ch00.tif_results.csv",385.553,123.745,10.976,76.923,12.117,132.472,19.981,0.876,1.039,0.963,0.974
"44","Plan_area_A10-3_RAW_ch00.tif_results.csv",433.699,129.433,14.911,78.029,15.769,128.1,21.15,0.739,1.194,0.838,0.933
"45","Plan_area_A10-3_RAW_ch00.tif_results.csv",366.91,148.303,14.129,92.424,11.034,140.964,18.609,0.875,1.018,0.982,0.971
"46","Plan_area_A10-3_RAW_ch00.tif_results.csv",426.396,117.247,18.482,76.075,17.552,118.29,20.013,0.876,1.052,0.951,0.972
"47","Plan_area_A10-3_RAW_ch00.tif_results.csv",474.254,113.486,14.602,76.816,15.26,123.737,25.1,0.849,1.028,0.973,0.969
"48","Plan_area_A10-3_RAW_ch00.tif_results.csv",326.644,135.678,15.469,79.293,15.303,138.893,17.487,0.918,1.056,0.947,0.976
"49","Plan_area_A10-3_RAW_ch00.tif_results.csv",427.741,116.454,16.919,70.226,18.278,125.362,22.854,0.901,1.073,0.932,0.975
"50","Plan_area_A10-3_RAW_ch00.tif_results.csv",462.145,111.891,19.052,70.543,17.18,124.454,22.565,0.889,1.026,0.975,0.972
"51","Plan_area_A10-3_RAW_ch00.tif_results.csv",474.061,118.314,14.773,72.285,16.469,125.776,22.616,0.784,1.058,0.945,0.95
"52","Plan_area_A10-3_RAW_ch00.tif_results.csv",381.998,127.402,15.313,76.562,15.402,135.644,18.233,0.881,1.067,0.937,0.975
"53","Plan_area_A10-3_RAW_ch00.tif_results.csv",445.327,113.189,16.986,72.744,17.177,129.213,21.744,0.747,1.115,0.897,0.93
"54","Plan_area_A10-3_RAW_ch00.tif_results.csv",351.918,132.958,15.425,76.38,15.666,140.795,18.142,0.893,1.049,0.953,0.972
