,Filename,Area,Red_mean,Red_sd,Green_mean,Green_sd,Blue_mean,Blue_sd,Circ,AR,Round,Solidity
1,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,410.347,140.337,29.618,102.177,24.896,138.609,28.057,0.864,1.002,0.998,0.968
2,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,436.102,102.041,31.166,83.214,25.733,77.645,23.543,0.88,1.018,0.982,0.973
3,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,341.828,139.468,17.456,97.765,15.897,135.232,15.875,0.858,1.091,0.916,0.959
4,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,308.289,134.743,16.206,94.914,16.842,142.071,23.039,0.887,1.138,0.879,0.966
5,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,463.394,153.147,22.818,115.345,19.19,139.111,28.817,0.887,1.054,0.949,0.971
6,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,486.17,119.336,29.545,80.337,25.106,130.489,24.531,0.908,1.062,0.942,0.978
7,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,359.03,194.017,12.367,136.476,9.544,175.237,13.764,0.773,1.058,0.945,0.958
8,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,394.971,168.272,14.878,119.01,14.225,157.825,23.016,0.871,1.033,0.968,0.97
9,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,385.938,176.83,11.378,122.944,10.823,159.358,19.05,0.905,1.017,0.983,0.973
10,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,65.156,185.857,20.736,124.248,11.305,191.341,5.588,0.411,3.125,0.32,0.773
11,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,331.929,183.974,14.087,125.493,11.894,173.535,12.619,0.866,1.014,0.986,0.964
12,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,433.603,159.363,14.054,109.895,15.24,153.282,20.792,0.878,1.027,0.974,0.971
13,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,314.151,178.856,13.585,118.784,14.928,173.509,19.036,0.877,1.039,0.962,0.97
14,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,461.28,150.538,16.314,105.563,14.226,145.765,23.929,0.883,1.03,0.971,0.971
15,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,356.819,185.147,12.838,119.151,10.877,174.684,11.391,0.876,1.015,0.985,0.972
16,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,334.236,182.491,13.848,132.143,13.453,164.104,20.084,0.868,1.07,0.934,0.964
17,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,320.59,193.349,13.52,132.467,11.067,184.222,12.852,0.86,1.033,0.968,0.965
18,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,448.307,151.782,15.798,94.868,16.015,149.579,22.483,0.898,1.018,0.982,0.973
19,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,440.042,135.815,25.264,101.007,22.343,141.547,24.191,0.884,1.005,0.995,0.973
20,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,476.272,161.198,13.117,112.588,13.328,150.49,20.243,0.886,1.023,0.977,0.975
21,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,58.909,184.228,12.352,131.015,10.74,182.413,9.791,0.476,1.6,0.625,0.818
22,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,470.025,143.136,15.857,95.527,16.066,143.793,19.861,0.894,1.018,0.982,0.97
23,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,494.435,148.637,16.739,104.343,16.418,140.871,26.1,0.901,1.036,0.965,0.978
24,Race_size_Race_2uL_L10AaS1_size_RAW_ch00.tif_results.csv,457.34,164.24,14.442,113.765,14.215,154.013,24.404,0.894,1.032,0.969,0.971
