"","Filename","X","Area","Mean","Min","Max"
"1","Tdio_size_Tdio_2-5uL_L10A1S1_size_RAW_ch00.tif_results.csv",1,199.792,111.329,92,147
"2","Tdio_size_Tdio_2-5uL_L10A1S1_size_RAW_ch00.tif_results.csv",3,173.845,120.749,95,154
"3","Tdio_size_Tdio_2-5uL_L10A1S1_size_RAW_ch00.tif_results.csv",4,168.848,117.193,96,153
"4","Tdio_size_Tdio_2-5uL_L10A1S1_size_RAW_ch00.tif_results.csv",5,196.813,121.431,100,152
"5","Tdio_size_Tdio_2-5uL_L10A1S1_size_RAW_ch00.tif_results.csv",6,165.004,118.619,95,154
"6","Tdio_size_Tdio_2-5uL_L10A1S1_size_RAW_ch00.tif_results.csv",8,176.824,115.364,93,153
"7","Tdio_size_Tdio_2-5uL_L10A1S1_size_RAW_ch00.tif_results.csv",9,189.798,116.026,94,150
"8","Tdio_size_Tdio_2-5uL_L10A1S1_size_RAW_ch00.tif_results.csv",11,233.619,113.338,91,150
"9","Tdio_size_Tdio_2-5uL_L10A1S1_size_RAW_ch00.tif_results.csv",12,214.976,115.797,93,151
"10","Tdio_size_Tdio_2-5uL_L10A1S1_size_RAW_ch00.tif_results.csv",13,231.889,114.355,92,152
"11","Tdio_size_Tdio_2-5uL_L10A1S1_size_RAW_ch00.tif_results.csv",14,196.717,117.771,95,152
"12","Tdio_size_Tdio_2-5uL_L10A1S1_size_RAW_ch00.tif_results.csv",15,221.03,113.207,89,147
"13","Tdio_size_Tdio_2-5uL_L10A1S1_size_RAW_ch00.tif_results.csv",17,209.882,113.886,92,149
"14","Tdio_size_Tdio_2-5uL_L10A1S1_size_RAW_ch00.tif_results.csv",18,202.483,119.17,97,155
"15","Tdio_size_Tdio_2-5uL_L10A1S1_size_RAW_ch00.tif_results.csv",19,165.388,120.267,99,154
"16","Tdio_size_Tdio_2-5uL_L10A1S1_size_RAW_ch00.tif_results.csv",21,195.371,120.642,90,154
"17","Tdio_size_Tdio_2-5uL_L10A1S1_size_RAW_ch00.tif_results.csv",22,200.176,117.077,95,150
"18","Tdio_size_Tdio_2-5uL_L10A1S1_size_RAW_ch00.tif_results.csv",23,207.768,113.952,93,149
"19","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",1,182.013,116.678,94,150
"20","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",2,209.402,122.44,102,153
"21","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",3,193.545,114.885,88,151
"22","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",4,241.692,120.143,100,150
"23","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",15,202.963,115.636,92,157
"24","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",16,163.37,117.068,94,153
"25","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",17,256.971,112.853,92,147
"26","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",18,240.058,118.613,91,152
"27","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",19,202.675,113.353,87,153
"28","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",20,231.505,118.083,90,150
"29","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",21,242.172,115.163,86,152
"30","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",22,219.877,114.781,90,150
"31","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",25,156.355,120.544,98,154
"32","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",26,119.933,117.248,98,149
"33","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",28,199.408,121.56,99,152
"34","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",29,194.699,113.997,89,151
"35","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",30,222.183,116.74,91,150
"36","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",31,169.424,117.841,97,154
"37","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",32,193.738,113.65,89,153
"38","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",35,204.405,116.523,92,152
"39","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",36,202.291,106.245,80,151
"40","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",47,198.447,112.76,90,151
"41","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",48,213.63,110.021,89,151
"42","Tdio_size_Tdio_2-5uL_L10A1S2_size_RAW_ch00.tif_results.csv",49,200.945,118.168,96,152
"43","Tdio_size_Tdio_2-5uL_L10A1S3_size_RAW_ch00.tif_results.csv",1,201.426,118.289,90,149
"44","Tdio_size_Tdio_2-5uL_L10A1S3_size_RAW_ch00.tif_results.csv",8,197.582,116.498,96,151
"45","Tdio_size_Tdio_2-5uL_L10A1S3_size_RAW_ch00.tif_results.csv",9,225.643,117.36,92,150
"46","Tdio_size_Tdio_2-5uL_L10A1S3_size_RAW_ch00.tif_results.csv",10,252.359,114.988,90,150
"47","Tdio_size_Tdio_2-5uL_L10A1S3_size_RAW_ch00.tif_results.csv",11,222.952,115.883,92,153
"48","Tdio_size_Tdio_2-5uL_L10A1S3_size_RAW_ch00.tif_results.csv",12,181.052,118.099,91,150
"49","Tdio_size_Tdio_2-5uL_L10A1S3_size_RAW_ch00.tif_results.csv",20,171.731,114.09,78,153
"50","Tdio_size_Tdio_2-5uL_L10A1S3_size_RAW_ch00.tif_results.csv",21,150.781,117.4,99,146
"51","Tdio_size_Tdio_2-5uL_L10A1S3_size_RAW_ch00.tif_results.csv",24,165.196,110.931,86,150
"52","Tdio_size_Tdio_2-5uL_L10A1S3_size_RAW_ch00.tif_results.csv",44,197.197,113.861,88,148
"53","Tdio_size_Tdio_2-5uL_L10A1S3_size_RAW_ch00.tif_results.csv",52,211.228,109.828,90,149
"54","Tdio_size_Tdio_2-5uL_L10A1S3_size_RAW_ch00.tif_results.csv",53,172.788,112.049,89,155
"55","Tdio_size_Tdio_2-5uL_L10A1S3_size_RAW_ch00.tif_results.csv",54,200.369,116.336,87,154
"56","Tdio_size_Tdio_2-5uL_L10A1S3_size_RAW_ch00.tif_results.csv",55,260.239,111.806,85,153
"57","Tdio_size_Tdio_2-5uL_L10A1S3_size_RAW_ch00.tif_results.csv",59,181.341,116.807,96,148
"58","Tdio_size_Tdio_2-5uL_L10A1S3_size_RAW_ch00.tif_results.csv",71,238.712,120.328,95,151
"59","Tdio_size_Tdio_2-5uL_L10A1S3_size_RAW_ch00.tif_results.csv",73,222.664,122.622,101,155
"60","Tdio_size_Tdio_2-5uL_L10A1S3_size_RAW_ch00.tif_results.csv",74,228.814,108.071,80,149
"61","Tdio_size_Tdio_2-5uL_L10A1S3_size_RAW_ch00.tif_results.csv",75,190.278,110.987,90,144
"62","Tdio_size_Tdio_2-5uL_L10A1S3_size_RAW_ch00.tif_results.csv",80,212.285,109.476,82,150
"63","Tdio_size_Tdio_2-5uL_L10A1S3_size_RAW_ch00.tif_results.csv",81,217.955,116.864,94,151
