species,genus,family
Agrostis stolonifera,Agrostis,Poaceae
Amaranthus retroflexus,Amaranthus,Amaranthaceae
Ambrosia artemisiifolia,Ambrosia,Asteraceae
Elymus trachycaulus,Elymus,Poaceae
Avenula hookeri,Avenula,Poaceae
Bromus carinatus,Bromus,Poaceae
Bromus inermis,Bromus,Poaceae
Carex communis,Carex,Cyperaceae
Carex hirtifolia,Carex,Cyperaceae
Carex pedunculata,Carex,Cyperaceae
Carex plantaginea,Carex,Cyperaceae
Carex stipata,Carex,Cyperaceae
Chenopodium album,Chenopodium,Amaranthaceae
Elymus repens,Elymus,Poaceae
Festuca campestris,Festuca,Poaceae
Festuca pratensis,Festuca,Poaceae
Festuca rubra,Festuca,Poaceae
Hierochloe odorata,Hierechloe,Poaceae
Koeleria cristata,Koeleria,Poaceae
Leymus innovatus,Leymus,Poaceae
Phalaris arundinacea,Phalaris,Poaceae
Phleum pratense,Phleum,Poaceae
Plantago lanceolata,Plantago,Plantaginaceae
Poa juncifolia,Poa,Poaceae
Poa secunda subsp. secunda,Poa,Poaceae
Rumex acetosella,Rumex,Polygonaceae
Rumex crispus,Rumex,Polygonaceae
Schizachne purpurascens,Schizachne,Poaceae
Scirpus microcarpus,Scirpus,Cyperaceae
Setaria viridis,Setaria,Poaceae
Stipa columbiana,Stipa,Poaceae
Thalictrum dioicum,Thalictrum,Ranunculaceae
