"Species","Site","Date","Plant","Flower","Flower_extra","Stigma","Pollen","Ovule_dev","Stigmas_per_flw","FlowerID","StigCountsTF","Plantnum","Flower_height","D1","D2","D3","D4","D5","Time","Lat","Long","Observer"
"Amaranthus sp","FBF",2021-08-16,"S5","B",1,NA,32,NA,3,"16 Aug 2021-S5-B-1",FALSE,"5",33,42,67,73,60,75,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S5","B",2,NA,2,NA,3,"16 Aug 2021-S5-B-2",FALSE,"5",33,42,67,73,60,75,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S5","B",3,NA,3,NA,3,"16 Aug 2021-S5-B-3",FALSE,"5",33,42,67,73,60,75,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S5","B",4,NA,4,NA,3,"16 Aug 2021-S5-B-4",FALSE,"5",33,42,67,73,60,75,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S1","A",1,NA,4,3,3,"16 Aug 2021-S1-A-1",FALSE,"1",36,70,83,62,46,77,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S1","B",1,NA,24,3,3,"16 Aug 2021-S1-B-1",FALSE,"1",28,70,83,62,46,77,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S1","C",1,NA,7,3,3,"16 Aug 2021-S1-C-1",FALSE,"1",20,70,83,62,46,77,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S2","A",1,NA,13,3,3,"16 Aug 2021-S2-A-1",FALSE,"2",43,65,48,9,59,51,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S2","B",1,NA,5,4,3,"16 Aug 2021-S2-B-1",FALSE,"2",29,65,48,9,59,51,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S2","C",1,NA,6,3,3,"16 Aug 2021-S2-C-1",FALSE,"2",20,65,48,9,59,51,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S3","A",1,NA,3,3,3,"16 Aug 2021-S3-A-1",FALSE,"3",29,11,10,27,29,40,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S3","B",1,NA,102,4,3,"16 Aug 2021-S3-B-1",FALSE,"3",26,11,10,27,29,40,NA,"44.33699","-76.397885","Claire"
