"Species","Site","Date","Plant","Flower","Stigma","Pollen","Obs_count","Notes","StigCountsTF","Stigmas_per_flw","Flower_height","D1","D2","D3","D4","D5","Time","Lat","Long","Obs_field","PlantID"
"Ambrosia artemisiifolia","FBF",2021-09-14,1,"A",NA,88,"Claire","",FALSE,"2",67,69,85,42,50,93,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 1"
"Ambrosia artemisiifolia","FBF",2021-09-14,1,"B",NA,46,"Claire","",FALSE,"2",70,69,85,42,50,93,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 1"
"Ambrosia artemisiifolia","FBF",2021-09-14,1,"C",NA,36,"Claire","",FALSE,"2",49,69,85,42,50,93,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 1"
"Ambrosia artemisiifolia","FBF",2021-09-14,2,"A",NA,10,"Claire","",FALSE,"2",56,80,130,73,134,107,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 2"
"Ambrosia artemisiifolia","FBF",2021-09-14,2,"B",NA,12,"Claire","",FALSE,"2",28,80,130,73,134,107,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 2"
"Ambrosia artemisiifolia","FBF",2021-09-14,2,"C",NA,70,"Claire","",FALSE,"2",63,80,130,73,134,107,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 2"
"Ambrosia artemisiifolia","FBF",2021-09-14,3,"A",NA,66,"Claire","",FALSE,"2",73,105,130,156,177,216,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 3"
"Ambrosia artemisiifolia","FBF",2021-09-14,3,"B",NA,25,"Claire","",FALSE,"2",42,105,130,156,177,216,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 3"
"Ambrosia artemisiifolia","FBF",2021-09-14,4,"A",NA,31,"Claire","",FALSE,"2",77,91,67,85,88,130,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 4"
"Ambrosia artemisiifolia","FBF",2021-09-14,4,"B",NA,26,"Claire","",FALSE,"2",85,91,67,85,88,130,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 4"
"Ambrosia artemisiifolia","FBF",2021-09-14,4,"C",NA,48,"Claire","",FALSE,"2",36,91,67,85,88,130,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 4"
"Ambrosia artemisiifolia","FBF",2021-09-14,5,"A",NA,71,"Claire","",FALSE,"2",51,86,83,93,87,104,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 5"
"Ambrosia artemisiifolia","FBF",2021-09-14,5,"B",NA,125,"Claire","",FALSE,"2",40,86,83,93,87,104,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 5"
"Ambrosia artemisiifolia","FBF",2021-09-14,5,"C",NA,91,"Claire","",FALSE,"2",37,86,83,93,87,104,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 5"
"Ambrosia artemisiifolia","FBF",2021-09-14,6,"A",NA,428,"Claire","",FALSE,"2",67,79,143,183,170,194,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 6"
"Ambrosia artemisiifolia","FBF",2021-09-14,6,"B",NA,86,"Claire","",FALSE,"2",47,79,143,183,170,194,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 6"
"Ambrosia artemisiifolia","FBF",2021-09-14,6,"C",NA,57,"Claire","",FALSE,"2",51,79,143,183,170,194,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 6"
"Ambrosia artemisiifolia","FBF",2021-09-14,7,"A",NA,19,"Claire","3 stigmas!",FALSE,"2",23,11,20,17,22,28,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 7"
"Ambrosia artemisiifolia","FBF",2021-09-14,7,"B",NA,16,"Claire","",FALSE,"2",31,11,20,17,22,28,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 7"
"Ambrosia artemisiifolia","FBF",2021-09-14,7,"C",NA,120,"Claire","",FALSE,"2",21,11,20,17,22,28,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 7"
"Ambrosia artemisiifolia","FBF",2021-09-14,8,"A",NA,2,"Claire","",FALSE,"2",28,22,26,19,22,19,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 8"
"Ambrosia artemisiifolia","FBF",2021-09-14,8,"B",NA,75,"Claire","",FALSE,"2",17,22,26,19,22,19,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 8"
"Ambrosia artemisiifolia","FBF",2021-09-14,8,"C",NA,19,"Claire","1 stigma",FALSE,"2",24,22,26,19,22,19,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 8"
"Ambrosia artemisiifolia","FBF",2021-09-14,9,"A",NA,86,"Claire","",FALSE,"2",24,8,21,22,27,29,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 9"
"Ambrosia artemisiifolia","FBF",2021-09-14,9,"B",NA,41,"Claire","",FALSE,"2",25,8,21,22,27,29,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 9"
"Ambrosia artemisiifolia","FBF",2021-09-14,9,"C",NA,84,"Claire","",FALSE,"2",17,8,21,22,27,29,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 9"
"Ambrosia artemisiifolia","FBF",2021-09-14,10,"A",NA,460,"Claire","",FALSE,"2",15,11,22,29,39,48,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 10"
"Ambrosia artemisiifolia","FBF",2021-09-14,10,"B",NA,276,"Claire","",FALSE,"2",18,11,22,29,39,48,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 10"
"Ambrosia artemisiifolia","FBF",2021-09-14,10,"C",NA,66,"Claire","",FALSE,"2",20,11,22,29,39,48,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 10"
"Ambrosia artemisiifolia","FBF",2021-09-14,11,"A",NA,76,"Claire","",FALSE,"2",38,14,36,38,57,91,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 11"
"Ambrosia artemisiifolia","FBF",2021-09-14,11,"B",NA,31,"Claire","",FALSE,"2",31,14,36,38,57,91,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 11"
