"Species","Site","Date","Plant","Flower","Stigma","Pollen","Obs_count","Notes","StigCountsTF","Stigmas_per_flw","Flower_height","Height_max","Max_width","Flw_per_branch","N_branches","D1","D2","D3","D4","D5","Obs_field","Plants_per_m2","Pop_size_m2","Pop_type"
"Chenopodium album","FBF2",2021-07-23,"1","A","1",16,"Claire","",TRUE,"1",73,83,5,70,17,14,18,20,16,30,"Claire",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"1","A2","1",2,"Claire","",TRUE,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium album","FBF2",2021-07-23,"1","B","1",4,"Claire","",TRUE,"1",78,83,5,70,17,14,18,20,16,30,"Claire",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"2","A","1",0,"Claire","",TRUE,"1",68,78,6,65,11,27,18,26,34,39,"Isabeau",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"2","B","1",8,"Claire","",TRUE,"1",78,78,6,65,11,27,18,26,34,39,"Isabeau",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"3","A","1",2,"Claire","",TRUE,"1",60,74,33,175,27,71,69,68,35,32,"Isabeau",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"3","B","1",0,"Claire","",TRUE,"1",72,74,33,175,27,71,69,68,35,32,"Isabeau",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"4","A1","1",0,"Claire","",TRUE,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium album","FBF2",2021-07-23,"4","A2","1",2,"Claire","",TRUE,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium album","FBF2",2021-07-23,"4","B","1",3,"Claire","",TRUE,"1",76,81,6,70,11,28,27,15,50,55,"Claire",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"5","A","1",3,"Claire","",TRUE,"1",72,82,8,80,15,36,40,42,42,41,"Claire",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"5","B","1",5,"Claire","",TRUE,"1",72,82,8,80,15,36,40,42,42,41,"Claire",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"6","A","1",6,"Claire","",TRUE,"1",126,130,41,220,22,25,36,34,60,80,"Claire",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"6","A2","1",1,"Claire","",TRUE,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium album","FBF2",2021-07-23,"6","B","1",2,"Claire","",TRUE,"1",116,130,41,220,22,25,36,34,60,80,"Claire",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"7","A","1",1,"Claire","",TRUE,"1",59,62,2,25,14,13,23,25,26,34,"Claire",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"7","B","1",1,"Claire","",TRUE,"1",59,62,2,25,14,13,23,25,26,34,"Claire",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"8","A","1",9,"Claire","",TRUE,"1",54,59,2,25,16,18,27,39,35,37,"Claire",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"8","B","1",3,"Claire","",TRUE,"1",55,59,2,25,16,18,27,39,35,37,"Claire",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"9","A","1",0,"Claire","",TRUE,"1",94,96,20,380,15,52,75,127,135,88,"Claire",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"9","B","1",2,"Claire","",TRUE,"1",87,96,20,380,15,52,75,127,135,88,"Claire",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"10","A","1",6,"Claire","",TRUE,"1",98,101,17,130,23,19,20,18,36,42,"Isabeau",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"10","B","1",1,"Claire","",TRUE,"1",91,101,17,130,23,19,20,18,36,42,"Isabeau",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"11","A","1",0,"Claire","",TRUE,"1",103,105,11,80,22,36,28,42,45,46,"Isabeau",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"11","B","1",1,"Claire","",TRUE,"1",98,105,11,80,22,36,28,42,45,46,"Isabeau",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"12","A","1",1,"Claire","",TRUE,"1",81,86,2,60,14,19,38,58,51,66,"Isabeau",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"12","B","1",1,"Claire","",TRUE,"1",84,86,2,60,14,19,38,58,51,66,"Isabeau",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"13","A","1",2,"Claire","",TRUE,"1",84,92,4,65,15,23,46,56,70,97,"Isabeau",NA,NA,""
"Chenopodium album","FBF2",2021-07-23,"13","B","1",1,"Claire","",TRUE,"1",86,92,4,65,15,23,46,56,70,97,"Isabeau",NA,NA,""
