"Species","Date","Site","Plant","Flower","Stigma","Pollen","Obs_count","Notes","Stems","Flw_per_stem","Infl_max","Infl_min","Infl_width","Flower_height","Flower_pos","D1","D2","D3","D4","D5","Obs_field","Latitude","Longitude"
"Dicanthelium sp 2",2021-06-20,"KME","S1","m1",1,23,"Claire","",13,136,33.5,30.5,4.8,32,"m",9,16,19,10,14,"Claire",NA,NA
"Dicanthelium sp 2",2021-06-20,"KME","S1","m1",2,8,"Claire","",13,136,33.5,30.5,4.8,32,"m",9,16,19,10,14,"Claire",NA,NA
"Dicanthelium sp 2",2021-06-20,"KME","S1","t1",1,18,"Claire","",13,136,33.5,30.5,4.8,33.5,"t",9,16,19,10,14,"Claire",NA,NA
"Dicanthelium sp 2",2021-06-20,"KME","S1","t1",2,8,"Claire","",13,136,33.5,30.5,4.8,33.5,"t",9,16,19,10,14,"Claire",NA,NA
"Dicanthelium sp 2",2021-06-20,"KME","S1","m2",1,25,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dicanthelium sp 2",2021-06-20,"KME","S1","m2",2,6,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dicanthelium sp 2",2021-06-20,"KME","S1","b1",1,9,"Claire","",13,136,33.5,30.5,4.8,31,"b",9,16,19,10,14,"Claire",NA,NA
"Dicanthelium sp 2",2021-06-20,"KME","S1","b1",2,8,"Claire","",13,136,33.5,30.5,4.8,31,"b",9,16,19,10,14,"Claire",NA,NA
"Dicanthelium sp 2",2021-06-20,"KME","S1","b2",1,1,"Claire","",13,136,33.5,30.5,4.8,31,"b",9,16,19,10,14,"Claire",NA,NA
"Dicanthelium sp 2",2021-06-20,"KME","S1","b2",2,19,"Claire","",13,136,33.5,30.5,4.8,31,"b",9,16,19,10,14,"Claire",NA,NA
"Dicanthelium sp 2",2021-06-20,"KME","S1","t2",1,15,"Claire","",13,136,33.5,30.5,4.8,33,"t",9,16,19,10,14,"Claire",NA,NA
"Dicanthelium sp 2",2021-06-20,"KME","S1","t2",2,7,"Claire","",13,136,33.5,30.5,4.8,33,"t",9,16,19,10,14,"Claire",NA,NA
"Dicanthelium sp 2",2021-06-20,"KME","S2","m1",1,2,"Claire","",17,85,39.5,35,NA,37,"m",6,7,8,15,12,"Claire",NA,NA
