"Species","Date","Site","Plant","Flower","Stigma","Pollen","Obs_count","Notes","Stems","Flw_per_stem","Infl_max","Infl_min","Flower_height","Flower_pos","D1","D2","D3","D4","D5","Obs_field"
"Phleum pratense",2021-07-05,"KME","S8","A",1,23,"Jeremiah","",2,700,56.5,54.5,55,"l",29,59,48,48,81,"Claire"
"Phleum pratense",2021-07-05,"KME","S8","A",2,34,"Jeremiah","",2,700,56.5,54.5,55,"l",29,59,48,48,81,"Claire"
"Phleum pratense",2021-07-05,"KME","S4","C",1,10,"Jeremiah","",1,2000,90,84,87,"m",18,16,30,76,62,"Claire"
"Phleum pratense",2021-07-05,"KME","S4","C",2,59,"Jeremiah","",1,2000,90,84,87,"m",18,16,30,76,62,"Claire"
"Phleum pratense",2021-07-05,"KME","S6","A",1,132,"Jeremiah","",4,800,80.5,77,77.5,"l",14,28,15,56,78,"Claire"
"Phleum pratense",2021-07-05,"KME","S6","A",2,94,"Jeremiah","",4,800,80.5,77,77.5,"l",14,28,15,56,78,"Claire"
"Phleum pratense",2021-07-05,"KME","S11","B",1,17,"Jeremiah","",1,1200,75,70.5,72.5,"m",62,68,76,55,75,"Claire"
"Phleum pratense",2021-07-05,"KME","S11","B",2,21,"Jeremiah","",1,1200,75,70.5,72.5,"m",62,68,76,55,75,"Claire"
"Phleum pratense",2021-07-05,"KME","S6","B",1,13,"Jeremiah","",4,800,80.5,77,78.5,"m",14,28,15,56,78,"Claire"
"Phleum pratense",2021-07-05,"KME","S6","B",2,19,"Jeremiah","",4,800,80.5,77,78.5,"m",14,28,15,56,78,"Claire"
"Phleum pratense",2021-07-05,"KME","S11","A",1,0,"Jeremiah","",1,1200,75,70.5,71,"l",62,68,76,55,75,"Claire"
"Phleum pratense",2021-07-05,"KME","S11","A",2,NA,"Jeremiah","Only 1 Stigma",1,1200,75,70.5,71,"l",62,68,76,55,75,"Claire"
"Phleum pratense",2021-07-05,"KME","S8","D",1,4,"Jeremiah","",2,700,56.5,54.5,55.5,"m",29,59,48,48,81,"Claire"
"Phleum pratense",2021-07-05,"KME","S8","D",2,14,"Jeremiah","",2,700,56.5,54.5,55.5,"m",29,59,48,48,81,"Claire"
"Phleum pratense",2021-07-05,"KME","S6","D",1,26,"Jeremiah","",4,800,80.5,77,79,"t",14,28,15,56,78,"Claire"
"Phleum pratense",2021-07-05,"KME","S6","D",2,30,"Jeremiah","",4,800,80.5,77,79,"t",14,28,15,56,78,"Claire"
"Phleum pratense",2021-07-05,"KME","S5","A",1,13,"Jeremiah","",2,700,73.5,70,71.5,"m",16,12,16,88,89,"Claire"
"Phleum pratense",2021-07-05,"KME","S5","A",2,21,"Jeremiah","",2,700,73.5,70,71.5,"m",16,12,16,88,89,"Claire"
"Phleum pratense",2021-07-05,"KME","S2","A",1,13,"Jeremiah","",1,700,60.5,59,59.5,"m",10,73,54,100,100,"Claire"
"Phleum pratense",2021-07-05,"KME","S2","A",2,3,"Jeremiah","",1,700,60.5,59,59.5,"m",10,73,54,100,100,"Claire"
"Phleum pratense",2021-07-05,"KME","S11","C",1,17,"Jeremiah","",1,1200,75,70.5,74.5,"t",62,68,76,55,75,"Claire"
"Phleum pratense",2021-07-05,"KME","S11","C",2,5,"Jeremiah","",1,1200,75,70.5,74.5,"t",62,68,76,55,75,"Claire"
"Phleum pratense",2021-07-05,"KME","S7","D",1,6,"Jeremiah","",1,1200,73.5,69,72,"t",15,15,17,74,87,"Claire"
"Phleum pratense",2021-07-05,"KME","S7","D",2,8,"Jeremiah","",1,1200,73.5,69,72,"t",15,15,17,74,87,"Claire"
"Phleum pratense",2021-07-05,"KME","S7","C",1,5,"Jeremiah","",1,1200,73.5,69,71,"m",15,15,17,74,87,"Claire"
"Phleum pratense",2021-07-05,"KME","S7","C",2,17,"Jeremiah","",1,1200,73.5,69,71,"m",15,15,17,74,87,"Claire"
"Phleum pratense",2021-07-05,"KME","S6","C",1,19,"Jeremiah","",4,800,80.5,77,78.5,"m",14,28,15,56,78,"Claire"
"Phleum pratense",2021-07-05,"KME","S6","C",2,12,"Jeremiah","",4,800,80.5,77,78.5,"m",14,28,15,56,78,"Claire"
"Phleum pratense",2021-07-05,"KME","S2","B",1,7,"Jeremiah","",1,700,60.5,59,59.5,"m",10,73,54,100,100,"Claire"
"Phleum pratense",2021-07-05,"KME","S2","B",2,5,"Jeremiah","",1,700,60.5,59,59.5,"m",10,73,54,100,100,"Claire"
"Phleum pratense",2021-07-05,"KME","S3","C",1,16,"Jeremiah","",1,2100,63.5,59,62.5,"t",55,60,51,87,88,"Claire"
"Phleum pratense",2021-07-05,"KME","S3","C",2,4,"Jeremiah","",1,2100,63.5,59,62.5,"t",55,60,51,87,88,"Claire"
"Phleum pratense",2021-07-05,"KME","S3","A",1,7,"Jeremiah","",1,2100,63.5,59,59.5,"l",55,60,51,87,88,"Claire"
"Phleum pratense",2021-07-05,"KME","S3","A",2,48,"Jeremiah","",1,2100,63.5,59,59.5,"l",55,60,51,87,88,"Claire"
"Phleum pratense",2021-07-05,"KME","S3","B",1,73,"Jeremiah","",1,2100,63.5,59,61,"m",55,60,51,87,88,"Claire"
"Phleum pratense",2021-07-05,"KME","S3","B",2,19,"Jeremiah","",1,2100,63.5,59,61,"m",55,60,51,87,88,"Claire"
"Phleum pratense",2021-07-05,"KME","S5","C",1,3,"Jeremiah","",2,700,73.5,70,72.5,"m",16,12,16,88,89,"Claire"
"Phleum pratense",2021-07-05,"KME","S5","C",2,11,"Jeremiah","",2,700,73.5,70,72.5,"m",16,12,16,88,89,"Claire"
"Phleum pratense",2021-07-05,"KME","S7","C",1,29,"Jeremiah","",1,1200,73.5,69,71,"m",15,15,17,74,87,"Claire"
"Phleum pratense",2021-07-05,"KME","S7","C",2,39,"Jeremiah","",1,1200,73.5,69,71,"m",15,15,17,74,87,"Claire"
"Phleum pratense",2021-07-05,"KME","S1","C",1,13,"Jeremiah","",1,1400,24,21.5,22,"l",40,71,71,67,81,"Claire"
"Phleum pratense",2021-07-05,"KME","S1","C",2,5,"Jeremiah","",1,1400,24,21.5,22,"l",40,71,71,67,81,"Claire"
"Phleum pratense",2021-07-05,"KME","S10","B",1,37,"Jeremiah","",1,700,55.5,52,54,"m",41,54,65,75,88,"Claire"
"Phleum pratense",2021-07-05,"KME","S10","B",2,32,"Jeremiah","",1,700,55.5,52,54,"m",41,54,65,75,88,"Claire"
"Phleum pratense",2021-07-05,"KME","S7","B",1,30,"Jeremiah","",1,1200,73.5,69,71,"m",15,15,17,74,87,"Claire"
"Phleum pratense",2021-07-05,"KME","S7","B",2,20,"Jeremiah","",1,1200,73.5,69,71,"m",15,15,17,74,87,"Claire"
"Phleum pratense",2021-07-05,"KME","S4","D",1,11,"Jeremiah","",1,2000,90,84,89,"t",18,16,30,76,62,"Claire"
"Phleum pratense",2021-07-05,"KME","S4","D",2,14,"Jeremiah","",1,2000,90,84,89,"t",18,16,30,76,62,"Claire"
"Phleum pratense",2021-07-05,"KME","S4","A",1,3,"Jeremiah","",1,2000,90,84,85,"l",18,16,30,76,62,"Claire"
"Phleum pratense",2021-07-05,"KME","S4","A",2,10,"Jeremiah","",1,2000,90,84,85,"l",18,16,30,76,62,"Claire"
"Phleum pratense",2021-07-05,"KME","S8","B",1,16,"Jeremiah","",2,700,56.5,54.5,55.5,"m",29,59,48,48,81,"Claire"
"Phleum pratense",2021-07-05,"KME","S8","B",2,11,"Jeremiah","",2,700,56.5,54.5,55.5,"m",29,59,48,48,81,"Claire"
"Phleum pratense",2021-07-05,"KME","S2","C",1,3,"Jeremiah","",1,700,60.5,59,59.5,"m",10,73,54,100,100,"Claire"
"Phleum pratense",2021-07-05,"KME","S2","C",2,4,"Jeremiah","",1,700,60.5,59,59.5,"m",10,73,54,100,100,"Claire"
"Phleum pratense",2021-07-05,"KME","S4","B",1,11,"Jeremiah","",1,2000,90,84,87,"m",18,16,30,76,62,"Claire"
"Phleum pratense",2021-07-05,"KME","S4","B",2,11,"Jeremiah","",1,2000,90,84,87,"m",18,16,30,76,62,"Claire"
"Phleum pratense",2021-07-05,"KME","S1","B",1,15,"Jeremiah","",1,1400,24,21.5,22.5,"m",40,71,71,67,81,"Claire"
"Phleum pratense",2021-07-05,"KME","S1","B",2,9,"Jeremiah","",1,1400,24,21.5,22.5,"m",40,71,71,67,81,"Claire"
