"Species","Plant","Min","Max","Male_max","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","Date","Time","Population","Lat","Long","Observer","Plant.y","Flower","Stigma","Pollen","Notes"
"Plantago lanceolata","5",21.5,22.4,21.5,30,40,78,70,75,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S5","1",NA,89,""
"Plantago lanceolata","5",21.5,22.4,21.5,30,40,78,70,75,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S5","2",NA,38,""
"Plantago lanceolata","5",21.5,22.4,21.5,30,40,78,70,75,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S5","3",NA,219,""
"Plantago lanceolata","6",17,18.1,17.5,12,42,29,42,66,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire",NA,NA,NA,NA,NA
"Plantago lanceolata","7",19,20,19.5,40,53,80,70,50,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S7","1",NA,1,""
"Plantago lanceolata","7",19,20,19.5,40,53,80,70,50,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S7","2",NA,97,""
"Plantago lanceolata","7",19,20,19.5,40,53,80,70,50,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S7","3",NA,55,""
"Plantago lanceolata","8",13,13.8,13.5,24,36,25,39,44,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S8","1",NA,11,""
"Plantago lanceolata","8",13,13.8,13.5,24,36,25,39,44,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S8","2",NA,75,""
"Plantago lanceolata","8",13,13.8,13.5,24,36,25,39,44,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S8","3",NA,42,""
"Plantago lanceolata","9",16.4,16.7,16.5,24,17,35,23,28,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S9","1",NA,58,""
"Plantago lanceolata","9",16.4,16.7,16.5,24,17,35,23,28,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S9","2",NA,115,""
"Plantago lanceolata","9",16.4,16.7,16.5,24,17,35,23,28,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S9","3",NA,64,""
"Plantago lanceolata","10",17.8,19.4,18.9,13,26,24,22,30,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S10","1",NA,22,""
"Plantago lanceolata","10",17.8,19.4,18.9,13,26,24,22,30,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S10","2",NA,63,""
"Plantago lanceolata","10",17.8,19.4,18.9,13,26,24,22,30,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S10","3",NA,NA,""
"Plantago lanceolata","11",19.8,21.1,20.4,29,58,58,61,61,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S11","1",NA,68,""
"Plantago lanceolata","11",19.8,21.1,20.4,29,58,58,61,61,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S11","2",NA,32,""
"Plantago lanceolata","11",19.8,21.1,20.4,29,58,58,61,61,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S11","3",NA,149,""
"Plantago lanceolata","12",17.1,18.3,17.7,41,31,27,39,50,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S12","1",NA,53,""
"Plantago lanceolata","12",17.1,18.3,17.7,41,31,27,39,50,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S12","2",NA,9,""
"Plantago lanceolata","12",17.1,18.3,17.7,41,31,27,39,50,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S12","3",NA,53,""
"Plantago lanceolata","13",15.1,16.4,15.6,40,31,38,44,47,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S13","1",NA,33,""
"Plantago lanceolata","13",15.1,16.4,15.6,40,31,38,44,47,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S13","2",NA,11,""
"Plantago lanceolata","13",15.1,16.4,15.6,40,31,38,44,47,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S13","3",NA,18,""
"Plantago lanceolata","14",15.7,16.8,16.2,22,27,36,45,37,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S14A","1",NA,2,""
"Plantago lanceolata","14",15.7,16.8,16.2,22,27,36,45,37,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S14A","2",NA,3,""
"Plantago lanceolata","14",15.7,16.8,16.2,22,27,36,45,37,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S14A","3",NA,NA,""
"Plantago lanceolata","14",15.7,16.8,16.2,22,27,36,45,37,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S14B","1",NA,0,""
"Plantago lanceolata","14",15.7,16.8,16.2,22,27,36,45,37,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S14B","2",NA,NA,""
"Plantago lanceolata","14",15.7,16.8,16.2,22,27,36,45,37,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S14B","3",NA,NA,""
"Plantago lanceolata","15",23.1,24.5,24,16,40,22,31,28,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S15","1",NA,196,""
"Plantago lanceolata","15",23.1,24.5,24,16,40,22,31,28,NA,NA,NA,NA,NA,2021-07-31,"","KM",NA,NA,"Claire","S15","2",NA,28,""
