"Species","Date","Site","Plant","Flower","Stigma","Pollen","Obs_count","Notes","Flower_height","N_flowers","D1","D2","D3","D4","D5","Obs_field"
"Rumex acetosella",2021-06-04,"KM","F1",1,1,1,"Claire","",20.1,360,22,28,24,30,8,"Claire"
"Rumex acetosella",2021-06-04,"KM","F1",1,2,4,"Claire","",20.1,360,22,28,24,30,8,"Claire"
"Rumex acetosella",2021-06-04,"KM","F1",1,3,1,"Claire","",20.1,360,22,28,24,30,8,"Claire"
"Rumex acetosella",2021-06-04,"KM","F1",2,1,2,"Claire","",20.1,360,22,28,24,30,8,"Claire"
"Rumex acetosella",2021-06-04,"KM","F1",2,2,0,"Claire","",20.1,360,22,28,24,30,8,"Claire"
"Rumex acetosella",2021-06-04,"KM","F1",2,3,1,"Claire","",20.1,360,22,28,24,30,8,"Claire"
"Rumex acetosella",2021-06-04,"KM","F1",3,1,2,"Claire","",20.1,360,22,28,24,30,8,"Claire"
"Rumex acetosella",2021-06-04,"KM","F1",3,2,1,"Claire","",20.1,360,22,28,24,30,8,"Claire"
"Rumex acetosella",2021-06-04,"KM","F1",3,3,2,"Claire","",20.1,360,22,28,24,30,8,"Claire"
"Rumex acetosella",2021-06-04,"KM","F10",1,1,1,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella",2021-06-04,"KM","F10",1,2,0,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella",2021-06-04,"KM","F10",1,3,0,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella",2021-06-04,"KM","F10",2,1,0,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella",2021-06-04,"KM","F10",2,2,0,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella",2021-06-04,"KM","F2",1,1,1,"Claire","",14.7,115,15,14,16,18,24,"Claire"
"Rumex acetosella",2021-06-04,"KM","F2",1,2,0,"Claire","",14.7,115,15,14,16,18,24,"Claire"
"Rumex acetosella",2021-06-04,"KM","F2",1,3,1,"Claire","",14.7,115,15,14,16,18,24,"Claire"
"Rumex acetosella",2021-06-04,"KM","F2",2,1,0,"Claire","",14.7,115,15,14,16,18,24,"Claire"
"Rumex acetosella",2021-06-04,"KM","F2",2,2,0,"Claire","",14.7,115,15,14,16,18,24,"Claire"
"Rumex acetosella",2021-06-04,"KM","F2",2,3,0,"Claire","",14.7,115,15,14,16,18,24,"Claire"
"Rumex acetosella",2021-06-04,"KM","F3",1,1,0,"Claire","",12.1,190,11,15,21,36,39,"Claire"
"Rumex acetosella",2021-06-04,"KM","F3",1,2,2,"Claire","",12.1,190,11,15,21,36,39,"Claire"
"Rumex acetosella",2021-06-04,"KM","F3",1,3,1,"Claire","",12.1,190,11,15,21,36,39,"Claire"
"Rumex acetosella",2021-06-04,"KM","F3",2,1,0,"Claire","",12.1,190,11,15,21,36,39,"Claire"
"Rumex acetosella",2021-06-04,"KM","F3",2,2,0,"Claire","",12.1,190,11,15,21,36,39,"Claire"
"Rumex acetosella",2021-06-04,"KM","F3",2,3,2,"Claire","",12.1,190,11,15,21,36,39,"Claire"
"Rumex acetosella",2021-06-04,"KM","F3",3,1,0,"Claire","",12.1,190,11,15,21,36,39,"Claire"
"Rumex acetosella",2021-06-04,"KM","F3",3,2,0,"Claire","",12.1,190,11,15,21,36,39,"Claire"
"Rumex acetosella",2021-06-04,"KM","F3",3,3,0,"Claire","",12.1,190,11,15,21,36,39,"Claire"
"Rumex acetosella",2021-06-04,"KM","F4",1,1,0,"Claire","",12,125,13,18,27,50,49,"Claire"
"Rumex acetosella",2021-06-04,"KM","F4",1,2,1,"Claire","",12,125,13,18,27,50,49,"Claire"
"Rumex acetosella",2021-06-04,"KM","F4",1,3,0,"Claire","",12,125,13,18,27,50,49,"Claire"
"Rumex acetosella",2021-06-04,"KM","F4",2,1,1,"Claire","",12,125,13,18,27,50,49,"Claire"
"Rumex acetosella",2021-06-04,"KM","F4",3,1,2,"Claire","",12,125,13,18,27,50,49,"Claire"
"Rumex acetosella",2021-06-04,"KM","F4",3,2,0,"Claire","",12,125,13,18,27,50,49,"Claire"
"Rumex acetosella",2021-06-04,"KM","F4",4,1,0,"Claire","",12,125,13,18,27,50,49,"Claire"
"Rumex acetosella",2021-06-04,"KM","F4",4,2,2,"Claire","",12,125,13,18,27,50,49,"Claire"
"Rumex acetosella",2021-06-04,"KM","F4",4,3,0,"Claire","",12,125,13,18,27,50,49,"Claire"
"Rumex acetosella",2021-06-04,"KM","F5",1,1,0,"Claire","",10.8,130,7,40,51,29,47,"Claire"
"Rumex acetosella",2021-06-04,"KM","F5",1,2,1,"Claire","",10.8,130,7,40,51,29,47,"Claire"
"Rumex acetosella",2021-06-04,"KM","F5",1,3,0,"Claire","",10.8,130,7,40,51,29,47,"Claire"
"Rumex acetosella",2021-06-04,"KM","F5",2,1,0,"Claire","",10.8,130,7,40,51,29,47,"Claire"
"Rumex acetosella",2021-06-04,"KM","F5",2,2,0,"Claire","",10.8,130,7,40,51,29,47,"Claire"
"Rumex acetosella",2021-06-04,"KM","F5",2,3,1,"Claire","",10.8,130,7,40,51,29,47,"Claire"
"Rumex acetosella",2021-06-04,"KM","F7",1,1,0,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella",2021-06-04,"KM","F7",1,2,0,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella",2021-06-04,"KM","F7",1,3,1,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella",2021-06-04,"KM","F7",2,1,0,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella",2021-06-04,"KM","F7",2,2,0,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella",2021-06-04,"KM","F7",2,3,0,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella",2021-06-04,"KM","F8",1,1,2,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
