"Species","Date","Site","Plant","Flower","Stigma","Pollen","Obs_count","Notes","Flower_height","Flower_min","Flower_max","D1","D2","D3","D4","D5","Stems","Time","Population","Obs_field"
"Purple stigma grass",2021-07-16,"FBF1","1","A",1,49,"Jeremiah","Some were up ro 40 um, however the pollen stalk is reaching to the stigma so I assumed it was the right pollen. Some appeared crushed or cleft, but in the right context and the right size so I counted them, too.",54,52,59,14,16,16,13,14,5,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","1","A",2,20,"Jeremiah","",54,52,59,14,16,16,13,14,5,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","1","B",1,28,"Claire","",55,52,59,14,16,16,13,14,5,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","1","B",2,27,"Claire","",55,52,59,14,16,16,13,14,5,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","1","C",1,17,"Claire","",57,52,59,14,16,16,13,14,5,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","1","C",2,39,"Claire","",57,52,59,14,16,16,13,14,5,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","10","A",1,55,"Claire","",47.5,47,53.5,8,13,17,21,16,5,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","10","A",2,57,"Claire","",47.5,47,53.5,8,13,17,21,16,5,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","10","B",1,55,"Claire","",51,47,53.5,8,13,17,21,16,5,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","10","B",2,17,"Claire","",51,47,53.5,8,13,17,21,16,5,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","10","C",1,9,"Claire","",52.5,47,53.5,8,13,17,21,16,5,"10:00 AM","FBF","Claire"
