"Species","Sex_sys","source","n_ind"
"Rumex acetosella","dioecious","JF2004",21
"Thalictrum dioicum","dioecious","JF2004",23
"Amaranthus retroflexus","monoecious","CS2021",16
"Ambrosia artemisiifolia","monoecious","JF2004",21
"Carex communis","monoecious","JF2004",18
"Carex hirtifolia","monoecious","JF2004",18
"Carex pedunculata","monoecious","JF2004",19
"Carex plantaginea","monoecious","JF2004",4
"Carex stipata","monoecious","JF2004",36
"Rumex crispus","monoecious","JF2004",20
"Scirpus microcarpus","monoecious","JF2004",14
"Agropyron trachycaulum","hermaphroditic","JF2001",10
"Astolonifera","hermaphroditic","JF2001",4
"Avenula hookeri","hermaphroditic","JF2001",5
"Bcarianatus","hermaphroditic","JF2001",3
"Bromus inermis","hermaphroditic","JF2001",30
"Chenopodium album","hermaphroditic","JF2004",22
"Elymus innovatus","hermaphroditic","JF2001",35
"Elymus repens","hermaphroditic","JF2001",33
"Festuca campestris","hermaphroditic","JF2001",60
"Festuca pratensis","hermaphroditic","JF2001",14
"Festuca rubra","hermaphroditic","JF2001",8
"Hierochloe odorata","hermaphroditic","JF2001",67
"Koeleria cristata","hermaphroditic","JF2001",25
"Phalaris arundinacea","hermaphroditic","JF2001",7
"Phleum pratense","hermaphroditic","JF2001",30
"Plantago lanceolata","hermaphroditic","JF2004",24
"Poa juncifolia","hermaphroditic","JF2001",6
"Poa secunda subsp. secunda","hermaphroditic","JF2001",3
"Schizachne purpurascens","hermaphroditic","JF2004",12
"Stipa columbiana","hermaphroditic","JF2001",10
