"Species","Sex_sys","source","n_ind"
"Rumex acetosella","dioecious","CS2021",39
"Rumex acetosella","dioecious","JF2004",30
"Thalictrum dioicum","dioecious","CS2021",59
"Thalictrum dioicum","dioecious","JF2004",23
"Amaranthus retroflexus","monoecious","CS2021",30
"Ambrosia artemisiifolia","monoecious","CS2021",30
"Ambrosia artemisiifolia","monoecious","JF2004",30
"Carex communis","monoecious","JF2004",22
"Carex hirtifolia","monoecious","JF2004",48
"Carex pedunculata","monoecious","JF2004",23
"Carex plantaginea","monoecious","JF2004",27
"Carex stipata","monoecious","JF2004",30
"Rumex crispus","monoecious","JF2004",25
"Scirpus microcarpus","monoecious","JF2004",30
"Bromus inermis","hermaphroditic","JF2001",67
"Chenopodium album","hermaphroditic","CS2021",30
"Chenopodium album","hermaphroditic","JF2004",30
"Dichanthelium implicatum","hermaphroditic","CS2021",40
"Dichanthelium linearifolium","hermaphroditic","CS2021",20
"Elymus repens","hermaphroditic","JF2001",41
"Festuca campestris","hermaphroditic","JF2001",83
"Leymus innovatus","hermaphroditic","JF2001",79
"Phleum pratense","hermaphroditic","CS2021",22
"Phleum pratense","hermaphroditic","JF2001",69
"Plantago lanceolata","hermaphroditic","CS2021",43
"Plantago lanceolata","hermaphroditic","JF2004",30
"Plantago major","hermaphroditic","CS2021",16
"Schizachne purpurascens","hermaphroditic","JF2004",31
"Setaria viridis","hermaphroditic","CS2021",45
